"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4796","ALASKA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",115700
"18243","ALASKA HOUSE DEMOCRATIC CAMPAIGN CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",106200
"19624","ELECTRICAL WORKERS LOCAL 1547","General Trade Unions","Labor","Electrical workers/IBEW",74.7443720904834,25.2556279095166,"#00007AAF","#00007AAF",73251
"10668028","(BLANK)","Uncoded","Uncoded","Uncoded",1.91754554170662,98.0824544582934,"#FA0000AF","#FA0000AF",5215
"24675193","CAPITAL CITY REPUBLICAN WOMEN","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",9500
"6967","GREATER JUNEAU DEMOCRATIC DISTRICT","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",7000
"19149","ALASKA STATE EMPLOYEES ASSOCIATION LOCAL 52","Public Sector Unions","Labor","State & local government employee unions",64.3564356435644,35.6435643564356,"#000047AF","#000047AF",50500
"19187","ALASKA PUBLIC EMPLOYEES ASSOCATION","Public Sector Unions","Labor","State & local government employee unions",78.2339877857972,21.7660122142028,"#00008FAF","#00008FAF",79252
"19732","TEAMSTERS LOCAL 959","Transportation Unions","Labor","Teamsters unions",53.2491818606826,46.7508181393174,"#00000FAF","#00000FAF",38502
"19969","ALASKA PUBLIC EMPLOYEES LOCAL 71","Public Sector Unions","Labor","State & local government employee unions",59.2178770949721,40.7821229050279,"#00002EAF","#00002EAF",44750
"20084","ALASKA LABORERS LOCAL 942","General Trade Unions","Labor","Construction unions",63.8888888888889,36.1111111111111,"#000042AF","#000042AF",36000
"5703","ALASKA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",2.92397660818713,97.0760233918129,"#F50000AF","#F50000AF",8550
"5695","ALASKA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",34.7107438016529,65.2892561983471,"#520000AF","#520000AF",60500
"19900","OPERATING ENGINEERS LOCAL 302","General Trade Unions","Labor","Construction unions",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",49500
"19968","LABORERS LOCAL 341","General Trade Unions","Labor","Construction unions",59.3548387096774,40.6451612903226,"#00002EAF","#00002EAF",38750
"20587","PLUMBERS & STEAMFITTERS LOCAL 367","General Trade Unions","Labor","Construction unions",91.0714285714286,8.92857142857143,"#0000D1AF","#0000D1AF",5600
"20589","PLUMBERS & PIPEFITTERS LOCAL 375","General Trade Unions","Labor","Construction unions",54.5454545454545,45.4545454545455,"#000014AF","#000014AF",22000
"18599","ASSOCIATED GENERAL CONTRACTORS OF ALASKA","General Contractors","Construction","Builders associations",16.5957446808511,83.4042553191489,"#AD0000AF","#AD0000AF",58750
"8602","ALASKA STATE TROOPERS CHAPTER","Public Sector Unions","Labor","Police & fire fighters unions and associations",28.125,71.875,"#700000AF","#700000AF",16000
"5779","ANCHORAGE REPUBLICAN WOMENS CLUB","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",17500
"9450242","PAINTERS & ALLIED TRADES LOCAL 1140","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",8000
"5706","ALASKA PHYSICIANS & SURGEONS","Health Professionals","Health","Physicians",8.1799591002045,91.8200408997955,"#D60000AF","#D60000AF",24450
"20746","CARPENTERS & JOINERS LOCAL 1281","General Trade Unions","Labor","Construction unions",75.5112036243419,24.4887963756581,"#00007FAF","#00007FAF",24501
"6724","FAIRBANKS REPUBLICAN WOMENS CLUB","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",6500
"1076","GENERAL COMMUNICATION INC / GCI","Telecom Services & Equipment","Communications & Electronics","Telecommunications",18.8976377952756,81.1023622047244,"#A30000AF","#A30000AF",31750
"9592050","PUBLIC SAFETY EMPLOYEE ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",59.375,40.625,"#00002EAF","#00002EAF",16000
"20127","ALASKA STATE AFL-CIO","General Trade Unions","Labor","Labor unions",40.5940594059406,59.4059405940594,"#330000AF","#330000AF",10100
"9872","ALASKA DENTAL SOCIETY","Health Professionals","Health","Dentists",51.219512195122,48.780487804878,"#000005AF","#000005AF",4100
"3099","SOUTHEAST ALASKA PILOTS ASSOCIATION","Sea Transport","Transportation","Sea freight & passenger services",14.6341463414634,85.3658536585366,"#B80000AF","#B80000AF",10250
"7535011","NATIONAL EDUCATION ASSOCIATION ALASKA","Public Sector Unions","Labor","Teachers unions",80.5588800020345,19.4411199979655,"#000099AF","#000099AF",19660.75
"9603832","BUILDING INDUSTRY ASSOCIATION OF ANCHORAGE","Home Builders","Construction","Residential construction",0,100,"#FF0000AF","#FF0000AF",2500
"18864","ALASKA STATE HOSPITAL & NURSING HOME ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",11.4285714285714,88.5714285714286,"#C70000AF","#C70000AF",17500
"8615","PUTTING ALASKA FIRST","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",60,40,"#000033AF","#000033AF",10000
"21044","ASSOCIATED BUILDERS & CONTRACTORS ALASKA CHAPTER","General Contractors","Construction","Builders associations",7.14285714285714,92.8571428571429,"#DB0000AF","#DB0000AF",7000
"9181","TESORO CORP","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",8.10810810810811,91.8918918918919,"#D60000AF","#D60000AF",9250
"19092","ALASKA CORRECTIONAL OFFICERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",50,50,"#000000AF","#000000AF",6000
"40613279","UNITED ACADEMICS","Uncoded","Uncoded","Uncoded",75.8620689655172,24.1379310344828,"#00007FAF","#00007FAF",7250
"9581464","CARR, LAWRENCE J (LARRY)","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",40,60,"#330000AF","#330000AF",5000
"6848","FRIENDS OF FAIRBANKS MEMORIAL HOSPITAL","Hospitals & Nursing Homes","Health","Hospitals",0,100,"#FF0000AF","#FF0000AF",3500
"5698","ALASKA CABARET HOTEL RESTAURANT & RETAILERS ASSOCIATION","Lodging & Tourism","General Business","Hotels & motels",23.5294117647059,76.4705882352941,"#8A0000AF","#8A0000AF",12750
"9413688","ANCHORAGE CENTRAL LABOR COUNCIL","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",4000
