"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4799","ALABAMA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1524407.9
"20197","ALABAMA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",87.1547440579011,12.8452559420989,"#0000BDAF","#0000BDAF",1156092.34
"4800","ALABAMA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",410420.63
"4067","MEDICAL ASSOCIATION OF THE STATE OF ALABAMA","Health Professionals","Health","Physicians",21.152800435019,78.847199564981,"#940000AF","#940000AF",919500
"82","ALABAMA FARMERS FEDERATION","Agricultural Services & Products","Agriculture","Farm organizations & cooperatives",34.3786883075407,65.6213116924593,"#520000AF","#520000AF",613594.44
"16631091","ENERGY PAC","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",100,0,"#0000FFAF","#0000FFAF",143500
"6975891","FRIENDS OF MIKE HUBBARD","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",274800
"6977234","ECODEV PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",96.7914438502674,3.20855614973262,"#0000EBAF","#0000EBAF",93500
"6973989","JOHN CRAWFORD & ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",90.9090909090909,0,"#0000CCAF","#0000FFAF",44000
"6973370","NETWORK CREATIVE MEDIA","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",1.09409190371991,98.9059080962801,"#FA0000AF","#FA0000AF",228500
"4705","ALABAMA ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",95.8015267175573,4.19847328244275,"#0000E5AF","#0000E5AF",262000
"7000771","ASSOCIATED GENERAL CONTRACTORS OF ALABAMA","General Contractors","Construction","Builders associations",8.10810810810811,91.8918918918919,"#D60000AF","#D60000AF",129500
"6988417","PENNY PAC","Public Education Policy","Ideology/Single Issue","Public School Advocates",100,0,"#0000FFAF","#0000FFAF",30000
"6979322","GREEN PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",100,0,"#0000FFAF","#0000FFAF",40000
"12171","ALABAMA FORESTRY ASSOCIATION","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",8.2794830371567,91.7205169628433,"#D60000AF","#D60000AF",247600
"18770","ALABAMA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",47.9933110367893,52.0066889632107,"#0F0000AF","#0F0000AF",149500
"6973378","REPUBLICANS FOR THE FUTURE","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",149760
"3058","ALABAMA POWER CO","Electric Utilities","Energy & Natural Resources","Electric power utilities",44.7811081118225,55.2188918881775,"#1F0000AF","#1F0000AF",385647
"6162","FINE GEDDIE & ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",89.8496240601504,10.1503759398496,"#0000C7AF","#0000C7AF",266000
"6975147","DEL MARSH FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",22700
