"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4067","MEDICAL ASSOCIATION OF THE STATE OF ALABAMA","Health Professionals","Health","Physicians",7.44632015739412,89.5642812392725,"#DB0000AF","#CC0000AF",919917.47
"6224","CENTRAL ALABAMA REPUBLICAN COUNCIL","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",22250
"12171","ALABAMA FORESTRY ASSOCIATION","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",1.10203125519332,98.8979687448067,"#FA0000AF","#FA0000AF",226853.82
"3174","AUTOMOBILE DEALERS ASSOCIATION OF ALABAMA","Automotive","Transportation","Auto dealers, new & used",7.52983930512017,92.4701606948798,"#DB0000AF","#DB0000AF",258969.67
"6973301","FUTURE PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",6.75675675675676,93.2432432432432,"#E00000AF","#E00000AF",37000
"7000771","ASSOCIATED GENERAL CONTRACTORS OF ALABAMA","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",150100.32
"7107636","ALABAMA ASSOCIATION OF RETAILERS","Retail Sales","General Business","Retail trade",7.90697674418605,92.093023255814,"#DB0000AF","#DB0000AF",215000
"4437","ALABAMA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",18.6226377184054,78.8776793663724,"#A30000AF","#940000AF",400050.74
"3205","ALABAMA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",16.8878166465621,79.2521109770808,"#AD0000AF","#990000AF",414500
"3058","ALABAMA POWER CO","Electric Utilities","Energy & Natural Resources","Electric power utilities",22.7477447430907,75.0124773129742,"#8F0000AF","#850000AF",714356.53
"5670","ALABAMA ACADEMY OF OPHTHALMOLOGY","Health Professionals","Health","Optometrists & ophthalmologists",18.1818181818182,81.8181818181818,"#A30000AF","#A30000AF",33000
"3835","ALABAMA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",13.7108308982898,84.9180860118813,"#BD0000AF","#B30000AF",72935.04
"4705","ALABAMA ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",19.3447737909516,76.4950598023921,"#9E0000AF","#8A0000AF",480750
"4721","ALABAMA TRUCKING ASSOCIATION","Trucking","Transportation","Trucking",3.33333333333333,96.6666666666667,"#F00000AF","#F00000AF",450000
"1235028","ED PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",14.4117647058824,85.5882352941176,"#B80000AF","#B80000AF",170000
"1235086","NEW PAC","Business Associations","General Business","Pro-business organizations",9.21658986175115,86.1751152073733,"#D10000AF","#BD0000AF",108500
"2971672","TEC PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",26.171875,73.828125,"#7A0000AF","#7A0000AF",128000
"7318359","MAXPAC","Business Associations","General Business","Pro-business organizations",14.1843971631206,70.9219858156028,"#B80000AF","#6B0000AF",70500
"27603318","COSBY COMPANY","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",21.3559322033898,77.9661016949153,"#940000AF","#8F0000AF",147500
"18863","ALABAMA NURSING HOME ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",9.39907550077042,87.5192604006163,"#D10000AF","#C20000AF",324500
"2935","ALABAMA RURAL ELECTRIC ASSOCIATION","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",7.78816199376947,90.9657320872274,"#DB0000AF","#D10000AF",160500
"18967024","ALABAMA STATE FARM INSURANCE AGENTS & ASSOCIATES","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",24.1486068111455,72.7554179566563,"#850000AF","#750000AF",80750
"3059","ALABAMA ROAD BUILDERS ASSOCIATION","General Contractors","Construction","Public works, industrial & commercial construction",15.7181571815718,81.5718157181572,"#B30000AF","#A30000AF",184500
"3812","HARE WYNN NEWELL & NEWTON","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",15.1898734177215,84.8101265822785,"#B30000AF","#B30000AF",19750
"3825","HOME BUILDERS ASSOCIATION OF ALABAMA","Home Builders","Construction","Residential construction",11.1731843575419,87.7094972067039,"#C70000AF","#C20000AF",268500
"13104","IM PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",20,75.3488372093023,"#990000AF","#850000AF",107500
"18770","ALABAMA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",11.2121212121212,88.7878787878788,"#C70000AF","#C70000AF",165000
"24750","MAINSTREAM PAC","Business Associations","General Business","Pro-business organizations",16.4839753627727,81.196135063971,"#AD0000AF","#A30000AF",43105.5
"1235026","CAN PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",42.2459893048128,52.4064171122995,"#290000AF","#0F0000AF",93500
"1235031","FAX PAC","Business Associations","General Business","Pro-business organizations",23.5294117647059,76.4705882352941,"#8A0000AF","#8A0000AF",85000
"1235064","LEG PAC","Business Associations","General Business","Pro-business organizations",11.3636363636364,73.8636363636364,"#C70000AF","#7A0000AF",88000
"1235089","SAVEPAC","Business Associations","General Business","Pro-business organizations",26.7045454545455,64.7727272727273,"#7A0000AF","#4D0000AF",88000
"6973354","FAIR PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",10.9090909090909,87.2727272727273,"#CC0000AF","#C20000AF",27500
"6974706","CAPITOL RESOURCES OF ALABAMA","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",30.3030303030303,69.6969696969697,"#660000AF","#660000AF",33000
"6975588","UNITED PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",14.1304347826087,85.8695652173913,"#B80000AF","#B80000AF",46000
"6976022","FIRST DECADE PAC","Business Associations","General Business","Pro-business organizations",29.7777777777778,65.7777777777778,"#6B0000AF","#520000AF",56250
"6978172","FREE ENTERPRISE PAC","Business Associations","General Business","Pro-business organizations",40.406788444099,46.6381655654878,"#330000AF","#00000FAF",38595
"6980255","GOODPAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",0,100,"#FF0000AF","#FF0000AF",3000
