"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4802","ARKANSAS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",49150
"5857","ARKANSAS REALTORS ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Real estate",54.20054200542,45.7994579945799,"#000014AF","#000014AF",55350
"2859","WILKES & MCHUGH","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",14000
"18865","ARKANSAS HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",66.1512027491409,33.8487972508591,"#000052AF","#000052AF",58200
"4803","ARKANSAS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",16874
"9911127","IMPACT","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",87.5,12.5,"#0000BDAF","#0000BDAF",16000
"362","BEVERLY ENTERPRISES","Hospitals & Nursing Homes","Health","Nursing homes",63.020030816641,36.979969183359,"#000042AF","#000042AF",32450
"5827","ARKANSAS ASPHALT PAVEMENT ASSOCIATION","General Contractors","Construction","Public works, industrial & commercial construction",55.2238805970149,44.7761194029851,"#00001AAF","#00001AAF",16750
"6739","FAULKNER COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2500
"10098","ARKANSAS BLUE CROSS BLUE SHIELD","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",60,40,"#000033AF","#000033AF",8750
"9845736","ARKANSAS AMUSEMENT OPERATORS CMTE","Recreation & Live Entertainment","General Business","Recreation & entertainment",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",2250
"21140","BROTHERHOOD OF LOCOMOTIVE ENGINEERS & TRAINMEN / BLET","Transportation Unions","Labor","Railroad unions",44.4444444444444,55.5555555555556,"#1F0000AF","#1F0000AF",2250
"5848","ARKANSAS MEDICAL SOCIETY","Health Professionals","Health","Physicians",58.2809224318658,41.7190775681342,"#000029AF","#000029AF",23850
"20199","ARKANSAS EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",78.8888888888889,21.1111111111111,"#00008FAF","#00008FAF",18000
"5862","ARKANSAS TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",92.4528301886792,7.54716981132075,"#0000D6AF","#0000D6AF",13250
