"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"18865","ARKANSAS HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",76.6066838046273,23.3933161953728,"#000085AF","#000085AF",97250
"5912","ARKANSAS STATE CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",62.3529411764706,37.6470588235294,"#00003DAF","#00003DAF",21250
"4802","ARKANSAS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",4.54545454545455,95.4545454545455,"#EB0000AF","#EB0000AF",11000
"2859","WILKES & MCHUGH","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",86.1111111111111,13.8888888888889,"#0000B8AF","#0000B8AF",18000
"16185","STEPHENS GROUP","Securities & Investment","Finance, Insurance & Real Estate","Securities, commodities & investment",72.785145089919,27.214854910081,"#000070AF","#000070AF",60444.93
"5848","ARKANSAS MEDICAL SOCIETY","Health Professionals","Health","Physicians",82.07343412527,17.92656587473,"#0000A3AF","#0000A3AF",46300
"5857","ARKANSAS REALTORS ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Real estate",70.0787401574803,29.9212598425197,"#000066AF","#000066AF",31750
"9761353","CONSERVATIVE LEADERSHIP FOR ARKANSAS","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",20,80,"#990000AF","#9E0000AF",5000
"19115","ARKANSAS AFSCME STATE COUNCIL 38","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",9500
"8933","SOUTH ARKANSAS TELEPHONE CO","Telecom Services & Equipment","Communications & Electronics","Telecommunications",100,0,"#0000FFAF","#0000FFAF",10500
"913","ENTERGY CORP","Electric Utilities","Energy & Natural Resources","Electric power utilities",83.5616438356164,16.4383561643836,"#0000A8AF","#0000A8AF",36500
"6859","WASHINGTON COUNTY REPUBLICAN CENTRAL CMTE OF ARKANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2000
"2218","R J REYNOLDS TOBACCO CO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",77.5193798449613,22.4806201550388,"#00008AAF","#00008AAF",12900
"9421","WASHINGTON COUNTY REPUBLICAN WOMEN OF ARKANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3800
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",90.5660377358491,9.43396226415094,"#0000CCAF","#0000CCAF",5300
"1338","INTERNATIONAL PAPER","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",68.6274509803922,31.3725490196078,"#00005CAF","#00005CAF",12750
"25","ACXIOM CORP","Business Services","General Business","Business services",76.1904761904762,23.8095238095238,"#000085AF","#000085AF",21000
"362","BEVERLY ENTERPRISES","Hospitals & Nursing Homes","Health","Nursing homes",70.2702702702703,29.7297297297297,"#000066AF","#000066AF",18500
"5856","POULTRY FEDERATION OF ARKANSAS MISSOURI & OKLAHOMA","Poultry & Eggs","Agriculture","Poultry & eggs",80.3921568627451,19.6078431372549,"#000099AF","#000099AF",15300
"2670","TYSON FOODS","Food Processing & Sales","Agriculture","Meat processing & products",65.2173913043478,34.7826086956522,"#00004DAF","#00004DAF",11500
"9911127","IMPACT","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",8750
"96","ALLTEL COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",79.1622646950835,20.8377353049165,"#000094AF","#000094AF",23994.93
"331","BAYER AG","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",73.7623762376238,26.2376237623762,"#000075AF","#000075AF",10100
"8772","RURAL ARKANSAS TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",82.9307568438003,17.0692431561997,"#0000A3AF","#0000A3AF",31050
