"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"5798","ARIZONA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",21.9242439072135,78.0757560927865,"#940000AF","#940000AF",20434
"5814","ARIZONA MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",18.005540166205,81.994459833795,"#A30000AF","#A30000AF",7220
"5815","ARIZONA MULTIHOUSING ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",15.6739811912226,84.3260188087774,"#B30000AF","#B30000AF",3190
"20198","ARIZONA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",48.780487804878,51.219512195122,"#0A0000AF","#0A0000AF",6150
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",1780
"5911","ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA","Public Sector Unions","Labor","Police & fire fighters unions and associations",0,100,"#FF0000AF","#FF0000AF",3880
"6948","GRAND CANYON STATE ELECTRIC COOPERATIVE ASSOCIATION","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",26.5402843601896,73.4597156398104,"#7A0000AF","#7A0000AF",2110
"584","CIGNA CORP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",0,100,"#FF0000AF","#FF0000AF",3490
"5806","ARIZONA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",22.4489795918367,77.5510204081633,"#8F0000AF","#8F0000AF",2450
"2299","SALT RIVER PROJECT","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",22.972972972973,77.027027027027,"#8F0000AF","#8F0000AF",7400
"7102","HOME BUILDERS ASSOCIATION OF CENTRAL ARIZONA","Home Builders","Construction","Residential construction",5.4033191817831,94.5966808182169,"#E60000AF","#E60000AF",5182
"8817734","FOOD INDUSTRY","Food Processing & Sales","Agriculture","Food stores",21.8362282878412,78.1637717121588,"#940000AF","#940000AF",4030
"21084","INDEPENDENT INSURANCE AGENTS & BROKERS OF ARIZONA","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",12.3595505617978,87.6404494382023,"#C20000AF","#C20000AF",2225
"5813","ARIZONA LICENSED BEVERAGE ASSOCIATION","Beer, Wine & Liquor","General Business","Alcohol",5.81395348837209,94.1860465116279,"#E60000AF","#E60000AF",3440
"6749","FENNEMORE CRAIG","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",16.5957446808511,83.4042553191489,"#AD0000AF","#AD0000AF",4700
"2818","WELLS FARGO","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",20,80,"#990000AF","#9E0000AF",2800
"5804","ARIZONA AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",13.3333333333333,86.6666666666667,"#BD0000AF","#BD0000AF",4200
"5810","ARIZONA HOSPITAL & HEALTHCARE ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",30.5676855895196,69.4323144104803,"#660000AF","#660000AF",4580
"8481","PINNACLE WEST","Electric Utilities","Energy & Natural Resources","Electric power utilities",17.5,82.5,"#A80000AF","#A80000AF",5200
"18833","PLANNED PARENTHOOD ARIZONA","Health Services","Health","Health care services",0,100,"#FF0000AF","#FF0000AF",560
"19433","PROFESSIONAL FIRE FIGHTERS OF ARIZONA","Public Sector Unions","Labor","Police & fire fighters unions and associations",60,40,"#000033AF","#000033AF",1400
"4994","ARIZONA CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",17.8343949044586,82.1656050955414,"#A80000AF","#A80000AF",1570
"19335","ARIZONA STATE LODGE FRATERNAL ORDER OF POLICE","Public Sector Unions","Labor","Police & fire fighters unions and associations",20.703125,79.296875,"#990000AF","#990000AF",2560
"8443539","ARIZONA OPHTHALMOLOGIST ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",7.04225352112676,92.9577464788732,"#DB0000AF","#DB0000AF",2485
"5808","ARIZONA FARM BUREAU FEDERATION","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",18.5185185185185,81.4814814814815,"#A30000AF","#A30000AF",1080
"8459","PHELPS DODGE","Mining","Energy & Natural Resources","Mining",0,100,"#FF0000AF","#FF0000AF",3800
"18772","ARIZONA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",11.0344827586207,88.9655172413793,"#C70000AF","#C70000AF",4350
"8425223","ARIZONA CONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",680
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",0,100,"#FF0000AF","#FF0000AF",2810
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",0,100,"#FF0000AF","#FF0000AF",560
"3841","HOUSEHOLD INTERNATIONAL","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",50,50,"#000000AF","#000000AF",1120
"2772","WAL-MART","Retail Sales","General Business","Department, variety & convenience stores",0,100,"#FF0000AF","#FF0000AF",1090
"4064","MAXIMUS CORP","Business Services","General Business","Employment agencies",17.9487179487179,82.051282051282,"#A80000AF","#A80000AF",1560
"6458","COX COMMUNICATIONS","Miscellaneous Communications & Electronics","Communications & Electronics","Communications & electronics",0,100,"#FF0000AF","#FF0000AF",3480
"8777300","ARIZONA ASSOCIATION FOR MANUFACTURED HOUSING","Home Builders","Construction","Mobile home construction",0,100,"#FF0000AF","#FF0000AF",480
"8443407","UNITED MESA FIRE FIGHTERS LOCAL 2260","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",680
"2834","WESTERN GROWERS ASSOCIATION","Crop Production & Basic Processing","Agriculture","Farmers, in general",50,50,"#000000AF","#000000AF",1120
"5746","AMERICA WEST AIRLINES","Air Transport","Transportation","Airlines",19.1780821917808,80.8219178082192,"#9E0000AF","#9E0000AF",1460
"5802","ARIZONA CATTLEMENS ASSOCIATION","Livestock","Agriculture","Livestock",23.728813559322,76.271186440678,"#8A0000AF","#8A0000AF",1180
"8519920","PROFESSIONAL FLAGSTAFF FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",840
"8647829","ARIZONA RURAL ELECTRIC COOPERATIVES","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",50,50,"#000000AF","#000000AF",560
"1778","MOTOROLA","Telecom Services & Equipment","Communications & Electronics","Telephone & communications equipment",0,100,"#FF0000AF","#FF0000AF",840
"2437","SOUTHWEST GAS","Oil & Gas","Energy & Natural Resources","Natural gas transmission & distribution",19.2307692307692,80.7692307692308,"#9E0000AF","#9E0000AF",3380
