"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"18068","ARIZONA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5008.28
"19514","PHOENIX FIRE FIGHTERS LOCAL 493","Public Sector Unions","Labor","Police & fire fighters unions and associations",26.8085106382979,73.1914893617021,"#7A0000AF","#7A0000AF",2350
"20909","FOOD & COMMERCIAL WORKERS LOCAL 99","General Trade Unions","Labor","Retail trade unions",25.7731958762887,74.2268041237113,"#800000AF","#800000AF",1940
"5806","ARIZONA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",15.1821862348178,84.8178137651822,"#B30000AF","#B30000AF",4940
"7102","HOME BUILDERS ASSOCIATION OF CENTRAL ARIZONA","Home Builders","Construction","Residential construction",23.0103806228374,76.9896193771626,"#8A0000AF","#8A0000AF",5780
"5798","ARIZONA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",36.6206779083631,63.3793220916369,"#470000AF","#470000AF",11742
"2299","SALT RIVER PROJECT","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",21.2121212121212,78.7878787878788,"#940000AF","#940000AF",8250
"5814","ARIZONA MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",42.5,57.5,"#290000AF","#290000AF",4000
"5911","ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA","Public Sector Unions","Labor","Police & fire fighters unions and associations",22.8494623655914,77.1505376344086,"#8F0000AF","#8F0000AF",3720
"18772","ARIZONA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",12.5,87.5,"#C20000AF","#C20000AF",5440
"20198","ARIZONA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",2500
"584","CIGNA CORP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",26.4150943396226,73.5849056603774,"#7A0000AF","#7A0000AF",2120
"6749","FENNEMORE CRAIG","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",26.4248704663212,73.5751295336787,"#7A0000AF","#7A0000AF",5790
"19335","ARIZONA STATE LODGE FRATERNAL ORDER OF POLICE","Public Sector Unions","Labor","Police & fire fighters unions and associations",12.1951219512195,87.8048780487805,"#C20000AF","#C20000AF",3280
"4485","SALT RIVER PIMA-MARICOPA INDIAN COMMUNITY","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",41.726618705036,58.273381294964,"#2E0000AF","#2E0000AF",1390
"6458","COX COMMUNICATIONS","Miscellaneous Communications & Electronics","Communications & Electronics","Communications & electronics",37.2031662269129,62.7968337730871,"#420000AF","#420000AF",3790
"2437","SOUTHWEST GAS","Oil & Gas","Energy & Natural Resources","Natural gas transmission & distribution",19.1570881226054,80.8429118773946,"#9E0000AF","#9E0000AF",2610
"5804","ARIZONA AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",40,60,"#330000AF","#330000AF",2800
"5823","ARIZONA WHOLESALE BEER & LIQUOR ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",40.3954802259887,59.6045197740113,"#330000AF","#330000AF",3540
"6948","GRAND CANYON STATE ELECTRIC COOPERATIVE ASSOCIATION","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",22.0472440944882,77.9527559055118,"#8F0000AF","#8F0000AF",3810
"8459","PHELPS DODGE","Mining","Energy & Natural Resources","Mining",22.7642276422764,77.2357723577236,"#8F0000AF","#8F0000AF",4920
"1536","LEWIS & ROCA","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",1120
"2818","WELLS FARGO","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",23.342939481268,76.657060518732,"#8A0000AF","#8A0000AF",3470
"5810","ARIZONA HOSPITAL & HEALTHCARE ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",37.6344086021505,62.3655913978495,"#420000AF","#420000AF",3720
"8443407","UNITED MESA FIRE FIGHTERS LOCAL 2260","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",480
"8522478","UNISOURCE ENERGY","Electric Utilities","Energy & Natural Resources","Electric power utilities",15.625,84.375,"#B30000AF","#B30000AF",1280
"8635907","UNITED MARICOPA COUNTY FIREFIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",0,100,"#FF0000AF","#FF0000AF",840
"10940923","AZ CONTRACTORS ASSOCIATION","Uncoded","Uncoded","Uncoded",20.8333333333333,79.1666666666667,"#990000AF","#990000AF",480
"9263","UNITED DAIRYMEN OF ARIZONA","Dairy","Agriculture","Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",36.8421052631579,63.1578947368421,"#470000AF","#470000AF",760
"8443539","ARIZONA OPHTHALMOLOGIST ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",14.5833333333333,85.4166666666667,"#B80000AF","#B80000AF",1920
"5813","ARIZONA LICENSED BEVERAGE ASSOCIATION","Beer, Wine & Liquor","General Business","Alcohol",26.6666666666667,73.3333333333333,"#7A0000AF","#7A0000AF",3750
"8481","PINNACLE WEST","Electric Utilities","Energy & Natural Resources","Electric power utilities",43.8084112149533,56.1915887850467,"#240000AF","#240000AF",3424
"12586","GREATER PHOENIX CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",31.8181818181818,68.1818181818182,"#610000AF","#610000AF",880
"3799","GILA RIVER INDIAN COMMUNITY","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",0,100,"#FF0000AF","#FF0000AF",1340
"4994","ARIZONA CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",25.7668711656442,74.2331288343558,"#800000AF","#800000AF",3260
"8642197","ARIZONA PRIVATE SCHOOLS ASSOCIATION","Education","Government Agencies/Education/Other","Education",100,0,"#0000FFAF","#0000FFAF",430
"8817734","FOOD INDUSTRY","Food Processing & Sales","Agriculture","Food stores",43.0604982206406,56.9395017793594,"#240000AF","#240000AF",3372
"18926694","ARIZONA BANKERS ASSOCIATION","Uncoded","Uncoded","Uncoded",10.6382978723404,89.3617021276596,"#CC0000AF","#CC0000AF",940
"914","ENTERPRISE HOLDINGS","Automotive","Transportation","Car & truck rental agencies",0,100,"#FF0000AF","#FF0000AF",560
"40613832","ARIZONA PRIVATE SCHOOLS ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",710
