"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"17296","ARIZONA CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",0,100,"#FF0000AF","#FF0000AF",13141
"20198","ARIZONA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",75.6525370641052,24.3474629358948,"#00007FAF","#00007FAF",19156
"8425625","ARIZONA LIST","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",8470
"20909","FOOD & COMMERCIAL WORKERS LOCAL 99","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",11584
"5798","ARIZONA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",24.8901388644753,75.1098611355247,"#850000AF","#850000AF",22756
"8501304","SADDLEBROOKE REPUBLICAN CLUB 2010","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1660
"12586","GREATER PHOENIX CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",8.97666068222621,91.0233393177738,"#D60000AF","#D60000AF",4456
"5814","ARIZONA MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",40.8913120777528,59.1086879222472,"#330000AF","#330000AF",16874
"6458","COX COMMUNICATIONS","Miscellaneous Communications & Electronics","Communications & Electronics","Communications & electronics",27.6178393676198,72.3821606323802,"#750000AF","#750000AF",20494
"2299","SALT RIVER PROJECT","Water Utilities","Energy & Natural Resources","Water utilities",34.6608672013049,65.3391327986951,"#520000AF","#520000AF",14714
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",5200
"5806","ARIZONA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",40,60,"#330000AF","#330000AF",2900
"1265","HONEYWELL INTERNATIONAL","Air Transport","Transportation","Aircraft manufacturers",22.5027442371021,77.4972557628979,"#8F0000AF","#8F0000AF",3644
"8481","PINNACLE WEST","Electric Utilities","Energy & Natural Resources","Electric power utilities",34.6478873239437,65.3521126760563,"#520000AF","#520000AF",10650
"5810","ARIZONA HOSPITAL & HEALTHCARE ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",50.1644736842105,49.8355263157895,"#000000AF","#000000AF",12160
"10095","ARIZONA SOCIETY OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",29.6727272727273,70.3272727272727,"#6B0000AF","#6B0000AF",13750
"5911","ASSOCIATED HIGHWAY PATROLMEN OF ARIZONA","Public Sector Unions","Labor","Police & fire fighters unions and associations",19.4690265486726,80.5309734513274,"#9E0000AF","#9E0000AF",5650
"5815","ARIZONA MULTIHOUSING ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",27.2727272727273,72.7272727272727,"#750000AF","#750000AF",3300
"8443539","ARIZONA OPHTHALMOLOGIST ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",31.3705583756345,68.6294416243655,"#610000AF","#610000AF",9850
"435","BNSF RAILWAY","Railroads","Energy & Natural Resources","Railroads",17.7906976744186,82.2093023255814,"#A80000AF","#A80000AF",8600
"7102","HOME BUILDERS ASSOCIATION OF CENTRAL ARIZONA","Home Builders","Construction","Residential construction",2.7114967462039,97.2885032537961,"#F50000AF","#F50000AF",9220
"8425590","ARIZONA PHARMACY ASSOCIATION","Health Professionals","Health","Pharmacists",38.135593220339,61.864406779661,"#3D0000AF","#3D0000AF",3540
"2207","REPUBLIC NATIONAL DISTRIBUTING CO","Beer, Wine & Liquor","General Business","Liquor wholesalers",9.87654320987654,90.1234567901235,"#D10000AF","#D10000AF",4050
"5802","ARIZONA CATTLEMENS ASSOCIATION","Livestock","Agriculture","Livestock",13.4770889487871,86.5229110512129,"#BD0000AF","#BD0000AF",3710
"298","BANK OF AMERICA","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",31.7460317460317,68.2539682539683,"#610000AF","#610000AF",3780
"2147","QWEST COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",32.7272727272727,67.2727272727273,"#5C0000AF","#5C0000AF",2750
"4698","TOHONO OODHAM NATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",61.9047619047619,38.0952380952381,"#000038AF","#000038AF",8610
"4994","ARIZONA CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",45.1100244498777,54.8899755501223,"#1A0000AF","#1A0000AF",8180
"4632635","PLUMBERS & STEAMFITTERS LOCAL 469","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2460
"1045","FREEPORT-MCMORAN COPPER & GOLD","Mining","Energy & Natural Resources","Metal mining & processing",17.8844056706652,82.1155943293348,"#A80000AF","#A80000AF",9170
"2818","WELLS FARGO","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",26.4516129032258,73.5483870967742,"#7A0000AF","#7A0000AF",7750
"6749","FENNEMORE CRAIG","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",24.9365482233503,75.0634517766497,"#850000AF","#850000AF",15760
