"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"20909","FOOD & COMMERCIAL WORKERS LOCAL 99","General Trade Unions","Labor","Retail trade unions",66.9020300088261,33.0979699911739,"#000052AF","#000052AF",22660
"19433","PROFESSIONAL FIRE FIGHTERS OF ARIZONA","Public Sector Unions","Labor","Police & fire fighters unions and associations",25,75,"#800000AF","#800000AF",16000
"8425625","ARIZONA LIST","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",8000
"17296","ARIZONA CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",16.3875210579646,83.6124789420354,"#AD0000AF","#AD0000AF",28985.47
"18833","PLANNED PARENTHOOD ARIZONA","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",26000
"15852497","ARIZONA LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",44500
"10941489","GRAND CANYON EDUCATION","Education","Government Agencies/Education/Other","Schools & colleges",47.6190476190476,52.3809523809524,"#0F0000AF","#0F0000AF",10500
"528","CENTENE CORP","Health Services","Health","HMOs",25.9259259259259,74.0740740740741,"#800000AF","#800000AF",8100
"958","FARMERS INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",5.10948905109489,94.8905109489051,"#E60000AF","#E60000AF",17125
"5800","ARIZONA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",0,100,"#FF0000AF","#FF0000AF",7500
"5798","ARIZONA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",26.3157894736842,73.6842105263158,"#7A0000AF","#7A0000AF",51300
"8481","PINNACLE WEST","Electric Utilities","Energy & Natural Resources","Electric power utilities",26.2295081967213,73.7704918032787,"#7A0000AF","#7A0000AF",61000
"8428029","ARIZONA FREE ENTERPRISE CLUB","Tax Issues","Ideology/Single Issue","Fiscal & tax policy",0,100,"#FF0000AF","#FF0000AF",6100
"2692","UNITED HEALTHCARE SERVICES","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",11.1111111111111,88.8888888888889,"#C70000AF","#C70000AF",18000
"8331868","SMART","General Trade Unions","Labor","Other unions",100,0,"#0000FFAF","#0000FFAF",4800
"12586","GREATER PHOENIX CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",0,100,"#FF0000AF","#FF0000AF",5656.98
"5806","ARIZONA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",39.3835616438356,60.6164383561644,"#380000AF","#380000AF",14600
"2299","SALT RIVER PROJECT","Water Utilities","Energy & Natural Resources","Water utilities",28.5624607658506,71.4375392341494,"#700000AF","#700000AF",39825
"8443545","ARIZONA TECHNOLOGY COUNCIL","Computer Equipment & Services","Communications & Electronics","Data processing & computer services",37.1794871794872,62.8205128205128,"#420000AF","#420000AF",15600
"10309","BEER & WINE DISTRIBUTORS OF ARIZONA","Beer, Wine & Liquor","General Business","Liquor wholesalers",39.1891891891892,60.8108108108108,"#380000AF","#380000AF",7400
"10433","BLUE CROSS BLUE SHIELD OF ARIZONA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",45.4545454545455,54.5454545454545,"#1A0000AF","#1A0000AF",9900
"10095","ARIZONA SOCIETY OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",17.8456591639871,82.1543408360129,"#A80000AF","#A80000AF",21148
"8583469","DAISY MOUNTAIN FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",0,100,"#FF0000AF","#FF0000AF",3000
"5804","ARIZONA AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",0,100,"#FF0000AF","#FF0000AF",10000
"1045","FREEPORT-MCMORAN COPPER & GOLD","Mining","Energy & Natural Resources","Metal mining & processing",11.9047619047619,88.0952380952381,"#C70000AF","#C70000AF",14700
"8443407","UNITED MESA FIRE FIGHTERS LOCAL 2260","Public Sector Unions","Labor","Police & fire fighters unions and associations",0,100,"#FF0000AF","#FF0000AF",3500
"2675","UNION PACIFIC RAILROAD","Railroads","Energy & Natural Resources","Railroads",26.6821345707657,73.3178654292343,"#7A0000AF","#7A0000AF",21550
"943","EXPRESS SCRIPTS","Retail Sales","General Business","Drug stores",32.258064516129,67.741935483871,"#5C0000AF","#5C0000AF",9300
