"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"8073","NEW CASTLE COUNTY DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",10300
"8400409","SUSSEX COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2200
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",34.9775784753363,65.0224215246637,"#520000AF","#520000AF",11150
"6778","FIRST STATE MANUFACTURED HOUSING ASSOCIATION","Home Builders","Construction","Mobile home construction",12.5937031484258,87.4062968515742,"#C20000AF","#C20000AF",16675
"8568686","DELPAC","Real Estate","Finance, Insurance & Real Estate","Real estate",16.2162162162162,83.7837837837838,"#AD0000AF","#AD0000AF",1850
"6541","DELAWARE TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",58.8235294117647,41.1764705882353,"#000029AF","#000029AF",15300
"6533","DELAWARE RACING ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",36.4787111622555,63.5212888377445,"#470000AF","#470000AF",21725
"19777","TEAMSTERS LOCAL 326","Transportation Unions","Labor","Teamsters unions",55.9633027522936,44.0366972477064,"#00001AAF","#00001AAF",10900
"298","BANK OF AMERICA","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",16.9230769230769,83.0769230769231,"#AD0000AF","#AD0000AF",19500
"7974","MUMFORD & MILLER CONCRETE","Building Materials & Equipment","Construction","Stone, clay, glass & concrete products",0,100,"#FF0000AF","#FF0000AF",2400
"2190","REED SMITH LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",17.4861139683193,82.5138860316807,"#A80000AF","#A80000AF",4861
"8566359","PAUL A NICKLE INC","Special Trade Contractors","Construction","Electrical contractors",0,100,"#FF0000AF","#FF0000AF",1500
"2513","SUNOCO INC","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",19.6969696969697,80.3030303030303,"#9E0000AF","#9E0000AF",6600
"6527","DELAWARE CITIZENS FOR ECONOMIC DEVELOPMENT","Business Associations","General Business","Pro-business organizations",35.5624275222265,64.4375724777735,"#4D0000AF","#4D0000AF",12935
"8187","NONPARTISAN CITIZENS FOR BUSINESS EXPANSION","Business Associations","General Business","Pro-business organizations",41.8470418470419,58.1529581529582,"#2E0000AF","#2E0000AF",13860
"3377007","LABORERS UNIDENTIFIED","General Trade Unions","Labor","Construction unions",54.5454545454545,45.4545454545455,"#000014AF","#000014AF",4400
"8562496","NKS DISTRIBUTORS INC","Beer, Wine & Liquor","General Business","Liquor wholesalers",18.1818181818182,81.8181818181818,"#A30000AF","#A30000AF",3300
"16870264","STANDARD DISTRIBUTING CO","Uncoded","Uncoded","Uncoded",34.6938775510204,65.3061224489796,"#520000AF","#520000AF",4900
"19579","BOILERMAKERS LOCAL 13","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",1535
"19155","AFSCME COUNCIL 81","Public Sector Unions","Labor","State & local government employee unions",74.1721854304636,25.8278145695364,"#00007AAF","#00007AAF",3775
"20467","SHEET METAL WORKERS LOCAL 19","General Trade Unions","Labor","Construction unions",84.5637583892617,15.4362416107383,"#0000ADAF","#0000ADAF",3725
"2046","PHILIP MORRIS","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",42.603550295858,57.396449704142,"#290000AF","#290000AF",16900
"8469301","CMTE TO REELECT TERRY SPENCE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",2500
"2218","R J REYNOLDS TOBACCO CO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",39.647577092511,60.352422907489,"#380000AF","#380000AF",11350
"6522","DELAWARE AUTOMOBILE & TRUCK DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",22.2664015904573,77.7335984095428,"#8F0000AF","#8F0000AF",12575
"6537","DELAWARE STATE DENTAL SOCIETY","Health Professionals","Health","Dentists",33.6206896551724,66.3793103448276,"#570000AF","#570000AF",11600
"19410","IRONWORKERS LOCAL 451","General Trade Unions","Labor","Construction unions",88.6792452830189,11.3207547169811,"#0000C2AF","#0000C2AF",5300
"19649","ELECTRICAL WORKERS LOCAL 313","General Trade Unions","Labor","Electrical workers/IBEW",93.3734939759036,6.62650602409639,"#0000DBAF","#0000DBAF",8300
"20213","DELAWARE EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",50.0578480524489,49.9421519475511,"#000000AF","#000000AF",12965
"20614","PLUMBERS & PIPEFITTERS LOCAL 74","General Trade Unions","Labor","Construction unions",81.6326530612245,18.3673469387755,"#00009EAF","#00009EAF",6125
