"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"8073","NEW CASTLE COUNTY DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",18000
"9081","SUSSEX COUNTY DEMOCRATIC EXECUTIVE CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2100
"19777","TEAMSTERS LOCAL 326","Transportation Unions","Labor","Teamsters unions",66.5097115950559,33.4902884049441,"#000052AF","#000052AF",8495
"28145325","NEW COLONY NORTH CO","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",2100
"3377007","LABORERS UNIDENTIFIED","General Trade Unions","Labor","Construction unions",95.4545454545455,4.54545454545455,"#0000E5AF","#0000E5AF",6600
"298","BANK OF AMERICA","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",52.2727272727273,47.7272727272727,"#00000AAF","#00000AAF",13200
"11611","DELAWARE REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",10000
"8535389","DEMOCRATS 2002","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5800
"3204","BANK ONE CORP","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",49.4148244473342,50.5851755526658,"#050000AF","#050000AF",7690
"6521","DELAWARE ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",43.8028870084619,56.1971129915381,"#240000AF","#240000AF",10045
"2190","REED SMITH LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",71.6463414634146,28.3536585365854,"#00006BAF","#00006BAF",4920
"2513","SUNOCO INC","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",52.9411764705882,47.0588235294118,"#00000AAF","#00000AAF",8500
"2873","WILMINGTON TRUST CORP","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",43.298969072165,56.701030927835,"#240000AF","#240000AF",4850
"8400409","SUSSEX COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1285
"20467","SHEET METAL WORKERS LOCAL 19","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2125
"16870325","CIVIC AFFAIRS CONSTRUCTION COUNCIL","Uncoded","Uncoded","Uncoded",50.2988047808765,49.7011952191235,"#000000AF","#000000AF",5020
"2046","PHILIP MORRIS","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",62.3188405797101,37.6811594202899,"#00003DAF","#00003DAF",6900
"6522","DELAWARE AUTOMOBILE & TRUCK DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",47.1698113207547,52.8301886792453,"#0F0000AF","#0F0000AF",10600
"6537","DELAWARE STATE DENTAL SOCIETY","Health Professionals","Health","Dentists",59.5505617977528,40.4494382022472,"#00002EAF","#00002EAF",8900
"6541","DELAWARE TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",90,10,"#0000CCAF","#0000CCAF",6000
"6778","FIRST STATE MANUFACTURED HOUSING ASSOCIATION","Home Builders","Construction","Mobile home construction",24.2,75.8,"#850000AF","#850000AF",12500
"17311","NEW CASTLE COUNTY CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",58.1761006289308,41.8238993710692,"#000029AF","#000029AF",6360
"20817","MILLWRIGHTS & MACHINERY ERECTORS LOCAL 1545","General Trade Unions","Labor","Manufacturing unions",90.9090909090909,9.09090909090909,"#0000CCAF","#0000CCAF",6600
"8472955","JACOBS & CRUMPLAR PA","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",50,50,"#000000AF","#000000AF",1200
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",31.5789473684211,68.4210526315789,"#610000AF","#610000AF",5700
"6527","DELAWARE CITIZENS FOR ECONOMIC DEVELOPMENT","Business Associations","General Business","Pro-business organizations",75.0925436277102,24.9074563722898,"#00007FAF","#00007FAF",9455
"6533","DELAWARE RACING ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",61.5384615384615,38.4615384615385,"#000038AF","#000038AF",13650
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",1200
"19155","AFSCME COUNCIL 81","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",4000
"19410","IRONWORKERS LOCAL 451","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",4000
"19649","ELECTRICAL WORKERS LOCAL 313","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",5300
"19948","PAINTERS & ALLIED TRADES DISTRICT COUNCIL 21","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",950
"20213","DELAWARE EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",55.6786703601108,44.3213296398892,"#00001AAF","#00001AAF",8303
"20614","PLUMBERS & PIPEFITTERS LOCAL 74","General Trade Unions","Labor","Construction unions",98.7341772151899,1.26582278481013,"#0000F5AF","#0000F5AF",7900
"20704","DELAWARE STATE AUTO WORKERS COUNCIL","Transportation Unions","Labor","Automotive unions",96.875,3.125,"#0000EBAF","#0000EBAF",6400
"3983749","BRICKLAYERS & ALLIED CRAFTWORKERS LOCAL 1 PA / DE","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2400
"8400587","DELAWARE STATE TROOPERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",62.9405840886203,37.0594159113797,"#00003DAF","#00003DAF",4965
"8402460","CMTE TO ELECT PATRICIA BLEVINS","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",4000
