"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"1009","FLORIDA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1203869.87
"4816","FLORIDA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",782516.75
"20219","FLORIDA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",82.7956989247312,17.2043010752688,"#0000A3AF","#0000A3AF",23250
"73938","APPLIANCE DIRECT","Miscellaneous Manufacturing & Distributing","General Business","Household appliances",0,100,"#FF0000AF","#FF0000AF",9000
"3826","FLORIDA HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",21,79,"#940000AF","#990000AF",50000
"12070","FCCI INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",36.0824742268041,63.9175257731959,"#470000AF","#470000AF",48500
"20305","FLORIDA POLICE BENEVOLENT ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",37.5,62.5,"#420000AF","#420000AF",68000
"2744","VESTCOR COMPANIES","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",18.5185185185185,81.4814814814815,"#A30000AF","#A30000AF",13500
"16074","SOUTHERN GARDENS CITRUS NURSERY","Crop Production & Basic Processing","Agriculture","Vegetables, fruits & tree nuts",38.6666666666667,61.3333333333333,"#3D0000AF","#3D0000AF",75000
"3738","FLORIDA INSTITUTE OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",20.8955223880597,79.1044776119403,"#990000AF","#990000AF",33500
"3840","HOSPITAL CORP OF AMERICA","Hospitals & Nursing Homes","Health","Hospitals",42.1127765881513,57.8872234118487,"#290000AF","#290000AF",70050
"10145","ASSOCIATED INDUSTRIES OF FLORIDA DBA VOICE FLORIDA OF BUSINESS","Business Associations","General Business","Pro-business organizations",41.8604651162791,58.1395348837209,"#2E0000AF","#2E0000AF",43000
"19040","FLORIDA ASSOCIATION OF INSURANCE AGENTS","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",33.5483870967742,66.4516129032258,"#570000AF","#570000AF",38750
"61441","BELLSOUTH","Telephone Utilities","Communications & Electronics","Telephone utilities",47.0797939051318,52.9202060948682,"#0F0000AF","#0F0000AF",48853.23
"2452","ST JOE CO","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",9.75609756097561,90.2439024390244,"#D10000AF","#D10000AF",20500
"3741","FLORIDA POWER & LIGHT","Electric Utilities","Energy & Natural Resources","Electric power utilities",39.1304347826087,60.8695652173913,"#380000AF","#380000AF",46000
"3836","FLORIDA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",45.9259259259259,54.0740740740741,"#1A0000AF","#1A0000AF",67500
