"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4816","FLORIDA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",973746.46
"1009","FLORIDA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1989432.44
"19864512","HOUSE REPUBLICAN CAMPAIGN CMTE OF FLORIDA","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",626836
"632430","REPUBLICAN PARTY OF MIAMI DADE COUNTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",153100
"2779","WALT DISNEY","TV & Movie Production/Distribution","Communications & Electronics","Broadcasting & motion pictures",37.15034533645,62.84965466355,"#420000AF","#420000AF",364734.16
"3836","FLORIDA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",29.2747837658017,70.7252162341983,"#6B0000AF","#6B0000AF",75150
"16074","SOUTHERN GARDENS CITRUS NURSERY","Crop Production & Basic Processing","Agriculture","Vegetables, fruits & tree nuts",25.2293577981651,74.7706422018349,"#800000AF","#800000AF",218000
"11507","UNITED TEACHERS OF DADE","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",29200
"20376","1199SEIU UNITED HEALTHCARE WORKERS FLORIDA DIVISION","General Trade Unions","Labor","Health worker unions",98.0645161290323,1.93548387096774,"#0000F5AF","#0000F5AF",77500
"4439","FLORIDA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",29.0909090909091,70.9090909090909,"#6B0000AF","#6B0000AF",110000
"3840","HOSPITAL CORP OF AMERICA","Hospitals & Nursing Homes","Health","Hospitals",19.5652173913043,80.4347826086957,"#9E0000AF","#9E0000AF",115000
"71185","WINDHAVEN INSURANCE CO","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",2.63157894736842,97.3684210526316,"#F50000AF","#F50000AF",19000
"12070","FCCI INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",33.7837837837838,66.2162162162162,"#570000AF","#570000AF",74000
"19040","FLORIDA ASSOCIATION OF INSURANCE AGENTS","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",20.2643171806167,79.7356828193833,"#990000AF","#990000AF",113500
"18769","21ST CENTURY ONCOLOGY","Health Professionals","Health","Other physician specialists",5.88235294117647,94.1176470588235,"#E60000AF","#E60000AF",8500
"13179","INTERVEST CONSTRUCTION","General Contractors","Construction","Public works, industrial & commercial construction",0,100,"#FF0000AF","#FF0000AF",10000
"20305","FLORIDA POLICE BENEVOLENT ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",42.9824561403509,57.0175438596491,"#290000AF","#290000AF",57000
"18869","FLORIDA HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",21.1822660098522,78.8177339901478,"#940000AF","#940000AF",101500
"12611724","MANAGED CARE OF NORTH AMERICA","Health Services","Health","HMOs",6.98924731182796,93.010752688172,"#E00000AF","#E00000AF",93000
"3826","FLORIDA HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",10.6583072100313,89.3416927899686,"#CC0000AF","#CC0000AF",79750
"10022","FLORIDA SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",16.4893617021277,83.5106382978723,"#AD0000AF","#AD0000AF",94000
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",30.8108108108108,69.1891891891892,"#660000AF","#660000AF",92500
"18778","FLORIDA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",25.1655629139073,74.8344370860927,"#800000AF","#800000AF",75500
"15607","RONALD L BOOK PA","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",33.5999294952299,66.4000705047701,"#570000AF","#570000AF",181548
"974","FIDELITY NATIONAL FINANCIAL","Real Estate","Finance, Insurance & Real Estate","Title insurance & title abstract offices",0,100,"#FF0000AF","#FF0000AF",10000
"43653803","GULF COAST HEALTH CARE LLC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6000
"3399","FLORIDA CHIROPRACTIC ASSOCIATION","Health Professionals","Health","Chiropractors",28.3018867924528,71.6981132075472,"#700000AF","#700000AF",53000
"77076","PLANTATION BAY","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",0,100,"#FF0000AF","#FF0000AF",8500
"2567","TECO ENERGY","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",21.2264150943396,78.7735849056604,"#940000AF","#940000AF",106000
"17291","FLORIDA CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",9.42028985507246,90.5797101449275,"#D10000AF","#D10000AF",69000
"1277","HUMANA","Health Services","Health","HMOs",28.6343612334802,71.3656387665198,"#700000AF","#700000AF",113500
"18580","ASSOCIATED BUILDERS & CONTRACTORS CENTRAL FLORIDA CHAPTER","General Contractors","Construction","Builders associations",2.51572327044025,97.4842767295598,"#F50000AF","#F50000AF",39750
"52993","MIAMI ASSOCIATION OF FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",4000
"613549","PAINTERS & ALLIED TRADES DISTRICT COUNCIL 78","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",15500
"20136","FLORIDA AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",17500
"25054151","ATLANTIC PACIFIC COMMUNITIES LLC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",4000
"20423","SERVICE EMPLOYEES LOCAL 1991","General Trade Unions","Labor","Health worker unions",100,0,"#0000FFAF","#0000FFAF",13000
"46309","GREENSPOON & MARDER","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",56.4368517388652,43.5631482611348,"#00001FAF","#00001FAF",16390
"6898","GEICO","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",10500
"10145","ASSOCIATED INDUSTRIES OF FLORIDA DBA VOICE FLORIDA OF BUSINESS","Business Associations","General Business","Pro-business organizations",18.3206106870229,81.6793893129771,"#A30000AF","#A30000AF",65500
"411","BRIGHT HOUSE NETWORKS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",33.7837837837838,66.2162162162162,"#570000AF","#570000AF",37000
"9462","WEST FLAGLER ASSOCIATES","Gambling & Casinos","General Business","Casinos, racetracks & gambling",23.1404958677686,76.8595041322314,"#8A0000AF","#8A0000AF",30250
"16087","SOUTHWEST FLORIDA ENTERPRISES","Gambling & Casinos","General Business","Casinos, racetracks & gambling",27.4509803921569,72.5490196078431,"#750000AF","#750000AF",12750
"3272","FLORIDA CABLE TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",19.5238095238095,80.4761904761905,"#9E0000AF","#9E0000AF",105000
"12206","FLORIDA ROOFING SHEET METAL & AIR CONDITIONING CONTRACTORS ASSOCIATION","Special Trade Contractors","Construction","Plumbing, heating & air conditioning",20,80,"#990000AF","#9E0000AF",15000
"456143","CONSULATE HEALTH CARE","Hospitals & Nursing Homes","Health","Nursing homes",6.04661456097346,93.9533854390265,"#E00000AF","#E00000AF",24807.27
"2744","VESTCOR COMPANIES","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",0,100,"#FF0000AF","#FF0000AF",6500
"33352","FLORIDA EAST COAST INDUSTRIES","Investment Holding Companies","Finance, Insurance & Real Estate","Investment Holding Companies",13.8888888888889,86.1111111111111,"#BD0000AF","#BD0000AF",18000
"27426","PASCOUNTY DEMOCRATIC EXECUTIVE CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",4882
