"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"2615","TITLEMAX","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",11.1123648138081,88.8876351861919,"#C70000AF","#C70000AF",58493.4
"132","AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",13.4146845965322,86.5853154034678,"#BD0000AF","#BD0000AF",57772.51
"4072","GEORGIA MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",12.3188405797101,87.6811594202899,"#C20000AF","#C20000AF",103500
"2214","RESURGENS ORTHOPEDICS","Health Professionals","Health","Other physician specialists",0,100,"#FF0000AF","#FF0000AF",16500
"4076","MAG MUTUAL INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",14.1129032258065,85.8870967741936,"#B80000AF","#B80000AF",62000
"280116","UHS-PRUITT","Hospitals & Nursing Homes","Health","Nursing homes",0,100,"#FF0000AF","#FF0000AF",8750
"3412","COCA-COLA","Food & Beverage","General Business","Beverages (non-alcoholic)",21.2282296764396,78.7717703235603,"#940000AF","#940000AF",79128.36
"126","AMERICAN COUNCIL OF ENGINEERING COMPANIES OF GEORGIA","Construction Services","Construction","Engineering, architecture & construction management services",4.66200466200466,95.3379953379953,"#EB0000AF","#EB0000AF",32175
"4708","GEORGIA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",51.1173184357542,48.8826815642458,"#000005AF","#000005AF",179000
"3794","GEORGIA ALLIANCE OF COMMUNITY HOSPITALS","Hospitals & Nursing Homes","Health","Hospitals",26.241134751773,73.7588652482269,"#7A0000AF","#7A0000AF",63450
"3827","HOME BUILDERS ASSOCIATION OF GEORGIA","Home Builders","Construction","Residential construction",16.1538461538462,83.8461538461539,"#AD0000AF","#AD0000AF",97500
"18780","GEORGIA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",34.4318181818182,65.5681818181818,"#520000AF","#520000AF",88000
"19042","GEORGIA STATE FARM AGENTS","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",12.5748502994012,87.4251497005988,"#C20000AF","#C20000AF",41750
"3859","INDEPENDENT INSURANCE AGENTS OF GEORGIA","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",15.0718317085685,84.9281682914315,"#B30000AF","#B30000AF",77960
"6099","BUILDERS INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",21.2396625030291,78.7603374969709,"#940000AF","#940000AF",45393
"298","BANK OF AMERICA","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",12.0218579234973,87.9781420765027,"#C20000AF","#C20000AF",45750
"3470","GEORGIA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",26.3157894736842,73.6842105263158,"#7A0000AF","#7A0000AF",141550
"2545","SYNOVUS FINANCIAL CORP","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",28.5451197053407,71.4548802946593,"#700000AF","#700000AF",27150
"2431","SOUTHERN STRATEGY GROUP OF LOUSIANA","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",12.3167877817465,87.6832122182535,"#C20000AF","#C20000AF",8119
"2351","SERVICE EMPLOYEES INTERNATIONAL UNION / SEIU","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",14000
"7246845","WIN","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",10000
"4817","GEORGIA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",46000
"6843513","PECOS INC","General Contractors","Construction","Construction, unclassified",0,100,"#FF0000AF","#FF0000AF",15700
"17223","WORKPLACE INJURY NETWORK","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",82.8125,17.1875,"#0000A3AF","#0000A3AF",32000
"23324929","WORKPLACE INJURY NETWORK INC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",8000
"20220","GEORGIA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",72.5160652496293,27.4839347503707,"#000070AF","#000070AF",101150
"6945449","FRIENDS OF PAUL JENNINGS","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",5200
"7085459","REPUBLICAN PARTY OF DEKALB COUNTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",6000
"7003966","SMILE PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",8500
"1389","JM FAMILY ENTERPRISES","Automotive","Transportation","Auto dealers, new & used",17.990523765624,82.009476234376,"#A80000AF","#A80000AF",46643
"2710","UPS","Air Transport","Transportation","Express delivery services",9.22213164039589,90.7778683596041,"#D10000AF","#D10000AF",32530.44
"11299","COMPREHENSIVE HEALTH MANAGEMENT","Health Services","Health","HMOs",0,100,"#FF0000AF","#FF0000AF",17000
"2314098","VESTA HOLDINGS","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",0,100,"#FF0000AF","#FF0000AF",14250
"6889916","AYCOX & AYCOX CLAYTON","Finance & Credit Companies","Finance, Insurance & Real Estate","Credit agencies & finance companies",3.7037037037037,96.2962962962963,"#F00000AF","#F00000AF",40500
"6975212","THE 159 GROUP","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",14000
"6803553","CHANCE FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",4500
"2914","YANCEY BROTHERS CO","Building Materials & Equipment","Construction","Construction equipment",4.16666666666667,95.8333333333333,"#EB0000AF","#EB0000AF",24000
"7691207","GEORGIA HIGHWAY CONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",18.2150694952451,81.7849305047549,"#A30000AF","#A30000AF",68350
"12705","HARBIN CLINIC","Health Professionals","Health","Physicians",0,100,"#FF0000AF","#FF0000AF",34000
"95","ALLSTATE INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",10,90,"#CC0000AF","#D10000AF",20000
"4440","GEORGIA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",16.7149758454106,83.2850241545894,"#AD0000AF","#AD0000AF",155250
"3837","GEORGIA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",19.0529138706903,80.9470861293097,"#9E0000AF","#9E0000AF",118354.6
"1101125","MCCBC","Food & Beverage","General Business","Beverages (non-alcoholic)",22.5806451612903,77.4193548387097,"#8F0000AF","#8F0000AF",15500
"6914","GEORGIA HEALTH CARE ASSOCIATION / GEORGIA NURSING HOME ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",15.8357771260997,84.1642228739003,"#B30000AF","#B30000AF",42625
"9458","WELLCARE HEALTH PLANS","Health Services","Health","HMOs",0,100,"#FF0000AF","#FF0000AF",20500
"10435","BLUE CROSS BLUE SHEILD","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",12.1495327102804,87.8504672897196,"#C20000AF","#C20000AF",26750
"24788724","FLOWERS FOODS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",7000
"1259","HOLLAND & KNIGHT","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",9.80392156862745,90.1960784313726,"#D10000AF","#D10000AF",20400
"1393","JOE TANNER & ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",19.0079652425778,80.9920347574222,"#9E0000AF","#9E0000AF",27620
"4460","REGIONS FINANCIAL CORP","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",6,94,"#E00000AF","#E00000AF",25000
"9021","STATE MUTUAL INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",9000
"11499","CW MATTHEWS CONTRACTING","General Contractors","Construction","Public works, industrial & commercial construction",0,100,"#FF0000AF","#FF0000AF",10750
"6840669","HEALTH MANAGEMENT","Hospitals & Nursing Homes","Health","Health care institutions",0,100,"#FF0000AF","#FF0000AF",4500
"7063478","PHARMACY SERVICES TAXABLE INC","Pharmaceuticals & Health Products","Health","Pharmaceutical wholesale",0,100,"#FF0000AF","#FF0000AF",14500
