"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"7691207","GEORGIA HIGHWAY CONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",9.59860383944154,90.4013961605585,"#D10000AF","#D10000AF",57300
"23342603","RONNY D JONES ENTERPRISES INC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6250
"16952","WALTERS ACCEPTANCE CORP","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",0,100,"#FF0000AF","#FF0000AF",14000
"2214","RESURGENS ORTHOPEDICS","Health Professionals","Health","Other physician specialists",0,100,"#FF0000AF","#FF0000AF",21500
"3827","HOME BUILDERS ASSOCIATION OF GEORGIA","Home Builders","Construction","Residential construction",19.7530864197531,80.2469135802469,"#9E0000AF","#9E0000AF",81000
"19055","MORTGAGE BANKERS ASSOCIATION OF GEORGIA","Real Estate","Finance, Insurance & Real Estate","Mortgage bankers & brokers",12.4203821656051,87.5796178343949,"#C20000AF","#C20000AF",31400
"2615","TITLEMAX","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",13.6986301369863,86.3013698630137,"#BD0000AF","#BD0000AF",36500
"11499","CW MATTHEWS CONTRACTING","General Contractors","Construction","Public works, industrial & commercial construction",19.3548387096774,80.6451612903226,"#9E0000AF","#9E0000AF",15500
"2914","YANCEY BROTHERS CO","Building Materials & Equipment","Construction","Construction equipment",0,100,"#FF0000AF","#FF0000AF",25500
"3837","GEORGIA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",13.5313531353135,86.4686468646865,"#BD0000AF","#BD0000AF",75750
"6915","GEORGIA OILMENS ASSOCIATION","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",6.90690690690691,93.0930930930931,"#E00000AF","#E00000AF",33300
"3859","INDEPENDENT INSURANCE AGENTS OF GEORGIA","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",13.75,86.25,"#BD0000AF","#BD0000AF",48000
