"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4825","IOWA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1903801.71
"4630","TAXPAYERS UNITED","Tax Issues","Ideology/Single Issue","Fiscal & tax policy",0,100,"#FF0000AF","#FF0000AF",208908.87
"4824","IOWA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1321835.22
"18606","ASSOCIATED GENERAL CONTRACTORS OF IOWA","General Contractors","Construction","Builders associations",19.9575934269812,80.0424065730188,"#9E0000AF","#9E0000AF",188650
"3136","MASTER BUILDERS OF IOWA","General Contractors","Construction","Builders associations",23.7890864500307,76.2109135499693,"#8A0000AF","#8A0000AF",81550
"4443","IOWA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",43.0601092896175,56.9398907103825,"#240000AF","#240000AF",137250
"3124","IOWA ASSOCIATION OF BUSINESS & INDUSTRY","Business Associations","General Business","Chambers of commerce",1.90756150915921,98.0924384908408,"#FA0000AF","#FA0000AF",77323.85
"5221","IOWA CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",41.3008130081301,58.6991869918699,"#2E0000AF","#2E0000AF",76875
"20708","IOWA STATE AUTO WORKERS","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",43050
"6286","CITIZENS FOR PRESERVATION OF RACING","Gambling & Casinos","General Business","Casinos, racetracks & gambling",50.314465408805,49.685534591195,"#000000AF","#000000AF",39750
"7226","IOWA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",25.4622661820265,74.5377338179735,"#800000AF","#800000AF",59499.81
"20226","IOWA STATE EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",99.3175614194722,0.682438580527753,"#0000FAAF","#0000FAAF",109900
"6238003","IOWA FUTURE FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic members of Congress or prominent national Democrats",100,0,"#0000FFAF","#0000FFAF",30500
"1396","JOHN DEERE & CO","Agricultural Services & Products","Agriculture","Farm machinery & equipment",3.39366515837104,96.606334841629,"#F00000AF","#F00000AF",66300
"7231","IOWA MEDICAL SOCIETY","Health Professionals","Health","Physicians",28.7912087912088,71.2087912087912,"#700000AF","#700000AF",45500
"134","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES / AFGE","Public Sector Unions","Labor","Federal employee unions",100,0,"#0000FFAF","#0000FFAF",74000
"4710","IOWA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",98.9495798319328,1.05042016806723,"#0000F5AF","#0000F5AF",95200
"2147","QWEST COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",40.724424865394,59.275575134606,"#330000AF","#330000AF",51075
"2108","PRINCIPAL FINANCIAL GROUP","Securities & Investment","Finance, Insurance & Real Estate","Securities, commodities & investment",22.1505376344086,77.8494623655914,"#8F0000AF","#8F0000AF",23250
"7239","IOWA SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",13.8775510204082,86.1224489795918,"#BD0000AF","#BD0000AF",12250
"3623","IOWA FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",16.5615590580528,83.4384409419472,"#AD0000AF","#AD0000AF",59136.22
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",93975
"3183","IOWA CMTE OF AUTOMATIVE RETAILERS","Automotive","Transportation","Auto dealers, new & used",22.8596646072374,77.1403353927626,"#8F0000AF","#8F0000AF",56650
"7232","IOWA MOTOR TRUCK ASSOCIATION","Trucking","Transportation","Trucking",13.7971481827449,86.2028518172551,"#BD0000AF","#BD0000AF",23444.7
"4092","MIDAMERICAN ENERGY","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",21.1187214611872,78.8812785388128,"#940000AF","#940000AF",43800
