"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"20223","IDAHO EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",72.8987993138937,27.1012006861063,"#000070AF","#000070AF",29150
"13052","IDAHO TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",59.0163934426229,40.9836065573771,"#00002EAF","#00002EAF",12200
"4826","IDAHO REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",6000
"7883401","FIRE FIGHTERS LOCAL 149","Public Sector Unions","Labor","Police & fire fighters unions and associations",87.6288659793814,12.3711340206186,"#0000BDAF","#0000BDAF",4850
"1724","MICRON TECHNOLOGY","Computer Equipment & Services","Communications & Electronics","Computers, components & accessories",12.1212121212121,87.8787878787879,"#C20000AF","#C20000AF",16500
"2675","UNION PACIFIC RAILROAD","Railroads","Energy & Natural Resources","Railroads",25.2450980392157,74.7549019607843,"#800000AF","#800000AF",20400
"7145","IDAHO POWER CO","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",29.7297297297297,70.2702702702703,"#6B0000AF","#6B0000AF",29600
"13053","IDAHO TRUCKING ASSOCIATION","Trucking","Transportation","Trucking",9.34579439252336,90.6542056074766,"#D10000AF","#D10000AF",10700
"17298","BOISE CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",40.7407407407407,59.2592592592593,"#330000AF","#330000AF",6750
"7139","IDAHO ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",15.9313725490196,84.0686274509804,"#B30000AF","#B30000AF",20400
"8557","POTLATCH CORP","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",8.19672131147541,91.8032786885246,"#D60000AF","#D60000AF",12200
"7142","IDAHO CMTE ON HOSPITALITY & SPORTS","Gambling & Casinos","General Business","Casinos, racetracks & gambling",37.5,62.5,"#420000AF","#420000AF",14000
"15888","IDAHO SENATE REPUBLICANS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",15050
"6103","BUILDING CONTRACTORS ASSOCIATION OF SOUTHWESTERN IDAHO","Home Builders","Construction","Residential construction",17.8082191780822,82.1917808219178,"#A80000AF","#A80000AF",7300
"1408","JR SIMPLOT CO","Miscellaneous Agriculture","Agriculture","Miscellaneous agriculture",0,100,"#FF0000AF","#FF0000AF",6600
"7883163","RESTORE REPRESENTATIVE GOVERNMENT","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",8250
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",2.89855072463768,97.1014492753623,"#F50000AF","#F50000AF",3450
"2218","R J REYNOLDS TOBACCO CO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",5.06152280975254,94.9384771902475,"#E60000AF","#E60000AF",3951.38
"7886021","BENTON & ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",0,100,"#FF0000AF","#FF0000AF",1300
"13171","INTERMOUNTAIN FOREST INDUSTRY ASSOCIATION","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",11.6883116883117,88.3116883116883,"#C70000AF","#C70000AF",11550
"7144","IDAHO MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",15.4639175257732,84.5360824742268,"#B30000AF","#B30000AF",9700
"7883750","GOICOECHEA LAW OFFICES","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",1550
"7917405","KOOTENAI COUNTY DEMOCRATIC CENTRAL CMTE OF IDAHO","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1550
"3415","COEUR DALENE TRIBE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",11.9205298013245,88.0794701986755,"#C70000AF","#C70000AF",7550
"7896630","AMUSEMENT & MUSIC OWNERS OF IDAHO","Recreation & Live Entertainment","General Business","Recreation & entertainment",11.7647058823529,88.2352941176471,"#C70000AF","#C70000AF",3400
"7970552","IDAHOANS FOR TAX REFORM","Tax Issues","Ideology/Single Issue","Fiscal & tax policy",0,100,"#FF0000AF","#FF0000AF",1100
"37247685","TAX FAIRNESS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",3445
"7951806","BLACKBURN & JONES","Uncoded","Uncoded","Uncoded",50,50,"#000000AF","#000000AF",4000
"13040","IDAHO ASSOCIATION OF COMMERCE & INDUSTRY","Business Associations","General Business","Pro-business organizations",0,100,"#FF0000AF","#FF0000AF",7000
"7941163","IDAHOANS FOR EXCELLENCE IN EDUCATION","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",2200
"7901352","IDAHO DEMOCRATIC WOMENS CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",4000
"7905792","IDAHO DEMOCRATIC SENATE CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",8250
"650","COMMUNICATIONS WORKERS OF AMERICA / CWA","General Trade Unions","Labor","Communications & hi-tech unions",100,0,"#0000FFAF","#0000FFAF",2000
"19520","PROFESSIONAL FIRE FIGHTERS OF IDAHO","Public Sector Unions","Labor","Police & fire fighters unions and associations",81.3008130081301,18.6991869918699,"#00009EAF","#00009EAF",6150
"19702","ELECTRICAL WORKERS LOCAL 77","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",1400
"20140","IDAHO STATE AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",3800
"18649","IDAHO STATE BROADCASTERS ASSOCIATION","TV & Movie Production/Distribution","Communications & Electronics","Broadcasting & motion pictures",50,50,"#000000AF","#000000AF",2000
"305983","EMERITUS CORP","Hospitals & Nursing Homes","Health","Nursing homes",0,100,"#FF0000AF","#FF0000AF",1250
"40615669","IDAHO PAC THE","Uncoded","Uncoded","Uncoded",11.9402985074627,88.0597014925373,"#C70000AF","#C70000AF",3350
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",4.8780487804878,95.1219512195122,"#EB0000AF","#EB0000AF",10250
"7884296","IDAHO LIFE & HEALTH INDUSTRY","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",14.6341463414634,85.3658536585366,"#B80000AF","#B80000AF",4100
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",2500
"1233","HEWLETT PACKARD","Electronics Manufacturing & Services","Communications & Electronics","Electronics manufacturing & services",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",3000
"1758","MONSANTO","Agricultural Services & Products","Agriculture","Agricultural services & related industries",0,100,"#FF0000AF","#FF0000AF",4750
"7141","IDAHO CABLE TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",43.75,56.25,"#240000AF","#240000AF",8000
"13049","IDAHO SOFT DRINK ASSOCIATION","Food & Beverage","General Business","Beverages (non-alcoholic)",5.26315789473684,94.7368421052632,"#E60000AF","#E60000AF",4750
"7891177","CENTRAL TRADES SOLIDARITY PAC","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",1300
"18972","BENNETT LUMBER PRODUCTS","Building Materials & Equipment","Construction","Lumber and wood products & lumber yards",0,100,"#FF0000AF","#FF0000AF",2000
"695","CORRECTIONS CORP OF AMERICA","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",15,85,"#B30000AF","#B30000AF",10000
"7974802","IDAHOANS FOR THE OUTDOORS","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",100,0,"#0000FFAF","#0000FFAF",2424
"12302","FREEDOM FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",3600
"6324","COEUR D ALENE RACING","Gambling & Casinos","General Business","Casinos, racetracks & gambling",45.8333333333333,54.1666666666667,"#1A0000AF","#1A0000AF",6000
