"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"20140","IDAHO STATE AFL-CIO","General Trade Unions","Labor","Labor unions",99.3388429752066,0.661157024793388,"#0000FAAF","#0000FAAF",15125
"18982","IDAHO FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",0.856898029134533,99.1431019708655,"#FF0000AF","#FF0000AF",58350
"6893","GAY & LESBIAN VICTORY FUND","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",5277.34
"7145","IDAHO POWER CO","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",16.9135802469136,83.0864197530864,"#AD0000AF","#AD0000AF",40500
"20223","IDAHO EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",97.6190476190476,2.38095238095238,"#0000F0AF","#0000F0AF",42000
"19520","PROFESSIONAL FIRE FIGHTERS OF IDAHO","Public Sector Unions","Labor","Police & fire fighters unions and associations",77.6053215077605,22.3946784922395,"#00008AAF","#00008AAF",22550
"7883401","FIRE FIGHTERS LOCAL 149","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",2350
"7897046","POCATELLO FIRE FIGHTERS LOCAL743","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",3500
"7901692","NAMPA FIRE FIGHTERS LOCAL 804","Public Sector Unions","Labor","Police & fire fighters unions and associations",50,50,"#000000AF","#000000AF",4000
"7884022","BONNEVILLE COUNTY DEMOCRATIC CENTRAL CMTE OF IDAHO","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",6000
"7883161","IDAHO DEMOCRATIC LEGISLATIVE CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",11244.16
"13052","IDAHO TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",45.1612903225806,54.8387096774194,"#1A0000AF","#1A0000AF",7750
"6163","CANYON COUNTY REPUBLICAN CENTRAL CMTE OF IDAHO","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",8000
"1724","MICRON TECHNOLOGY","Computer Equipment & Services","Communications & Electronics","Computers, components & accessories",11.3924050632911,88.6075949367088,"#C70000AF","#C70000AF",19750
"10445","BLUE CROSS OF IDAHO","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",19.4945848375451,80.5054151624549,"#9E0000AF","#9E0000AF",13850
"39762594","REALTORS","Uncoded","Uncoded","Uncoded",9.02255639097744,90.9774436090226,"#D10000AF","#D10000AF",33250
"7886337","IDAHO LAND FUND","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",8000
"7747","MELALEUCA INC","Retail Sales","General Business","Direct sales",0,100,"#FF0000AF","#FF0000AF",3500
"7066","HECLA MINING CO","Mining","Energy & Natural Resources","Metal mining & processing",12.6550868486352,87.3449131513648,"#C20000AF","#C20000AF",20150
"7900925","CANYON COUNTY DEMOCRATS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2666.5
"1408","JR SIMPLOT CO","Miscellaneous Agriculture","Agriculture","Miscellaneous agriculture",6.47948164146868,93.5205183585313,"#E00000AF","#E00000AF",23150
"18260","HOUSE REPUBLICAN VICTORY FUND OF IDAHO","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",23300
"3415","COEUR DALENE TRIBE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",27.540500736377,72.459499263623,"#750000AF","#750000AF",33950
"7141","IDAHO CABLE TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",20.863309352518,79.136690647482,"#990000AF","#990000AF",27800
"7144","IDAHO MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",14.7783251231527,85.2216748768473,"#B80000AF","#B80000AF",10150
"13049","IDAHO SOFT DRINK ASSOCIATION","Food & Beverage","General Business","Beverages (non-alcoholic)",18.9066059225513,81.0933940774487,"#A30000AF","#A30000AF",21950
