"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"7895609","LATAH COUNTY DEMOCRATS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5000
"7145","IDAHO POWER CO","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",14.1050583657588,85.8949416342412,"#B80000AF","#B80000AF",51400
"1724","MICRON TECHNOLOGY","Computer Equipment & Services","Communications & Electronics","Computers, components & accessories",16.1073825503356,83.8926174496644,"#AD0000AF","#AD0000AF",37250
"17174","WINNING FOR IDAHO","Gambling & Casinos","General Business","Casinos, racetracks & gambling",14.3254520166898,85.6745479833102,"#B80000AF","#B80000AF",35950
"7917405","KOOTENAI COUNTY DEMOCRATIC CENTRAL CMTE OF IDAHO","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",3500
"3415","COEUR DALENE TRIBE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",28.1984334203655,71.8015665796345,"#700000AF","#700000AF",38300
"7892503","SHOSHONE BANNOCK TRIBES","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",38.6666666666667,61.3333333333333,"#3D0000AF","#3D0000AF",18750
"18982","IDAHO FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",0,100,"#FF0000AF","#FF0000AF",33250
"541","CENTURYLINK","Telecom Services & Equipment","Communications & Electronics","Telecommunications",22.7368421052632,77.2631578947368,"#8F0000AF","#8F0000AF",23750
"10445","BLUE CROSS OF IDAHO","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",24.367816091954,75.632183908046,"#850000AF","#850000AF",21750
"15861","SELECT HEALTH","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",22.0359281437126,77.9640718562874,"#8F0000AF","#8F0000AF",41750
"7886337","IDAHO LAND FUND","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",7500
"6163","CANYON COUNTY REPUBLICAN CENTRAL CMTE OF IDAHO","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",5738.95
"20140","IDAHO STATE AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",13600
"13052","IDAHO TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",47.9166666666667,52.0833333333333,"#0F0000AF","#0F0000AF",7200
"7884471","TWIN FALLS COUNTY REPUBLICAN CENTRAL CMTE OF IDAHO","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",4500
"1408","JR SIMPLOT CO","Miscellaneous Agriculture","Agriculture","Miscellaneous agriculture",7.53138075313808,92.4686192468619,"#DB0000AF","#DB0000AF",23900
"7141","IDAHO CABLE TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",18.0232558139535,81.9767441860465,"#A30000AF","#A30000AF",17200
"8557","POTLATCH CORP","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",6.49350649350649,93.5064935064935,"#E00000AF","#E00000AF",19250
"13607267","CAMBIA HEALTH SOLUTIONS","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",15.358361774744,84.641638225256,"#B30000AF","#B30000AF",14650
"24847504","IDAHO HORSE RACING","Gambling & Casinos","General Business","Casinos, racetracks & gambling",9.30232558139535,90.6976744186046,"#D10000AF","#D10000AF",10750
"7884022","BONNEVILLE COUNTY DEMOCRATIC CENTRAL CMTE OF IDAHO","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2250
"16126803","JAMES E (JIM) RICE CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",2800
"7139","IDAHO ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",10.7784431137725,89.2215568862275,"#CC0000AF","#CC0000AF",41750
