"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4830","ILLINOIS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",3211111.06
"2595783","TOM CROSS CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",348699.64
"7124","HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1267651.08
"39511964","ILLINOIS AFSCME COUNCIL 31","Public Sector Unions","Labor","State & local government employee unions",88.1474765687743,11.8525234312257,"#0000C2AF","#0000C2AF",465723.61
"4828","ILLINOIS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",906753.86
"19219","ILLINOIS FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",73.2552670986438,26.7447329013562,"#000075AF","#000075AF",484993.29
"17292","ILLINOIS CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",10.8525722595892,89.1474277404108,"#CC0000AF","#CC0000AF",275050
"19905","OPERATING ENGINEERS LOCAL 399","General Trade Unions","Labor","Construction unions",91.8475034628323,8.15249653716773,"#0000D1AF","#0000D1AF",151610
"4077","ILLINOIS STATE MEDICAL SOCIETY","Health Professionals","Health","Physicians",31.9971665169819,68.0028334830181,"#610000AF","#610000AF",592923.97
"19887","OPERATING ENGINEERS LOCAL 150","General Trade Unions","Labor","Construction unions",71.536254078542,28.463745921458,"#00006BAF","#00006BAF",300557.77
"20529","ILLINOIS PIPE TRADES ASSOCIATION","General Trade Unions","Labor","Construction unions",90.9828674481515,9.01713255184851,"#0000CCAF","#0000CCAF",221800
"3852","ILLINOIS HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",53.4256301029464,46.5743698970536,"#00000FAF","#00000FAF",352125
"2603551","ALLIANCE FOR LIVING","Hospitals & Nursing Homes","Health","Nursing homes",100,0,"#0000FFAF","#0000FFAF",78850
