"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4829","REPUBLICAN STATE SENATE CAMPAIGN CMTE OF ILLINOIS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3822574.51
"4831","ILLINOIS SENATE DEMOCRATIC VICTORY FUND","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5440183.91
"2598761","FRIENDS OF CLAYBORNE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",533950
"4828","ILLINOIS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1974720.46
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",71.7718888022863,28.2281111977137,"#00006BAF","#00006BAF",384900
"2593495","SEIU HEALTHCARE ILLINOIS / INDIANA","General Trade Unions","Labor","Health worker unions",97.2078796428599,2.79212035714011,"#0000F0AF","#0000F0AF",315172.66
"3852","ILLINOIS HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",72.7604029383789,27.2395970616212,"#000070AF","#000070AF",436295
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",68.8592773032655,31.1407226967345,"#00005CAF","#00005CAF",519175.17
"20224","ILLINOIS EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",66.5330462451908,33.4669537548092,"#000052AF","#000052AF",1129423.17
"39511964","ILLINOIS AFSCME COUNCIL 31","Public Sector Unions","Labor","State & local government employee unions",89.0328523180841,10.9671476819159,"#0000C7AF","#0000C7AF",407125
"2607945","EMIL JONES JR CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",134500
"4077","ILLINOIS STATE MEDICAL SOCIETY","Health Professionals","Health","Physicians",53.3491163189426,46.6508836810574,"#00000FAF","#00000FAF",521658.8
"3129","ASSOCIATED BEER DISTRIBUTORS OF ILLINOIS","Beer, Wine & Liquor","General Business","Liquor wholesalers",63.7013848743613,36.2986151256387,"#000042AF","#000042AF",570220.68
"19219","ILLINOIS FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",92.3550749044379,7.64492509556214,"#0000D6AF","#0000D6AF",521655.34
"19478","ILLINOIS PROFESSIONAL FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",81.4504521082575,18.5495478917425,"#00009EAF","#00009EAF",331328.83
"2593283","FRIENDS FOR FLORES","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",59130
"19201","CHICAGO FEDERATION OF TEACHERS LOCAL 1","Public Sector Unions","Labor","Teachers unions",98.8636363636364,1.13636363636364,"#0000F5AF","#0000F5AF",176000
"26842889","HEALTH CARE COUNCIL OF ILLINOIS","Hospitals & Nursing Homes","Health","Nursing homes",58.3166919880942,41.6833080119058,"#000029AF","#000029AF",589856.16
