"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4830","ILLINOIS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",92.5108874723783,0,"#0000D6AF","#0000FFAF",5210734.23
"4828","ILLINOIS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,89.6819679810024,"#FF0000AF","#CC0000AF",1521995.18
"7124","HOUSE REPUBLICAN CAMPAIGN CMTE OF ILLINOIS","Party Committees","Party","Republican Party committees",0,84.691052221402,"#FF0000AF","#B30000AF",1334263.68
"2593495","SEIU HEALTHCARE ILLINOIS / INDIANA","General Trade Unions","Labor","Health worker unions",91.8786068393782,5.23769894203831,"#0000D1AF","#0000E0AF",883370.36
"19975","CONSTRUCTION & GENERAL LABORERS DISTRICT COUNCIL OF CHICAGO & VICINITY","General Trade Unions","Labor","Construction unions",87.3139146636167,8.99666107103987,"#0000BDAF","#0000D1AF",542090
"3856","ILLINOIS PRO-CHOICE","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",54.605917277136,1.79728657514757,"#000014AF","#0000F5AF",292398
"16144","STAND FOR CHILDREN","Public Education Policy","Ideology/Single Issue","School Choice Advocates",52.1143072165769,44.9319333310389,"#00000AAF","#00001AAF",509341.07
"3989","ILLINOIS LABORERS MIDWEST REGION","General Trade Unions","Labor","Construction unions",90.0893445072019,9.91065549279809,"#0000CCAF","#0000CCAF",566592.19
"20529","ILLINOIS PIPE TRADES ASSOCIATION","General Trade Unions","Labor","Construction unions",96.3333333333333,2,"#0000EBAF","#0000F5AF",3e+05
"39511964","ILLINOIS AFSCME COUNCIL 31","Public Sector Unions","Labor","State & local government employee unions",92.9928371223918,7.00716287760822,"#0000D6AF","#0000D6AF",385320
"2348977","MICHAEL J MADIGAN CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",83.756295987858,0,"#0000A8AF","#0000FFAF",406588.3
