"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4834","INDIANA HOUSE DEMOCRATIC CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2186252.07
"7123","HOUSE REPUBLICAN CAMPAIGN CMTE OF INDIANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1418615.65
"4833","INDIANA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1047751.55
"12921","HOOSIERS FOR ECONOMIC GROWTH","Public Education Policy","Ideology/Single Issue","School Choice Advocates",0.174015770283591,99.8259842297164,"#FF0000AF","#FF0000AF",861990.84
"17293","INDIANA CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",0.796471847696473,99.2035281523035,"#FF0000AF","#FF0000AF",596380.15
"4832","INDIANA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",612911.4
"4785009","RUSS STILWELL CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",75850
"20225","INDIANA STATE TEACHERS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",709730.2
"6959346","ZINK PROPERTIES","Beer, Wine & Liquor","General Business","Liquor wholesalers",26.3157894736842,73.6842105263158,"#7A0000AF","#7A0000AF",49400
"7197","INDIANA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",81.2853976852992,18.7146023147008,"#00009EAF","#00009EAF",203050
"9389","VISION CONCEPTS","Business Services","General Business","Advertising & public relations services",37.5982844889207,62.4017155110793,"#420000AF","#420000AF",69950
"6967032","NIEZGODSKI FOR STATE REPRESENTATIVE DISTRICT 7","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",37750
"7358639","TRUCKING INDUSTRY","Trucking","Transportation","Trucking companies & services",58.7437334119729,41.2562665880271,"#000029AF","#000029AF",84775
"7004327","FRIENDS OF MUSGRAVE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",22792.38
"11894508","CMTE TO ELECT BOB HEATON","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",43574
"2772","WAL-MART","Retail Sales","General Business","Department, variety & convenience stores",25.8741258741259,74.1258741258741,"#800000AF","#800000AF",35750
"7205","INSURANCE INSTITUTE OF INDIANA","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",13.6363636363636,86.3636363636364,"#BD0000AF","#BD0000AF",55000
"38553506","PLUMBERS & PIPEFITTERS LOCAL 172","Uncoded","Uncoded","Uncoded",97.4025974025974,2.5974025974026,"#0000F0AF","#0000F0AF",19250
"20803","INDIANA KENTUCKY OHIO REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",95.6287827841291,4.37121721587088,"#0000E5AF","#0000E5AF",74350
"288","BAKER & DANIELS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",64.6447394400575,35.3552605599425,"#000047AF","#000047AF",66043.92
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",99.4816235550256,0.51837644497434,"#0000FAAF","#0000FAAF",96455
"19887","OPERATING ENGINEERS LOCAL 150","General Trade Unions","Labor","Construction unions",98.1481481481482,1.85185185185185,"#0000F5AF","#0000F5AF",27000
"6958579","THOMAS HENRY FOR MAYOR CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",17500
"2551","TAFT STETTINIUS & HOLLISTER","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",59.7477064220184,40.2522935779817,"#00002EAF","#00002EAF",43600
"6852","INDIANA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",56.6271273852501,43.3728726147499,"#00001FAF","#00001FAF",96950
"7183","INDIANA CABLE TELECOMMUNICATIONS ASSOCIATION","Telecom Services & Equipment","Communications & Electronics","Telecommunications",67.1428571428571,32.8571428571429,"#000057AF","#000057AF",35000
"1892","NISOURCE INC","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",41.8819188191882,58.1180811808118,"#2E0000AF","#2E0000AF",54200
"18829","PLANNED PARENTHOOD OF INDIANA & KENTUCKY","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",48197
"900","ELI LILLY & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",61.1423220973783,38.8576779026217,"#000038AF","#000038AF",53400
"18875","INDIANA HEALTH CARE ASSOCIATION / INDIANA CENTER FOR ASSISTED LIVING","Hospitals & Nursing Homes","Health","Nursing homes",62.3089088033738,37.6910911966263,"#00003DAF","#00003DAF",47425
"4442","INDIANA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",44.6407065435568,55.3592934564432,"#1F0000AF","#1F0000AF",124550
"6983219","MICHAEL KARICKHOFF CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",11745.47
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",40800
"3787","INDIANA ELECTRIC COOPERATIVES","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",55.2695352586007,44.7304647413993,"#00001AAF","#00001AAF",92184.6
"13127","INDIANA BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",36.4636568848024,63.5363431151976,"#470000AF","#470000AF",61431.03
"22090797","INDIANA FARM BUREAU INC ELECT","Uncoded","Uncoded","Uncoded",54.9565217391304,45.0434782608696,"#000014AF","#000014AF",28750
"644","COMCAST","Telecom Services & Equipment","Communications & Electronics","Telecommunications",58.0310880829015,41.9689119170984,"#000029AF","#000029AF",96500
"2710","UPS","Air Transport","Transportation","Express delivery services",49.3150684931507,50.6849315068493,"#050000AF","#050000AF",36500
"5980","INDIANA BEVERAGE ALLIANCE","Beer, Wine & Liquor","General Business","Liquor wholesalers",50.6304558680892,49.3695441319108,"#000000AF","#000000AF",103100
"20690","AUTO WORKERS REGION 2B","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",52500
"4629052","PLUMBERS & PIPEFITTERS LOCAL 172","General Trade Unions","Labor","Construction unions",92.3076923076923,7.69230769230769,"#0000D6AF","#0000D6AF",13000
"6957936","GEORGE & SIPES","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",11400
"7038328","INDIANA MULTI FAMILY HOUSING","Real Estate","Finance, Insurance & Real Estate","Building operators & managers",35.7380688124306,64.2619311875694,"#4D0000AF","#4D0000AF",45050
"19548","HEAT & FROST INSULATORS LOCAL 18","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",10700
"20628","PLUMBERS & STEAMFITTERS LOCAL 136","General Trade Unions","Labor","Construction unions",55.4285714285714,44.5714285714286,"#00001AAF","#00001AAF",35000
"1468","KRIEG DEVAULT LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",70.9326072157931,29.0673927842069,"#000066AF","#000066AF",36725
"29098987","COMMITTEE TO ELECT THOMAS M MCDERMOTT JR","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",10100
"6968711","CRAIG FRY FOR STATE REPRESENTATIVE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",9250
"6970919","FORT WAYNE POLITICAL ACTION","General Contractors","Construction","Builders associations",100,0,"#0000FFAF","#0000FFAF",10750
"6982952","FRIENDS OF KAREN BUYER BURKHARDT","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",8560.42
"6972162","NORTHERN LAKE PAC","Banks & Lending Institutions","Finance, Insurance & Real Estate","Banks & lending institutions",100,0,"#0000FFAF","#0000FFAF",11500
"6962053","BORROR FOR STATE REPRESENTATIVE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",15900
"130","AMERICAN ELECTRIC POWER","Electric Utilities","Energy & Natural Resources","Electric power utilities",22.1858390280942,77.8141609719058,"#8F0000AF","#8F0000AF",42144
"7181","INDIANA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",51.7363154796939,48.2636845203061,"#000005AF","#000005AF",84950
"18784","INDIANA OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",61.2595419847328,38.7404580152672,"#000038AF","#000038AF",26200
