"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4833","INDIANA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",888846.15
"15879","INDIANA REPUBLICAN SENATE MAJORITY CAMPAIGN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1353915.88
"4832","INDIANA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",686887.81
"6958973","DAVID LONG CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",41150
"20225","INDIANA STATE TEACHERS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",87.3120310398982,12.6879689601018,"#0000BDAF","#0000BDAF",243557.5
"17293","INDIANA CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",10.0336234237978,89.9663765762022,"#CC0000AF","#CC0000AF",152985.61
"12921","HOOSIERS FOR ECONOMIC GROWTH","Public Education Policy","Ideology/Single Issue","School Choice Advocates",0,100,"#FF0000AF","#FF0000AF",113000
"7205","INSURANCE INSTITUTE OF INDIANA","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",17.9982440737489,82.0017559262511,"#A80000AF","#A80000AF",56950
"9389","VISION CONCEPTS","Business Services","General Business","Advertising & public relations services",17.3508224955842,82.6491775044158,"#A80000AF","#A80000AF",127271.2
"4835","INDIANA SENATE DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",35000
"4442","INDIANA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",18.2490051165435,81.7509948834565,"#A30000AF","#A30000AF",87950
"7197","INDIANA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",42.8886438809261,57.1113561190739,"#290000AF","#290000AF",181400
"856","DUKE ENERGY","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",68600
"6959346","ZINK PROPERTIES","Beer, Wine & Liquor","General Business","Liquor wholesalers",3.49243306169965,96.5075669383003,"#F00000AF","#F00000AF",42950
"7358639","TRUCKING INDUSTRY","Trucking","Transportation","Trucking companies & services",35.6684981684982,64.3315018315018,"#4D0000AF","#4D0000AF",109200
"7181","INDIANA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",16.9896349707075,83.0103650292925,"#AD0000AF","#AD0000AF",110950
"6958990","GREG BALLARD FOR MAYOR","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",8500
"130","AMERICAN ELECTRIC POWER","Electric Utilities","Energy & Natural Resources","Electric power utilities",6.66259168704156,93.3374083129584,"#E00000AF","#E00000AF",81800
"6982704","VI SIMPSON FOR STATE SENATE CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",10200
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",36.2556758644778,63.7443241355222,"#470000AF","#470000AF",143150
"3787","INDIANA ELECTRIC COOPERATIVES","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",21.4947733717043,78.5052266282957,"#940000AF","#940000AF",94516
"11289","COMMUNITY HEALTH NETWORK","Hospitals & Nursing Homes","Health","Health care institutions",13.5135135135135,86.4864864864865,"#BD0000AF","#BD0000AF",27750
"1892","NISOURCE INC","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",10.8649035025018,89.1350964974982,"#CC0000AF","#CC0000AF",69950
"18587","ASSOCIATED BUILDERS & CONTRACTORS OF INDIANA","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",64200
"13137","INDIANA PETROLEUM MARKETERS & CONVENIENCE STORE ASSOCIATION","Oil & Gas","Energy & Natural Resources","Gasoline service stations",16.7087226352043,83.2912773647957,"#AD0000AF","#AD0000AF",29326
"900","ELI LILLY & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",21.2171052631579,78.7828947368421,"#940000AF","#940000AF",60800
"19400","IRONWORKERS LOCAL 395","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",13650
"6982762","INDIANA BLACK LEGISLATIVE CAUCUS","Minority & Disability Groups","Ideology/Single Issue","Minority & ethnic groups",100,0,"#0000FFAF","#0000FFAF",7500
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",93.5064935064935,6.49350649350649,"#0000DBAF","#0000DBAF",26950
"19765","TEAMSTERS LOCAL 135","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",8300
"7012635","LAYTON FOR SHERIFF","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",5100
"519","CATERPILLAR","Building Materials & Equipment","Construction","Construction equipment",0,100,"#FF0000AF","#FF0000AF",11000
"6963405","TERESA LUBBERS FOR STATE SENATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",5700
"29089639","INDIANAPOLIS CHAMBER OF COMMERCE","Uncoded","Uncoded","Uncoded",16.1290322580645,83.8709677419355,"#AD0000AF","#AD0000AF",7750
"6852","INDIANA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",22.9232864275987,77.0767135724013,"#8F0000AF","#8F0000AF",110150
"735","CSX TRANSPORTATION","Railroads","Energy & Natural Resources","Railroads",15.5216284987277,84.4783715012723,"#B30000AF","#B30000AF",19650
"2710","UPS","Air Transport","Transportation","Express delivery services",22.5,77.5,"#8F0000AF","#8F0000AF",40000
"5980","INDIANA BEVERAGE ALLIANCE","Beer, Wine & Liquor","General Business","Liquor wholesalers",34.5423143350604,65.4576856649395,"#520000AF","#520000AF",86850
"9514","WINE & SPIRITS DISTRIBUTORS OF INDIANA","Beer, Wine & Liquor","General Business","Liquor wholesalers",15.7523555882432,84.2476444117568,"#B30000AF","#B30000AF",36819.89
"6962910","INDIANA LICENSED BEVERAGE ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",6.97674418604651,93.0232558139535,"#E00000AF","#E00000AF",4300
"13133","INDIANA LAND TITLE ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Title insurance & title abstract offices",15.2777777777778,84.7222222222222,"#B30000AF","#B30000AF",18000
"288","BAKER & DANIELS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",26.5335235378031,73.4664764621969,"#7A0000AF","#7A0000AF",35050
"2772","WAL-MART","Retail Sales","General Business","Department, variety & convenience stores",22.8040540540541,77.1959459459459,"#8F0000AF","#8F0000AF",29600
"7198","INDIANAPOLIS POWER & LIGHT CO","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",12.1892542101043,87.8107457898957,"#C20000AF","#C20000AF",31175
"6963614","GREEN PAC","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",0,100,"#FF0000AF","#FF0000AF",8250
"7194","INTERNATIONAL CHIROPRACTERS ASSOCIATION OF INDIANA","Health Professionals","Health","Chiropractors",27.3291925465839,72.6708074534162,"#750000AF","#750000AF",36225
"5216","INDIANA TELEPHONE INDUSTRY","Telecom Services & Equipment","Communications & Electronics","Telecommunications",12.2291021671827,87.7708978328173,"#C20000AF","#C20000AF",32300
"6094","BUILD INDIANA COUNCIL","General Contractors","Construction","Public works, industrial & commercial construction",12.6262626262626,87.3737373737374,"#C20000AF","#C20000AF",59400
"19926","OPERATING ENGINEERS LOCAL 841","General Trade Unions","Labor","Construction unions",23.6559139784946,76.3440860215054,"#8A0000AF","#8A0000AF",37200
