"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"13359","KANSAS REPUBLICAN SENATORIAL CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",178104.16
"4840","KANSAS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",31846.16
"8821544","SENATE DEMOCRATIC CMTE OF KANSAS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",22180
"8810380","SEDGWICK COUNTY REPUBLICAN CENTRAL CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",13000
"4836","KANSAS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",7550
"10435","BLUE CROSS BLUE SHEILD","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",12.7591706539075,87.2408293460925,"#C20000AF","#C20000AF",31350
"8807722","4TH DISTRICT REPUBLICAN CENTRAL CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3000
"2507224","AMERICAN INVESTORS LIFE INSURANCE","Insurance","Finance, Insurance & Real Estate","Life insurance",0,100,"#FF0000AF","#FF0000AF",3455.61
"20230","KANSAS NATIONAL EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",64.6118721461187,35.3881278538813,"#000047AF","#000047AF",43800
"7364","KANSAS LIVESTOCK ASSOCIATION","Livestock","Agriculture","Livestock",24.2118537200504,75.7881462799496,"#850000AF","#850000AF",39650
"4885627","BUTLER NATIONAL CORP","Air Transport","Transportation","Aircraft manufacturers",0,100,"#FF0000AF","#FF0000AF",3000
"4412","PRAIRIE BAND POTAWATOMI NATIONS","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",13.1386861313869,86.8613138686131,"#BD0000AF","#BD0000AF",54800
"7347","KANSAS ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",25,75,"#800000AF","#800000AF",45200
"7378","KANSAS TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",61.8848167539267,38.1151832460733,"#000038AF","#000038AF",23875
"904","EMILYS LIST","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",4000
"6969","GREATER KANSAS CITY WOMENS POLITICAL CAUCUS","Women's Issues","Ideology/Single Issue","Women's issues",83.739837398374,16.260162601626,"#0000A8AF","#0000A8AF",6150
"19611","ELECTRICAL WORKERS LOCAL 124","General Trade Unions","Labor","Electrical workers/IBEW",90.9090909090909,9.09090909090909,"#0000CCAF","#0000CCAF",2750
"19780","BUILDING MATERIALS EXCAVATING HEAVY HAULERS WAREHOUSEMEN HELPERS LOCAL 541","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",4000
"20741","CARPENTERS & JOINERS DISTRICT COUNCIL OF GREATER KANSAS CITY & VICINITY","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",5500
"20709","KANSAS STATE AUTO WORKERS","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",10250
"7366","KANSAS MEDICAL SOCIETY","Health Professionals","Health","Physicians",12.9332099936207,87.0667900063793,"#C20000AF","#C20000AF",30928.13
"15886","SENATE REPUBLICAN LEADERSHIP CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",18569.27
"7362","KANSAS HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",23.0633802816901,76.9366197183099,"#8A0000AF","#8A0000AF",28400
"856","DUKE ENERGY","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",64.0167364016736,35.9832635983264,"#000047AF","#000047AF",11950
"2795","EASTERN IDAHO RAILROAD / WATCO COMPANIES","Railroads","Energy & Natural Resources","Railroad transportation",53.8461538461538,46.1538461538462,"#00000FAF","#00000FAF",3900
"7350","KANSAS BEER WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",54.9817225793672,45.0182774206328,"#000014AF","#000014AF",12217.26
"7357","KANSAS CONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",27.2479564032698,72.7520435967302,"#750000AF","#750000AF",55050
"4191821","CARPENTERS & JOINERS LOCAL 714","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",5000
"8785046","CARPENTERS & JOINERS LOCAL 918","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",6750
"8482","PIONEER COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",0,100,"#FF0000AF","#FF0000AF",5500
"7065","HEAVY CONSTRUCTORS ASSOCIATION OF THE GREATER KANSAS CITY AREA","General Contractors","Construction","Builders associations",31.8885448916409,68.1114551083591,"#610000AF","#610000AF",16150
"7352","KANSAS CHIROPRACTIC ASSOCIATION","Health Professionals","Health","Chiropractors",41.7721518987342,58.2278481012658,"#2E0000AF","#2E0000AF",19750
"12784","HEART PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",9000
"8770286","SHAWNEE COUNTY DEMOCRATIC CENTRAL CMTE OF KANSAS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",4500
"38255449","TEAMSTERS LOCAL 696","Uncoded","Uncoded","Uncoded",86.9565217391304,13.0434782608696,"#0000B8AF","#0000B8AF",2300
"3250","BP NORTH AMERICA","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",49.211356466877,50.788643533123,"#050000AF","#050000AF",7925
"7964","MOUNDRIDGE TELEPHONE CO","Telephone Utilities","Communications & Electronics","Telephone utilities",0,100,"#FF0000AF","#FF0000AF",5000
"1457","KOCH INDUSTRIES","Chemical & Related Manufacturing","General Business","Chemicals",13.3580705009276,86.6419294990724,"#BD0000AF","#BD0000AF",26950
