"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4840","KANSAS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",198001.91
"4836","KANSAS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",19950
"8818451","COWLEY COUNTY REPUBLICAN CENTRAL CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3300
"20792","CARPENTERS & JOINERS UNIDENTIFIED","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2500
"8836262","RILEY COUNTY REPUBLICAN CENTRAL CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3275
"10435","BLUE CROSS BLUE SHEILD","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",14.6031746031746,85.3968253968254,"#B80000AF","#B80000AF",31500
"3742392","JOHNSON COUNTY DEMOCRATIC CENTRAL CMTE OF KANSAS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",7500
"20617","PLUMBERS & GASFITTERS LOCAL 8","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",10000
"8818102","JOHNSON COUNTY REPUBLICAN CENTRAL CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",4750
"17304","GREATER KANSAS CITY CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",62.568306010929,37.431693989071,"#00003DAF","#00003DAF",36600
"8783690","HARVEY COUNTY REPUBLICAN CENTRAL CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1900
"8791286","RENO COUNTY DEMOCRATIC CENTRAL CMTE OF KANSAS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1700
"20741","CARPENTERS & JOINERS DISTRICT COUNCIL OF GREATER KANSAS CITY & VICINITY","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",24000
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",40.2183803457689,59.7816196542311,"#330000AF","#330000AF",54950
"8779923","2ND DISTRICT REPUBLICAN PARTY CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3400
"8807722","4TH DISTRICT REPUBLICAN CENTRAL CMTE OF KANSAS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",4500
"8848334","KANSAS ASSOCIATION OF INSURANCE AGENTS","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",5.39730134932534,94.6026986506747,"#E60000AF","#E60000AF",33350
"8770286","SHAWNEE COUNTY DEMOCRATIC CENTRAL CMTE OF KANSAS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",4600
