"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"8848334","KANSAS ASSOCIATION OF INSURANCE AGENTS","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",11.9883473263987,88.0116526736013,"#C70000AF","#C70000AF",37536.45
"958","FARMERS INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",17.1597633136095,82.8402366863905,"#A80000AF","#A80000AF",42250
"1470","KROGER CO","Food Processing & Sales","Agriculture","Food stores",7.69230769230769,92.3076923076923,"#DB0000AF","#DB0000AF",26000
"1811","NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",4500
"28136704","CERNER CORPORATION","Health Services","Health","Health care services",4.91803278688525,95.0819672131148,"#EB0000AF","#EB0000AF",15250
"544","CERNER CORP","Health Services","Health","Health care services",9.09090909090909,90.9090909090909,"#D10000AF","#D10000AF",2750
"7997","NATIONAL COOPERATIVE REFINERY ASSOCIATION","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",0,100,"#FF0000AF","#FF0000AF",3000
"1039","NEXTERA ENERGY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",29.8013245033113,70.1986754966888,"#6B0000AF","#6B0000AF",37750
"435","BNSF RAILWAY","Railroads","Energy & Natural Resources","Railroads",8.48484848484849,91.5151515151515,"#D60000AF","#D60000AF",41250
"7357","KANSAS CONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",47.0432480141218,52.9567519858782,"#0F0000AF","#0F0000AF",56650
"26733856","AMERICAN FREEDOM","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",4000
"132","AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",12.2222222222222,87.7777777777778,"#C20000AF","#C20000AF",13500
"246","ASH GROVE CEMENT","Building Materials & Equipment","Construction","Stone, clay, glass & concrete products",2.5,97.5,"#F50000AF","#F50000AF",20000
"1287","HY-VEE INC","Food Processing & Sales","Agriculture","Food stores",25.3731343283582,74.6268656716418,"#800000AF","#800000AF",33500
"7343","KANSAS AGRI BUSINESS COUNCIL","Agricultural Services & Products","Agriculture","Farm organizations & cooperatives",4.66814615778894,95.3318538422111,"#EB0000AF","#EB0000AF",21421.78
