"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4845","LOUISIANA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",69637.69
"4844","HOUSE DEMOCRATIC CAMPAIGN CMTE OF LOUISIANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",167836.13
"18418","LOUISIANA REPUBLICAN LEGISLATIVE DELEGATION CAMPAIGN CMTE","Party Committees","Party","Republican Party committees",1.28205128205128,98.7179487179487,"#FA0000AF","#FA0000AF",97500
"7574","LOUISIANA ASSOCIATION OF BUSINESS & INDUSTRY","Business Associations","General Business","Chambers of commerce",44.8350396524306,55.1649603475694,"#1F0000AF","#1F0000AF",120263.75
"8755126","SOUTHPAC","Business Associations","General Business","Pro-business organizations",46.7151760677037,53.2848239322963,"#140000AF","#140000AF",103071.43
"4843","LOUISIANA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",17704.83
"6562","LOUISIANA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",81.4925373134328,18.5074626865672,"#00009EAF","#00009EAF",83750
"8355026","LOUISIANA MANUFACTURERS ASSOCIATION","Miscellaneous Manufacturing & Distributing","General Business","Manufacturing",52.2282142733706,47.7717857266294,"#00000AAF","#00000AAF",107631.48
"8675150","ASSOCIATED BUILDERS & CONTRACTORS OF LOUISIANA","General Contractors","Construction","Builders associations",47.6923076923077,52.3076923076923,"#0F0000AF","#0F0000AF",32500
"8234036","BUQUET DISTRIBUTING CO","Beer, Wine & Liquor","General Business","Liquor wholesalers",2.01493942627581,97.9850605737242,"#F50000AF","#F50000AF",6372.4
"7579","LOUISIANA CHIROPRACTIC ASSOCIATION","Health Professionals","Health","Chiropractors",60.9195402298851,39.0804597701149,"#000033AF","#000033AF",43500
"12001","ENVIRONMENTAL TECHNICAL SALES","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",50.9259259259259,49.0740740740741,"#000000AF","#000000AF",10800
"8754577","LOUISIANA ASSOCIATION OF BUSINESS & INDUSTRY EASTPAC","Business Associations","General Business","Pro-business organizations",48.1361914146433,51.8638085853567,"#0A0000AF","#0A0000AF",71089.65
"913","ENTERGY CORP","Electric Utilities","Energy & Natural Resources","Electric power utilities",56.3998988762729,43.6001011237271,"#00001FAF","#00001FAF",58067.48
"7016","HARRIS DEVILLE & ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",68.9057045964606,31.0942954035393,"#00005CAF","#00005CAF",35432.48
"8208678","FIRST BANK & TRUST","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",45.0549450549451,54.9450549450549,"#1A0000AF","#1A0000AF",9100
"7581","LOUISIANA HOMEBUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",49.0566037735849,50.9433962264151,"#050000AF","#050000AF",21200
"722","CRESCENT RIVER PORT PILOTS ASSOCIATION","Transportation Unions","Labor","Transportation unions",70.9286209286209,29.0713790713791,"#000066AF","#000066AF",144300
"5886","ASSOCIATED BRANCH PILOTS","Transportation Unions","Labor","Other transportation unions",60.0739371534196,39.9260628465804,"#000033AF","#000033AF",54100
"20233","LOUISIANA ASSOCIATION OF EDUCATORS","Public Sector Unions","Labor","Teachers unions",78.1209781209781,21.8790218790219,"#00008FAF","#00008FAF",38850
"7585","LOUISIANA MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",57.9240037071362,42.0759962928638,"#000024AF","#000024AF",107900
"6313","LOUISIANA ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",92.2572617690105,7.7427382309895,"#0000D6AF","#0000D6AF",51661.31
"8189823","DENNIS HENNEN ATTORNEY AT LAW","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",9.09090909090909,90.9090909090909,"#D10000AF","#D10000AF",3850
"5979","BEER INDUSTRY LEAGUE OF LOUISIANA","Beer, Wine & Liquor","General Business","Liquor wholesalers",72.7184803454905,27.2815196545095,"#000070AF","#000070AF",61313.41
"13761","LOUISIANA ASPHALT & PAVEMENT ASSOCIATION","Building Materials & Equipment","Construction","Stone, clay, glass & concrete products",5.55555555555556,94.4444444444444,"#E60000AF","#E60000AF",4500
"40348616","FAIR","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",81.9354838709677,18.0645161290323,"#00009EAF","#00009EAF",38750
"12621","GRIGSBY PROPERTIES LLC","Real Estate","Finance, Insurance & Real Estate","Real estate agents & managers",0,100,"#FF0000AF","#FF0000AF",6000
"10193","BAGGETT MCCALL BURGESS WATSON & GAUGHAN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",92.5,7.5,"#0000D6AF","#0000D6AF",20000
"39711272","LANDRIEU PUBLIC RELATIONS LLC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",3100
"11390","COSSICH SUMICH PARSIOLA & TAYLOR","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",5500
