"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4845","LOUISIANA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",151755.53
"4846","SENATE DEMOCRATIC CAMPAIGN CMTE OF LOUISIANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",244492.04
"4843","LOUISIANA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",202585.87
"18418","LOUISIANA REPUBLICAN LEGISLATIVE DELEGATION CAMPAIGN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",195000
"7585","LOUISIANA MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",25,75,"#800000AF","#800000AF",70000
"8198075","ROBERT ADLEY FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",7.69230769230769,92.3076923076923,"#DB0000AF","#DB0000AF",13000
"8355026","LOUISIANA MANUFACTURERS ASSOCIATION","Miscellaneous Manufacturing & Distributing","General Business","Manufacturing",52.027027027027,47.972972972973,"#00000AAF","#00000AAF",74000
"8755126","SOUTHPAC","Business Associations","General Business","Pro-business organizations",24.0620299258127,75.9379700741873,"#850000AF","#850000AF",49579.94
"8754577","LOUISIANA ASSOCIATION OF BUSINESS & INDUSTRY EASTPAC","Business Associations","General Business","Pro-business organizations",45.5158868765806,54.4841131234194,"#1A0000AF","#1A0000AF",30977.14
"722","CRESCENT RIVER PORT PILOTS ASSOCIATION","Transportation Unions","Labor","Transportation unions",39.63133640553,60.36866359447,"#380000AF","#380000AF",108500
"6562","LOUISIANA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",41.1134903640257,58.8865096359743,"#2E0000AF","#2E0000AF",116750
"4628676","PLUMBERS & STEAMFITTERS LOCAL 60","General Trade Unions","Labor","Construction unions",71.7921527041357,28.2078472958643,"#00006BAF","#00006BAF",47150
"8140715","GULF COAST BANK & TRUST","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",0,100,"#FF0000AF","#FF0000AF",8250
"13240","JEI MANAGERS CORP","Gambling & Casinos","General Business","Casinos, racetracks & gambling",40.3225806451613,59.6774193548387,"#330000AF","#330000AF",31000
"8395929","VOWELL DEVELOPMENT GROUP","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",0,100,"#FF0000AF","#FF0000AF",8000
"15138","PLANTATION MANAGEMENT CO LLC","Hospitals & Nursing Homes","Health","Nursing homes",43.4782608695652,56.5217391304348,"#240000AF","#240000AF",34500
"8755422","LOUISIANA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",37.2448979591837,62.7551020408163,"#420000AF","#420000AF",98000
"8208142","GAMVEST LIMITED PARTNERSHIP","Hospitals & Nursing Homes","Health","Nursing homes",50,50,"#000000AF","#000000AF",31500
"8192002","NAIRN CONCRETE SERVICES","Building Materials & Equipment","Construction","Stone, clay, glass & concrete products",86.6666666666667,13.3333333333333,"#0000B8AF","#0000B8AF",7500
"7574","LOUISIANA ASSOCIATION OF BUSINESS & INDUSTRY","Business Associations","General Business","Chambers of commerce",13.1724619088153,86.8275380911847,"#BD0000AF","#BD0000AF",49894.09
"425","BRUNO & BRUNO","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",85.2941176470588,14.7058823529412,"#0000B3AF","#0000B3AF",17000
"10660","BURK-KLEINPETER","Construction Services","Construction","Engineering, architecture & construction management services",50.9164969450102,49.0835030549898,"#000000AF","#000000AF",24550
"8494447","TRANSPAC LA MOTOR TRANSPORT ASSOCIATION","Uncoded","Uncoded","Uncoded",7.14285714285714,92.8571428571429,"#DB0000AF","#DB0000AF",7000
"14665","NY & ASSOCIATES INC","Construction Services","Construction","Engineering, architecture & construction management services",52.4193548387097,47.5806451612903,"#00000AAF","#00000AAF",18600
"15510","RICHARDS DISPOSAL INC","Waste Management","Energy & Natural Resources","Waste management",100,0,"#0000FFAF","#0000FFAF",8500
"13145","ISC CONSTRUCTORS LLC","Special Trade Contractors","Construction","Electrical contractors",50,50,"#000000AF","#000000AF",27000
"8233911","TUNICA BILOXI INDIANS","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",77.7777777777778,22.2222222222222,"#00008AAF","#00008AAF",9000
"42678906","LOUISIANA FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",83.3333333333333,16.6666666666667,"#0000A8AF","#0000A8AF",28500
"1096","GEO GROUP","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",31.25,68.75,"#610000AF","#610000AF",12000
"10193","BAGGETT MCCALL BURGESS WATSON & GAUGHAN","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",7500
"8420861","GUILLORY BONDING CO","Miscellaneous Finance","Finance, Insurance & Real Estate","Bail Bond Services",29.4117647058824,70.5882352941177,"#6B0000AF","#6B0000AF",8500
"5886","ASSOCIATED BRANCH PILOTS","Transportation Unions","Labor","Other transportation unions",44.5478723404255,55.4521276595745,"#1F0000AF","#1F0000AF",75200
"11390","COSSICH SUMICH PARSIOLA & TAYLOR","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",79.6812749003984,20.3187250996016,"#000094AF","#000094AF",25100
"11735","DODSON HOOKS & FREDERICK","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",83.9416058394161,16.0583941605839,"#0000A8AF","#0000A8AF",13700
"8189946","MARTZELL & BICKFORD","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",85.9649122807018,14.0350877192982,"#0000B3AF","#0000B3AF",14250
"16117046","JOHN ALARIO JR CAMPAIGN FUND","Candidate Committees","Candidate Contributions","Candidate committees",50,50,"#000000AF","#000000AF",10000
"8189983","CHAISSON SENATE CAMPAIGN FUND","Candidate Committees","Candidate Contributions","Candidate committees",56.3636363636364,43.6363636363636,"#00001FAF","#00001FAF",27500
"7116","LOUISIANA HORSEMENS BENEVOLENT & PROTECTIVE ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",30.8943089430894,69.1056910569106,"#660000AF","#660000AF",30750
"14495","NEW ORLEANS METROPOLITAN CONVENTION & VISITORS BUREAU","Lodging & Tourism","General Business","Hotels & motels",45.4545454545455,54.5454545454545,"#1A0000AF","#1A0000AF",11000
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",38.5877684750466,61.4122315249534,"#3D0000AF","#3D0000AF",96533.18
"7583","LOUISIANA RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",30.7486631016043,69.2513368983957,"#660000AF","#660000AF",56100
"7588","LOUISIANA REALTORS ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Real estate",26.8016194331984,73.1983805668016,"#7A0000AF","#7A0000AF",61750
"13782","LOUISIANA SOCIETY OF INTERVENTIONAL PAIN PHYSICIANS","Health Professionals","Health","Other physician specialists",62.8378378378378,37.1621621621622,"#00003DAF","#00003DAF",29600
"14329","MORRIS & DICKSON CO","Pharmaceuticals & Health Products","Health","Pharmaceutical wholesale",0,100,"#FF0000AF","#FF0000AF",10000
"8194361","ST AGNES NURSING HOME PARTNERSHIP","Hospitals & Nursing Homes","Health","Nursing homes",24.3421052631579,75.6578947368421,"#850000AF","#850000AF",15200
