"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4850","MASSACHUSETTS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",77513.92
"4848","MASSACHUSETTS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",10451.8
"20386","MASSACHUSETTS STATE COUNCIL OF SERVICE EMPLOYEES","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",7000
"301804","NARAL PRO-CHOICE MASSACHUSETTS","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",2260.44
"19103","BOSTON CARMENS LOCAL 589","Transportation Unions","Labor","Transportation unions",91.2820512820513,8.71794871794872,"#0000D1AF","#0000D1AF",19500
"20184","SERVICE EMPLOYEES LOCAL 5000","Public Sector Unions","Labor","State & local government employee unions",89.7959183673469,10.2040816326531,"#0000C7AF","#0000C7AF",4900
"19603","ELECTRICAL WORKERS LOCAL 104","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",8550
"19962","BOSTON POLICE PATROLMENS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",94.2857142857143,5.71428571428571,"#0000E0AF","#0000E0AF",8750
"4061","MASSACHUSETTS CORRECTIONS OFFICERS FEDERAL UNION","Public Sector Unions","Labor","Police & fire fighters unions and associations",86.6666666666667,13.3333333333333,"#0000B8AF","#0000B8AF",26250
"19439","BOSTON FIRE FIGHTERS LOCAL 718","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",4700
"19623","ELECTRICAL WORKERS LOCAL 1505","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",2950
"20236","MASSACHUSETTS COMMUNITY COLLEGE COUNCIL","Public Sector Unions","Labor","Teachers unions",95.1807228915663,4.81927710843374,"#0000E5AF","#0000E5AF",4150
"20876","FOOD & COMMERCIAL WORKERS LOCAL 1459","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",4125
"296660","RETIRED STATE COUNTY & MUNICIPAL EMPLOYEES ASSOCIATION OF MASSACHUSETTS","Public Sector Unions","Labor","State & local government employee unions",90.282131661442,9.71786833855799,"#0000CCAF","#0000CCAF",31900
"5978","BEER DISTRIBUTORS OF MASSACHUSETTS","Beer, Wine & Liquor","General Business","Liquor wholesalers",97.1428571428571,2.85714285714286,"#0000F0AF","#0000F0AF",17500
"269387","CMTE FOR A DEMOCRATIC SENATE OF MASSACHUSETTS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",19500
"7701","MASSACHUSETTS DENTAL SOCIETY","Health Professionals","Health","Dentists",100,0,"#0000FFAF","#0000FFAF",4750
"8071","NEW CAR DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",91.1764705882353,8.82352941176471,"#0000D1AF","#0000D1AF",17000
"19602","ELECTRICAL WORKERS LOCAL 103","General Trade Unions","Labor","Electrical workers/IBEW",92,8,"#0000D6AF","#0000D6AF",6250
"20604","PLUMBERS & PIPEFITTERS LOCAL 537","General Trade Unions","Labor","Construction unions",96,4,"#0000EBAF","#0000EBAF",12500
"20745","CARPENTERS & JOINERS LOCAL 111","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2225
"94921","CONSTRUCTION INDUSTRIES OF MASSACHUSETTS","General Contractors","Construction","Builders associations",100,0,"#0000FFAF","#0000FFAF",1800
"1169731","MASSACHUSETTS STATE LEGISLATIVE BOARD UNITED TRANSPORTATION UNION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",2500
