"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4848","MASSACHUSETTS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",412323.88
"22052","MARLBORO REPUBLICAN CITY CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",242314.69
"20435","SERVICE EMPLOYEES LOCAL 509","Public Sector Unions","Labor","State & local government employee unions",98.7853719919737,0.809752005350841,"#0000F5AF","#0000FAAF",24698.92
"4850","MASSACHUSETTS DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",69000
"220998","NORTH ANDOVER REPUBLICAN TOWN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",4921.43
"19850","EASTERN MASSACHUSETTS BRICKLAYERS & ALLIED CRAFTWORKERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",28850
"11189","COALITION FOR SOCIAL JUSTICE","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",2434.65
"235361","CAROL VIOLA BREUER LIVING TRUST","Computer Equipment & Services","Communications & Electronics","Computer software",0,100,"#FF0000AF","#FF0000AF",3500
"356222","BARNSTABLE REPUBLICAN TOWN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",4500
"36528","TEAMSTERS LOCAL 127","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",15650
"19230","MASSACHUSETTS FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",98.4375,1.5625,"#0000F5AF","#0000F5AF",32000
"9023","STATE POLICE ASSOCIATION OF MASSACHUSETTS","Public Sector Unions","Labor","Police & fire fighters unions and associations",92.4657534246575,7.53424657534247,"#0000D6AF","#0000D6AF",36500
"19602","ELECTRICAL WORKERS LOCAL 103","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",14384
"20092","MASSACHUSETTS & NORTHERN NEW ENGLAND LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",91.1764705882353,8.82352941176471,"#0000D1AF","#0000D1AF",96900
"17440273","MASS ALLIANCE","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",6325.9
"19029","CITIZENS BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",100,0,"#0000FFAF","#0000FFAF",1862.85
"10668028","(BLANK)","Uncoded","Uncoded","Uncoded",35.28477982113,62.1181970166696,"#4D0000AF","#420000AF",3080.45
"263948","BUILDING WRECKERS LOCAL 1421","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",1600
"254903","STEELWORKERS LOCAL 9360","General Trade Unions","Labor","Manufacturing unions",100,0,"#0000FFAF","#0000FFAF",3850
"301908","ELECTRICAL WORKERS LOCAL 2321","General Trade Unions","Labor","Electrical workers/IBEW",95.5555555555556,4.44444444444444,"#0000E5AF","#0000E5AF",11250
"20430","SERVICE EMPLOYEES LOCAL 32BJ","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",14650
