"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"5034303","CMTE TO ELECT TOM BROMWELL","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",93750
"4855","MARYLAND DEMOCRATIC SENATORIAL CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",53500
"5430794","FUTURE OF BALTIMORE CMTE","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",30000
"4593523","TALMADGE BRANCH CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",18000
"4593228","CITIZENS FOR DAN MORHAIM","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",11514.43
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",11000
"5276181","CITIZENS FOR DUTCH RUPPERSBERGER","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",70000
"7689","MARYLAND SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",28.49020846494,71.50979153506,"#700000AF","#700000AF",15830
"4711","MARYLAND TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",94.8519948519948,5.14800514800515,"#0000E0AF","#0000E0AF",116550
"5018710","FRIENDS OF MICHAEL J COLLINS CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",7800
"4651900","MARTIN OMALLEY CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",35100
"782","DEMOCRATIC SENATORIAL CAMPAIGN CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",18000
"4891235","SEIU MARYLAND & DC STATE COUNCIL","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",18800
"3494657","FRIENDS OF DOUG DUNCAN","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",12000
"4851","MARYLAND REPUBLICAN LEGISLATORS CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",30000
"4593088","THOMAS V (MIKE) MILLER JR CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",17500
"4607872","CMTE TO ELECT PATRICK J HOGAN","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",12028.57
"20235","MARYLAND STATE TEACHERS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",97.9000800141926,2.09991998580744,"#0000F0AF","#0000F0AF",27620.1
"5942","BALTIMORE COUNTY LICENSED BEVERAGE ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",93.5643564356436,6.43564356435644,"#0000DBAF","#0000DBAF",20200
"4071","MARYLAND STATE MEDICAL SOCIETY","Health Professionals","Health","Physicians",68.532091239126,31.467908760874,"#00005CAF","#00005CAF",72995
