"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4593529","MARYLAND HOUSE DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",70500
"21059","ASSOCIATED BUILDERS & CONTRACTORS BALTIMORE METRO WASHINGTON CHAPTER","General Contractors","Construction","Builders associations",6.32911392405063,93.6708860759494,"#E00000AF","#E00000AF",57275
"4760840","PROGRESSIVE PRINCE GEORGES SLATE","Joint Candidate Committee","Candidate Contributions","Democratic joint candidate committees",100,0,"#0000FFAF","#0000FFAF",19939.97
"19326","VIRGINIA COMMUNICATIONS WORKERS","General Trade Unions","Labor","Communications & hi-tech unions",100,0,"#0000FFAF","#0000FFAF",31296.43
"4444","MARYLAND ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate agents & managers",70.1186109970327,29.8813890029673,"#000066AF","#000066AF",258813.27
"7678","MARYLAND BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",79.382754024756,20.617245975244,"#000094AF","#000094AF",116092.13
"4782283","DEMOCRATIC WOMENS PAC OF MD","Women's Issues","Ideology/Single Issue","Women's issues",100,0,"#0000FFAF","#0000FFAF",7000
"4711","MARYLAND TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",95.0974263939855,4.90257360601448,"#0000E5AF","#0000E5AF",142782.15
"4829291","REPUBLICAN CLUB OF CECIL COUNTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",8500
"5116349","WICOMICO COUNTY REPUBLICAN CENTRAL CMTE OF MARYLAND","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",12000
"5116361","WORCESTER COUNTY REPUBLICAN CENTRAL CMTE OF MARYLAND","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",12000
"4593088","THOMAS V (MIKE) MILLER JR CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",93.1769722814499,6.82302771855011,"#0000DBAF","#0000DBAF",11725
"7059","HEALTH POLICY LEADERSHIP ALLIANCE","Hospitals & Nursing Homes","Health","Hospitals",83.8036748742306,16.1963251257694,"#0000A8AF","#0000A8AF",77147.13
"7794","MID ATLANTIC MEDICAL SERVICES","Health Services","Health","HMOs",90.3387703889586,9.6612296110414,"#0000CCAF","#0000CCAF",15940
"19903","OPERATING ENGINEERS LOCAL 37","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",36615
"20813","MID-ATLANTIC REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",98.7765089722675,1.22349102773246,"#0000F5AF","#0000F5AF",61300
"4891235","SEIU MARYLAND & DC STATE COUNCIL","Uncoded","Uncoded","Uncoded",96.6789667896679,3.3210332103321,"#0000EBAF","#0000EBAF",40650
"4854","MARYLAND DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",11000
"3494657","FRIENDS OF DOUG DUNCAN","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",20000
"20918","MCGEO FOOD & COMMERCIAL WORKERS LOCAL 1994","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",61119.04
"4593193","BALTIMORE WASHINGTON CONSTRUCTION & PUBLIC EMPLOYEES LABORERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",10650
"3843570","BOB EHRLICH FOR MARYLAND CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",7000
"20235","MARYLAND STATE TEACHERS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",94.614535369039,5.38546463096104,"#0000E0AF","#0000E0AF",107697.3
"4926646","SHAH ASSOCIATES MD PA","Health Professionals","Health","Physicians",100,0,"#0000FFAF","#0000FFAF",6000
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",14000
"8680","RESTAURANT ASSOCIATION OF MARYLAND","Food & Beverage","General Business","Restaurants & drinking establishments",34.4839687350455,65.5160312649545,"#520000AF","#520000AF",31345
"4601391","CMTE TO ELECT ALLAN KITTLEMAN","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",8005
"4638935","NATHANIEL T OAKS CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",8200
"4600313","FRIENDS OF J LOWELL STOLTZFUS","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",6000
"674","CONSTELLATION ENERGY GROUP","Oil & Gas","Energy & Natural Resources","Natural gas transmission & distribution",75.3069722092641,24.6930277907359,"#00007FAF","#00007FAF",56635.42
"4071","MARYLAND STATE MEDICAL SOCIETY","Health Professionals","Health","Physicians",72.0537109718307,27.9462890281693,"#000070AF","#000070AF",90173.01
"7677","MARYLAND ASSOCIATION OF MORTGAGE BROKERS","Real Estate","Finance, Insurance & Real Estate","Mortgage bankers & brokers",85.9877716557078,14.0122283442922,"#0000B3AF","#0000B3AF",39251.43
"5247789","LABORERS DISTRICT COUNCIL OF BALTIMORE & VICINITY","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",5450
"40616833","BRAGUNIER MASONRY CONTRACTORS INC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6500
"20366","1199SEIU UNITED HEALTHCARE WORKERS NEW JERSEY DIVISION","General Trade Unions","Labor","Health worker unions",100,0,"#0000FFAF","#0000FFAF",36500
