"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4825736","COMMUNITY COALITION ADVOCACY SLATE","Joint Candidate Committee","Candidate Contributions","Democratic joint candidate committees",100,0,"#0000FFAF","#0000FFAF",125000
"4593407","MARYLAND ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",98.0535279805353,1.94647201946472,"#0000F5AF","#0000F5AF",102750
"4601492","MARYLAND SENATE GOP SLATE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",21464.6
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",10500
"25008634","CHEVY CHASE BANK","Uncoded","Uncoded","Uncoded",99.7051836633514,0.294816336648607,"#0000FAAF","#0000FAAF",10932.23
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",21450
"19640","ELECTRICAL WORKERS LOCAL 26","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",18380
"1243924","MARYLAND JOCKEY CLUB","Gambling & Casinos","General Business","Casinos, racetracks & gambling",100,0,"#0000FFAF","#0000FFAF",9500
"4444","MARYLAND ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate agents & managers",70.5535113958229,29.4464886041771,"#000066AF","#000066AF",188885
"4071","MARYLAND STATE MEDICAL SOCIETY","Health Professionals","Health","Physicians",70.6916764361079,29.3083235638921,"#000066AF","#000066AF",85300
"4737508","FIRST COLONIES ANESTHESIA ASSOCIATES","Health Professionals","Health","Other physician specialists",94.1860465116279,5.81395348837209,"#0000E0AF","#0000E0AF",17200
"19326","VIRGINIA COMMUNICATIONS WORKERS","General Trade Unions","Labor","Communications & hi-tech unions",100,0,"#0000FFAF","#0000FFAF",20640
"4759762","MARYLAND INSURANCE COUNCIL","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",80.3921568627451,19.6078431372549,"#000099AF","#000099AF",25500
