"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"7636","MAINE INSURANCE AGENTS ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1500
"10024337","DIAMOND","Candidate Contributions","Candidate Contributions","Candidate Contribution",100,0,"#0000FFAF","#0000FFAF",1250
"793","DIAGEO","Beer, Wine & Liquor","General Business","Wine & distilled spirits manufacturing",77.4193548387097,22.5806451612903,"#00008AAF","#00008AAF",1550
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",100,0,"#0000FFAF","#0000FFAF",950
"5264","MAINE CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",78.7878787878788,21.2121212121212,"#00008FAF","#00008FAF",1650
"9938038","NAPPI DISTRIBUTORS","Beer, Wine & Liquor","General Business","Liquor wholesalers",83.8709677419355,16.1290322580645,"#0000A8AF","#0000A8AF",1550
"17603063","NATIONAL DISTRIBUTORS INC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",950
"43660833","MAINE OPTOMETRIC ASSOCIATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1150
"7624","MAINE ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",52,48,"#00000AAF","#00000AAF",2500
"8479","PINE STATE TRADING","Miscellaneous Business","General Business","Wholesale trade",29.4117647058824,70.5882352941177,"#6B0000AF","#6B0000AF",850
"9933920","MAINE DISTRIBUTORS","Beer, Wine & Liquor","General Business","Liquor wholesalers",20.8333333333333,79.1666666666667,"#990000AF","#990000AF",1200
"145","AMERICAN INSURANCE ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",100,0,"#0000FFAF","#0000FFAF",700
"8601","PUBLIC AFFAIRS GROUP","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",100,0,"#0000FFAF","#0000FFAF",750
"11792","DRUMMOND WOODSUM & MACMAHON","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1500
"7639","MAINE MOTOR TRANSPORT ASSOCIATION","Trucking","Transportation","Trucking",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1050
"20234","MAINE EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",700
"20383","MAINE STATE EMPLOYEE ASSOCIATION LOCAL 1989","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",700
"9929267","STRENGTHENING MAINE","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",800
"9960400","MAINE FOREST LEGACY","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",100,0,"#0000FFAF","#0000FFAF",700
"43659501","BANGOR HISTORIC TRACK INC","Uncoded","Uncoded","Uncoded",60,40,"#000033AF","#000033AF",1750
"127","AMERICAN COUNCIL OF LIFE INSURERS","Insurance","Finance, Insurance & Real Estate","Life insurance",100,0,"#0000FFAF","#0000FFAF",550
"6008","BERNSTEIN SHUR SAWYER & NELSON","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",700
"9954628","MAINE SOCIETY OF EYE PHYSICIANS & SURGEONS","Health Professionals","Health","Optometrists & ophthalmologists",50,50,"#000000AF","#000000AF",1400
"28304289","MAINE MEDICAL ASSOCIATION","Uncoded","Uncoded","Uncoded",54.5454545454545,45.4545454545455,"#000014AF","#000014AF",1100
"1854","NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",0,100,"#FF0000AF","#FF0000AF",700
"4122","NATIONAL FEDERATION OF INDEPENDENT BUSINESS / NFIB","Business Associations","General Business","Small business organizations",0,100,"#FF0000AF","#FF0000AF",700
"2933480","OLYMPIA JEAN SNOWE CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",700
"2234","RITE AID","Retail Sales","General Business","Drug stores",100,0,"#0000FFAF","#0000FFAF",450
"7631","MAINE DENTAL ASSOCIATION","Health Professionals","Health","Dentists",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1800
"2057","PIERCE ATWOOD LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",500
"2755","VISA INC","Finance & Credit Companies","Finance, Insurance & Real Estate","Credit agencies & finance companies",100,0,"#0000FFAF","#0000FFAF",750
"9283","UNUM GROUP","Insurance","Finance, Insurance & Real Estate","Life insurance",100,0,"#0000FFAF","#0000FFAF",750
"12828","HIGH HOPES PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",500
"16833","VERRILL DANA LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",75,25,"#00007FAF","#00007FAF",1000
"546166","NESTLE WATERS OF NORTH AMERICA","Food & Beverage","General Business","Beverages (non-alcoholic)",100,0,"#0000FFAF","#0000FFAF",750
"7999","NATIONAL DISTRIBUTORS INC","Beer, Wine & Liquor","General Business","Liquor wholesalers",50,50,"#000000AF","#000000AF",500
"40616945","NAIFA-MAINE","Uncoded","Uncoded","Uncoded",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",750
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",0,100,"#FF0000AF","#FF0000AF",500
"40616897","MACBPAC","Uncoded","Uncoded","Uncoded",58.3333333333333,41.6666666666667,"#000029AF","#000029AF",600
"9954697","RETAIL ASSOCIATION OF MAINE","Retail Sales","General Business","Retail trade",44.4444444444444,55.5555555555556,"#1F0000AF","#1F0000AF",450
"9954894","MERCK SHARP & DOHM CORP","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",44.4444444444444,55.5555555555556,"#1F0000AF","#1F0000AF",450
"9612","PROGRESSIVE CASUALTY INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",100,0,"#0000FFAF","#0000FFAF",200
"13866","MAINE INNKEEPERS ASSOCIATION","Lodging & Tourism","General Business","Hotels & motels",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",300
