"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"6210","CASELLA WASTE SYSTEMS","Waste Management","Energy & Natural Resources","Waste management",28.5714285714286,71.4285714285714,"#700000AF","#700000AF",2625
"7639","MAINE MOTOR TRANSPORT ASSOCIATION","Trucking","Transportation","Trucking",11.1111111111111,88.8888888888889,"#C70000AF","#C70000AF",3375
"16324748","PISCATAQUIS REPUBLICAN COUNTY CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1125
"7624","MAINE ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",0,100,"#FF0000AF","#FF0000AF",10875
"16324756","REPUBLICAN MAJORITY FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",1950
"20234","MAINE EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",80,10,"#000099AF","#0000CCAF",7500
"13863","MAINE BEER & WINE WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",0,100,"#FF0000AF","#FF0000AF",1000
"6008","BERNSTEIN SHUR SAWYER & NELSON","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",2500
"9930920","LINCOLN COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2900
"6273","CIANBRO CORP","General Contractors","Construction","Construction, unclassified",0,93.3628318584071,"#FF0000AF","#E00000AF",5650
"7636","MAINE INSURANCE AGENTS ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",17.8861788617886,82.1138211382114,"#A80000AF","#A80000AF",3075
"7626","MAINE BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",16.1290322580645,75.2688172043011,"#AD0000AF","#850000AF",2325
"9955314","RESPECT MAINE PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",2425
"2218","R J REYNOLDS TOBACCO CO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",0,100,"#FF0000AF","#FF0000AF",2250
"5264","MAINE CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",24.6753246753247,72.0779220779221,"#850000AF","#750000AF",7700
"27978030","MAINE BEVERAGE ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",875
"27977993","GIDEON LEADERSHIP PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",4125
"20383","MAINE STATE EMPLOYEE ASSOCIATION LOCAL 1989","Public Sector Unions","Labor","State & local government employee unions",82.8282828282828,7.57575757575758,"#0000A3AF","#0000D6AF",4950
"9960384","EMPOWERING MAINE LEADERSHIP PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",97.6470588235294,0,"#0000F0AF","#0000FFAF",4250
"17602960","IRWIN TARDY & MORRIS LLC","Uncoded","Uncoded","Uncoded",36.5853658536585,63.4146341463415,"#470000AF","#470000AF",1025
"15910938","SOUND SCIENCE FOR MAINE","Chemical & Related Manufacturing","General Business","Chemicals",55.5555555555556,44.4444444444444,"#00001AAF","#00001AAF",675
"11716","DIRIGO PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",33375
"9963997","YORK COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3975
"43587295","MAINE LOBSTER","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",4500
"10011603","WELLS REPUBLICAN TOWN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",750
"16326726","STILL FED UP WITH TAXES","Tax Issues","Ideology/Single Issue","Fiscal & tax policy",0,100,"#FF0000AF","#FF0000AF",15300
"18257","HOUSE REPUBLICAN MAJORITY FUND OF MAINE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",9099.06
"13625","LEADERSHIP FOR MAINES FUTURE","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",8350
"4122","NATIONAL FEDERATION OF INDEPENDENT BUSINESS / NFIB","Business Associations","General Business","Small business organizations",0,100,"#FF0000AF","#FF0000AF",1875
"9954697","RETAIL ASSOCIATION OF MAINE","Retail Sales","General Business","Retail trade",10.8597285067873,89.1402714932127,"#CC0000AF","#CC0000AF",5525
"9930919","KNOX COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1500
"27979787","WOMEN'S LEADERSHIP FUND","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",3125
"21047","ASSOCIATED BUILDERS & CONTRACTORS OF MAINE","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",8375
"9963135","SOMERSET COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1125
"9933920","MAINE DISTRIBUTORS","Beer, Wine & Liquor","General Business","Liquor wholesalers",0,100,"#FF0000AF","#FF0000AF",1225
"27979801","CIANBRO CORPORATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1125
"2586","TEXAS INSTRUMENTS","Computer Equipment & Services","Communications & Electronics","Computers, components & accessories",53.5714285714286,46.4285714285714,"#00000FAF","#00000FAF",2100
"7631","MAINE DENTAL ASSOCIATION","Health Professionals","Health","Dentists",18.8679245283019,81.1320754716981,"#A30000AF","#A30000AF",1325
"546166","NESTLE WATERS OF NORTH AMERICA","Food & Beverage","General Business","Beverages (non-alcoholic)",0,100,"#FF0000AF","#FF0000AF",975
"27979201","MANUFACTURED HOUSING ASSOCIATION OF MAINE","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1675
"581","CHURCHILL DOWNS CALIFORNIA DBA HOLLYWOOD PARK RACETRACK","Gambling & Casinos","General Business","Casinos, racetracks & gambling",0,100,"#FF0000AF","#FF0000AF",750
"257","ASTRAZENECA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",1025
"16299521","CAPITAL LEADERSHIP PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",750
"18879","MAINE HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",0,100,"#FF0000AF","#FF0000AF",550
"7635","MAINE HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",0,100,"#FF0000AF","#FF0000AF",600
"12373218","MITCHELL TARDY","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",0,100,"#FF0000AF","#FF0000AF",850
"2938","AETNA","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",25,75,"#800000AF","#800000AF",800
"9938916","MAINE REPUBLICAN LIBERTY CAUCUS","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",1175
"43660833","MAINE OPTOMETRIC ASSOCIATION","Uncoded","Uncoded","Uncoded",57.8947368421053,42.1052631578947,"#000024AF","#000024AF",950
"43660739","SCARBOROUGH DOWNS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",500
"9954654","PENOBSCOT COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3360
"17602906","CITIZENS FOR JUSTICE IN MAINE INC","Uncoded","Uncoded","Uncoded",71.4285714285714,0,"#00006BAF","#0000FFAF",350
"17603063","NATIONAL DISTRIBUTORS INC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",500
"1702","MERCK & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",500
"7991","NATIONAL ASSOCIATION OF INSURANCE & FINANCIAL ADVISORS","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",23.0769230769231,76.9230769230769,"#8A0000AF","#8A0000AF",1950
"12047","FAIRPOINT COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",55.5555555555556,44.4444444444444,"#00001AAF","#00001AAF",450
"9954894","MERCK SHARP & DOHM CORP","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",450
"2057","PIERCE ATWOOD LLP","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",600
