"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"18465","MICHIGAN SENATE REPUBLICAN CAMPAIGN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1436434.47
"18457","SENATE DEMOCRATIC FUND OF MICHIGAN","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",366653.22
"1389263","NANCY CASSIS FOR STATE REPRESENTATIVE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",141003.84
"532183","KEN SIKKEMA LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",113000
"12573","GREAT LAKES EDUCATION PROJECT","Public Education Policy","Ideology/Single Issue","School Choice Advocates",0,100,"#FF0000AF","#FF0000AF",42584.26
"4465","MICHIGAN RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",7.40379931807112,92.5962006819289,"#DB0000AF","#DB0000AF",51325
"20093","MICHIGAN LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",98.8355945698651,1.16440543013486,"#0000F5AF","#0000F5AF",42940.37
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",97.0777323202805,2.92226767971946,"#0000F0AF","#0000F0AF",85550
"7793","MICHIGAN SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",16.9172932330827,83.0827067669173,"#AD0000AF","#AD0000AF",19950
"3221","MICHIGAN BEER & WINE WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",38.9535436400379,61.0464563599621,"#3D0000AF","#3D0000AF",156320.9
"4445","MICHIGAN ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",26.5109914840754,73.4890085159246,"#7A0000AF","#7A0000AF",111086
"20688","WEST MICHIGAN PLUMBERS PIPEFITTERS & SERVICE TRADES LOCAL 174","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",24550
"161374","KENT COUNTY REPUBLICAN CENTRAL CMTE OF MICHIGAN","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",10360
"4859","MICHIGAN DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",70125.32
"4712","MICHIGAN ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",81.4272121788773,18.5727878211227,"#00009EAF","#00009EAF",131375
"20240","MICHIGAN EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",86.4050842774247,13.5949157225753,"#0000B8AF","#0000B8AF",90475
"10678785","UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA / UAW","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",149825
"13261","JDC GENESEE FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",18500
"10439","BLUE CROSS BLUE SHIELD OF MICHIGAN","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",45.7627118644068,54.2372881355932,"#1A0000AF","#1A0000AF",115050
"249367","EHLERS FOR CONGRESS","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",10150
"741091","COMMON CENTS NORTH","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",19650
"210835","PLUMBERS & PIPEFITTERS LOCAL 333","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",28950
"645","COMERICA BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",30.7081807081807,69.2918192918193,"#660000AF","#660000AF",40950
"7777","MICHIGAN ASSOCIATION OF INSURANCE AGENTS","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",10.124826629681,89.875173370319,"#CC0000AF","#CC0000AF",18025
"7787","MICHIGAN HEALTH & HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",32.1101963634967,67.8898036365033,"#5C0000AF","#5C0000AF",58314.81
