"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4860","MICHIGAN HOUSE DEMOCRATIC FUND","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2803407.39
"4857","HOUSE REPUBLICAN CAMPAIGN CMTE OF MICHIGAN","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2618466.75
"20811","MICHIGAN REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",95.1170075548185,4.8829924451815,"#0000E5AF","#0000E5AF",271350
"19902","OPERATING ENGINEERS LOCAL 324","General Trade Unions","Labor","Construction unions",97.6342671669403,2.3657328330597,"#0000F0AF","#0000F0AF",211351
"15616127","MICHIGAN WOMEN WIN","Women's Issues","Ideology/Single Issue","Women's issues",100,0,"#0000FFAF","#0000FFAF",51995
"15620809","SAMIR SINGH CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",90200
"7787","MICHIGAN HEALTH & HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",41.8392040871202,58.1607959128798,"#2E0000AF","#2E0000AF",185950
"67458","MICHIGAN VALUES LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",211982.44
"904","EMILYS LIST","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-choice",100,0,"#0000FFAF","#0000FFAF",45500
"4712","MICHIGAN ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",92.6680864009735,7.33191359902647,"#0000D6AF","#0000D6AF",164350
"20240","MICHIGAN EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",99.1800590357494,0.819940964250574,"#0000FAAF","#0000FAAF",152450
"270207","SEIU HEALTHCARE MICHIGAN LOCAL 79","General Trade Unions","Labor","Health worker unions",100,0,"#0000FFAF","#0000FFAF",40000
"12534118","VISION FOR VICTORY","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",101700
"15612960","JEFF FARRINGTON LEADERSHIP FUND","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",13500
"10678785","UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA / UAW","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",192870
"45430","BUSINESS LEADERS FOR MICHIGAN","Tax Issues","Ideology/Single Issue","Fiscal & tax policy",5.98802395209581,94.0119760479042,"#E60000AF","#E60000AF",83500
"3221","MICHIGAN BEER & WINE WHOLESALERS ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",44.061814897454,55.938185102546,"#1F0000AF","#1F0000AF",375044.22
"4445","MICHIGAN ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",23.0499080958078,76.9500919041922,"#8A0000AF","#8A0000AF",179393.34
"16240749","NESBITT MAJORITY FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",28250
"20971485","VERHEULEN LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",134750
"20093","MICHIGAN LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",94.4367176634214,5.56328233657858,"#0000E0AF","#0000E0AF",107850
"210835","PLUMBERS & PIPEFITTERS LOCAL 333","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",25750
"3624","MICHIGAN FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",10.3157121879589,89.6842878120411,"#CC0000AF","#CC0000AF",136200
"16676075","MI PETROLEUM JOBBERS","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",1.13636363636364,98.8636363636364,"#FA0000AF","#FA0000AF",22000
"14164","MICHIGAN INSURANCE COALITION","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",12.9807692307692,87.0192307692308,"#C20000AF","#C20000AF",52000
"17295","MICHIGAN CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",3.52112676056338,96.4788732394366,"#F00000AF","#F00000AF",142000
"312698","FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",7.40740740740741,92.5925925925926,"#DB0000AF","#DB0000AF",13500
"20688","WEST MICHIGAN PLUMBERS PIPEFITTERS & SERVICE TRADES LOCAL 174","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",23250
"22979","TEAMSTERS LOCAL 406","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",22000
"145026","ANANICH FUTURE FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",12650
"15617010","TIMOTHY A GREIMEL CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",100700
"14168","MICHIGAN OSTEOPATHIC ASSOCIATION","Health Professionals","Health","Physicians",25,75,"#800000AF","#800000AF",29000
"18920822","ENGINEERING MICHIGANS FUTURE","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",38000
"3173003","AUTOMOBILE CLUB","Automotive","Transportation","Auto dealers, new & used",9.60810355422523,90.3918964457748,"#D10000AF","#D10000AF",12611.75
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",96.6707021791768,3.32929782082324,"#0000EBAF","#0000EBAF",82600
"851","DTE ENERGY","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",40.4806929787104,59.5193070212896,"#330000AF","#330000AF",163930
"39177006","HEALTH PAC","Uncoded","Uncoded","Uncoded",5.71428571428571,94.2857142857143,"#E60000AF","#E60000AF",8750
"610","CMS ENERGY","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",42.2567645365573,57.7432354634427,"#290000AF","#290000AF",86850
"18825","PLANNED PARENTHOOD AFFILIATES OF MICHIGAN","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",54030.05
"22892","KELLOGG CO","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",7.14285714285714,92.8571428571429,"#DB0000AF","#DB0000AF",7000
"3093","MICHIGAN NURSES ASSOCIATION","General Trade Unions","Labor","Health worker unions",94.3609022556391,5.6390977443609,"#0000E0AF","#0000E0AF",39900
"18920881","COMPETE MICHIGAN PAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",19055.08
"10439","BLUE CROSS BLUE SHIELD OF MICHIGAN","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",40.2492031295277,59.7507968704723,"#330000AF","#330000AF",172550
"19771","TEAMSTERS LOCAL 247","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",7500
"12612694","MICHIGAN AUTO WORKERS","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",12000
"1039","NEXTERA ENERGY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",0.980392156862745,99.0196078431373,"#FF0000AF","#FF0000AF",51000
"134376","STAMAS LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",6500
"1025","FORD MOTOR CO","Automotive","Transportation","Auto manufacturers",51.5196441808747,48.4803558191253,"#000005AF","#000005AF",67450
"12612608","MIKE CALLTON ACTION FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",38150
"43575773","ACPAC AUTOMOBILE CLUB","Uncoded","Uncoded","Uncoded",11.864406779661,88.135593220339,"#C70000AF","#C70000AF",14750
"26288016","MCCREADY FOR MI LEADERSHIP FUND","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6000
"7777","MICHIGAN ASSOCIATION OF INSURANCE AGENTS","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",14.8351648351648,85.1648351648352,"#B80000AF","#B80000AF",27300
"26724316","SCHOR LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",30350
"16678736","PHARMACY ACTION COUNCIL","Health Professionals","Health","Pharmacists",88.2062149522848,11.7937850477152,"#0000C2AF","#0000C2AF",8055.09
"27361","COMM PAC","Business Associations","General Business","Pro-business organizations",12.3456790123457,87.6543209876543,"#C20000AF","#C20000AF",12150
"12573","GREAT LAKES EDUCATION PROJECT","Public Education Policy","Ideology/Single Issue","School Choice Advocates",35.8066412725967,64.1933587274033,"#4D0000AF","#4D0000AF",27927.78
"20966044","AFPD INC","Uncoded","Uncoded","Uncoded",5.10948905109489,94.8905109489051,"#E60000AF","#E60000AF",6850
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",97650
"19682","ELECTRICAL WORKERS LOCAL 58","General Trade Unions","Labor","Electrical workers/IBEW",95.9390862944162,4.06091370558376,"#0000E5AF","#0000E5AF",49250
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",34500
"5291","MICHIGAN CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",35.9126081019572,64.0873918980428,"#4D0000AF","#4D0000AF",54925
"4087","MICHIGAN ASSOCIATION OF CPAS","Accountants","Finance, Insurance & Real Estate","Accountants",30.0314465408805,69.9685534591195,"#660000AF","#660000AF",31800
"143169","SMALL BUSINESS ASSOCIATION OF MICHIGAN","Business Associations","General Business","Small business organizations",31.496062992126,68.503937007874,"#610000AF","#610000AF",31750
"15619832","ELECTRICAL WORKERS LOCAL 352","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",5500
"19779","TEAMSTERS LOCAL 337","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",21300
"7793","MICHIGAN SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",23.4643734643735,76.5356265356265,"#8A0000AF","#8A0000AF",40700
"16670250","PSCHOLKA RESULTS PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",17000
"28191627","SCHOOL ADMINISTRATORS","Uncoded","Uncoded","Uncoded",40.8376963350785,59.1623036649215,"#330000AF","#330000AF",23875
"15614758","SHEPPARD LEADERSHIP FUND","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",20150
"1625","MARATHON OIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",14.4554455445545,85.5445544554455,"#B80000AF","#B80000AF",25250
"69577","WEST SHORE MAJORITY FUND","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",8000
"26890","DETROIT POLICE OFFICERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",18050
"49802","LEVIN FOR CONGRESS","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",11184.86
"124666","NORTHVILLE DEMOCRATIC CLUB","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5500
"141657","MACOMB COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",9000
"3185","MICHIGAN AUTO DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",41.0769761822575,58.9230238177425,"#2E0000AF","#2E0000AF",144850
"9995","AMERISURE INSURANCE COMPANIES","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",2.41935483870968,97.5806451612903,"#F50000AF","#F50000AF",31000
"17303","GRAND RAPIDS AREA CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",10.0334448160535,89.9665551839465,"#CC0000AF","#CC0000AF",14950
"1087","GENERAL MOTORS","Automotive","Transportation","Auto manufacturers",30.7958477508651,69.2041522491349,"#660000AF","#660000AF",57800
"16395","TELECOMMUNICATIONS ASSOCIATION OF MICHIGAN","Telecom Services & Equipment","Communications & Electronics","Telecommunications",30.9148264984227,69.0851735015773,"#660000AF","#660000AF",15850
"26332300","RED & BLUE PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",72.7272727272727,27.2727272727273,"#000070AF","#000070AF",5500
"21633","STERLING HEIGHTS FIRE FIGHTERS LOCAL 1557","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",4250
"21731","MICHIGAN TEAMSTERS JOINT COUNCIL 43","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",17350
"7746","MEIJER INC","Retail Sales","General Business","Department, variety & convenience stores",22.9508196721311,77.0491803278689,"#8F0000AF","#8F0000AF",30500
"3815","HEALTH CARE ASSOCIATION OF MICHIGAN / MICHIGAN CENTER FOR ASSISTED LIVING","Hospitals & Nursing Homes","Health","Nursing homes",13.7931034482759,86.2068965517241,"#BD0000AF","#BD0000AF",5800
