"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"16673314","IMPAC","Business Associations","General Business","Pro-business organizations",25.165704511439,74.834295488561,"#800000AF","#800000AF",23385
"7859","MISSISSIPPI STATE MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",20.9917298335615,79.0082701664385,"#990000AF","#990000AF",86939
"4109","MISSISSIPPI BAND OF CHOCTAW INDIANS","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",57.8291814946619,42.1708185053381,"#000024AF","#000024AF",28100
"7848","MISSISSIPPI BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",34.3625498007968,65.6374501992032,"#520000AF","#520000AF",100400
"14243","MISSISSIPPI REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",8491.2
"7844","MISSISSIPPI ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",23.1436837029894,76.8563162970106,"#8A0000AF","#8A0000AF",51850
"6647","ELECTIC POWER ASSOCIATIONS OF MISSISSIPPI","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",39.6825396825397,60.3174603174603,"#380000AF","#380000AF",50400
"1905","NORTHROP GRUMMAN","Defense Aerospace","Defense","Defense aerospace contractors",21.1640211640212,78.8359788359788,"#940000AF","#940000AF",9450
"7499","LAWYERS INVOLVED FOR MISSISSIPPI BETTERMENT","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",81.124952812382,18.875047187618,"#00009EAF","#00009EAF",21192
"61441","BELLSOUTH","Telephone Utilities","Communications & Electronics","Telephone utilities",41.6382252559727,58.3617747440273,"#2E0000AF","#2E0000AF",43950
"7864","MISSISSIPPI POWER CO","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",40.8268733850129,59.1731266149871,"#330000AF","#330000AF",38700
"7858","MISSISSIPPI MANUFACTURERS ASSOCIATION","Miscellaneous Manufacturing & Distributing","General Business","Manufacturing",28.5714285714286,71.4285714285714,"#700000AF","#700000AF",39200
"913","ENTERGY CORP","Electric Utilities","Energy & Natural Resources","Electric power utilities",38.8127853881278,61.1872146118721,"#3D0000AF","#3D0000AF",32850
"23414767","MADA AUTO","Uncoded","Uncoded","Uncoded",13.2075471698113,86.7924528301887,"#BD0000AF","#BD0000AF",13250
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",48.3383685800604,51.6616314199396,"#0A0000AF","#0A0000AF",33100
"27602229","BUDDY MEDLIN & ASSOCIATES INC","Uncoded","Uncoded","Uncoded",30.7692307692308,69.2307692307692,"#660000AF","#660000AF",6500
"8116738","MISSISSIPPI HOME BUILDERS ASSOCIATION","Uncoded","Uncoded","Uncoded",15.2317880794702,84.7682119205298,"#B30000AF","#B30000AF",15100
"18793","MISSISSIPPI OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",51.8072289156626,48.1927710843374,"#000005AF","#000005AF",24900
"39430677","HOME BUILDERS ASSOCIATION OF MISSISSIPPI","Uncoded","Uncoded","Uncoded",20.8333333333333,79.1666666666667,"#990000AF","#990000AF",21600
"566","CHEVRON CORP","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",34,66,"#520000AF","#520000AF",15000
"7855","MISSISSIPPI HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",29.8550724637681,70.1449275362319,"#6B0000AF","#6B0000AF",17250
"20242","MISSISSIPPI ASSOCIATION OF EDUCATORS","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",6500
"7850","MISSISSIPPI CONCRETE INDUSTRIES ASSOCIATION","Building Materials & Equipment","Construction","Stone, clay, glass & concrete products",23.5294117647059,76.4705882352941,"#8A0000AF","#8A0000AF",14450
"18880","MISSISSIPPI HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",50.4373177842566,49.5626822157434,"#000000AF","#000000AF",17150
"8139632","MISSCO CORPORATION","Miscellaneous Manufacturing & Distributing","General Business","Household & office products",46.6666666666667,53.3333333333333,"#140000AF","#140000AF",7500
"4761","WEYERHAEUSER CO","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",9000
"2446","SPRINT","Telecom Services & Equipment","Communications & Electronics","Telecommunications",23.0769230769231,76.9230769230769,"#8A0000AF","#8A0000AF",3250
"3403","CINGULAR WIRELESS","Telecom Services & Equipment","Communications & Electronics","Paging & cellular phones and services",32.258064516129,67.741935483871,"#5C0000AF","#5C0000AF",6200
"4756","WASTE MANAGEMENT","Waste Management","Energy & Natural Resources","Waste management",18.1818181818182,81.8181818181818,"#A30000AF","#A30000AF",6600
"8139684","PASCAGOULA BAR PILOTS ASSOCIATION","Sea Transport","Transportation","Sea freight & passenger services",0,100,"#FF0000AF","#FF0000AF",3600
"8257802","MERCHANTS & FARMERS BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",64.5161290322581,35.4838709677419,"#000047AF","#000047AF",3100
"7863","MISSISSIPPI POULTRY ASSOCIATION","Poultry & Eggs","Agriculture","Poultry & eggs",18.7713310580205,81.2286689419795,"#A30000AF","#A30000AF",14650
"19699545","HOME BUILDERS ASSOCIATION OF MISSISSIPPI BUILD","Home Builders","Construction","Residential construction",55.5555555555556,44.4444444444444,"#00001AAF","#00001AAF",4500
"362","BEVERLY ENTERPRISES","Hospitals & Nursing Homes","Health","Nursing homes",28.3333333333333,71.6666666666667,"#700000AF","#700000AF",15000
"7847","MISSISSIPPI AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",0,100,"#FF0000AF","#FF0000AF",3300
"42628010","ACRE","Uncoded","Uncoded","Uncoded",17.8571428571429,82.1428571428571,"#A80000AF","#A80000AF",2800
"1338","INTERNATIONAL PAPER","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",14.4927536231884,85.5072463768116,"#B80000AF","#B80000AF",3450
"8275688","MISSISSIPPI GAMING ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",83.3333333333333,16.6666666666667,"#0000A8AF","#0000A8AF",3000
"19699602","HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",90,10,"#0000CCAF","#0000CCAF",5000
"1702","MERCK & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",21.0526315789474,78.9473684210526,"#940000AF","#940000AF",4750
"7056","HEALTH MANAGEMENT ASSOCIATES","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",6000
"7866","MISSISSIPPI HOSPITALITY & RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",11.2860892388451,88.7139107611549,"#C70000AF","#C70000AF",19050
"19053","MISSISSIPPI LIFE UNDERWRITERS","Insurance","Finance, Insurance & Real Estate","Life insurance",4.16666666666667,95.8333333333333,"#EB0000AF","#EB0000AF",4800
"3797","GEORGIA-PACIFIC","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",25.5696202531646,74.4303797468354,"#800000AF","#800000AF",19750
"36632554","NEW REPUBLICAN MAJORITY FUND","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6500
"3250","BP NORTH AMERICA","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",0,100,"#FF0000AF","#FF0000AF",2500
"8216020","LAKEVIEW NURSING CENTER","Hospitals & Nursing Homes","Health","Nursing homes",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",3000
"18340","MISSISSIPPI DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",3900
"3412","COCA-COLA","Food & Beverage","General Business","Beverages (non-alcoholic)",6.66666666666667,93.3333333333333,"#E00000AF","#E00000AF",4500
"7852","MISSISSIPPI DENTAL ASSOCIATION","Health Professionals","Health","Dentists",43.8356164383562,56.1643835616438,"#240000AF","#240000AF",7300
"14761","OMEGA PROTEIN","Food & Beverage","General Business","Fish processing",0,100,"#FF0000AF","#FF0000AF",2700
"3803","GOLDEN RULE FINANCIAL CORP","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",35.0877192982456,64.9122807017544,"#4D0000AF","#4D0000AF",5700
"8161934","MISSISSIPPI RETAIL ASSOCIATION","Retail Sales","General Business","Retail trade",35.7142857142857,64.2857142857143,"#4D0000AF","#4D0000AF",2800
"31605828","US OIL & GAS ASSOCIATION","Uncoded","Uncoded","Uncoded",23.448275862069,76.551724137931,"#8A0000AF","#8A0000AF",7250
"7861","MISSISSIPPI PETROLEUM MARKETERS & CONVENIENCE STORES ASSOCIATION","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",11.1111111111111,88.8888888888889,"#C70000AF","#C70000AF",4500
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",28.5714285714286,71.4285714285714,"#700000AF","#700000AF",8750
"2670","TYSON FOODS","Food Processing & Sales","Agriculture","Meat processing & products",31.0077519379845,68.9922480620155,"#610000AF","#610000AF",6450
"6093","BUDDY MEDLIN & ASSOCIATES","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",63.8888888888889,36.1111111111111,"#000042AF","#000042AF",3600
"19052","MISSISSIPPI CONSUMER FINANCE ASSOCIATION","Finance & Credit Companies","Finance, Insurance & Real Estate","Credit agencies & finance companies",25,75,"#800000AF","#800000AF",8400
"1174","FRIEDKIN BUSINESS SERVICES / GULF STATE TOYOTA","Automotive","Transportation","Auto dealers, new & used",32,68,"#5C0000AF","#610000AF",12500
"7313","JOHNSON & JOHNSON SERVICES","Pharmaceuticals & Health Products","Health","Health care products",10,90,"#CC0000AF","#D10000AF",5000
"5768","AMERISTAR CASINOS","Gambling & Casinos","General Business","Casinos, racetracks & gambling",50,50,"#000000AF","#000000AF",8000
"145","AMERICAN INSURANCE ASSOCIATION","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",23.6111111111111,76.3888888888889,"#8A0000AF","#8A0000AF",14400
"8145188","VALLEY","Uncoded","Uncoded","Uncoded",40,60,"#330000AF","#330000AF",2500
"860","E I DU PONT DE NEMOURS & CO","Chemical & Related Manufacturing","General Business","Chemicals",45.4545454545455,54.5454545454545,"#1A0000AF","#1A0000AF",5500
"856","DUKE ENERGY","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",22.2222222222222,77.7777777777778,"#8F0000AF","#8F0000AF",4500
"7854","MISSISSIPPI HIGHWAY CONTRACTORS","General Contractors","Construction","Builders associations",53.1914893617021,46.8085106382979,"#00000FAF","#00000FAF",14100
"18575","ASSOCIATED BUILDERS & CONTRACTORS OF MISSISSIPPI","General Contractors","Construction","Builders associations",5.26315789473684,94.7368421052632,"#E60000AF","#E60000AF",4750
"2046","PHILIP MORRIS","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",58.3333333333333,41.6666666666667,"#000029AF","#000029AF",14400
"8217174","COPA CASINO","Gambling & Casinos","General Business","Casinos, racetracks & gambling",45.4545454545455,54.5454545454545,"#1A0000AF","#1A0000AF",2200
"5","3M CO","Miscellaneous Manufacturing & Distributing","General Business","Manufacturing",18.5714285714286,81.4285714285714,"#A30000AF","#A30000AF",3500
"8203772","WALKER & WALKER","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",1500
"1096","GEO GROUP","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",25,75,"#800000AF","#800000AF",4000
"16331","T L WALLACE CONSTRUCTION","General Contractors","Construction","Construction, unclassified",40,60,"#330000AF","#330000AF",5000
"5946","BANCORP SOUTH","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",23.4375,76.5625,"#8A0000AF","#8A0000AF",6400
"257","ASTRAZENECA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",26.3157894736842,73.6842105263158,"#7A0000AF","#7A0000AF",3800
"651","COMMUNITY BANCSHARES OF MISSISSIPPI","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",7000
"8123478","NEWTON COUNTY BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",20,80,"#990000AF","#9E0000AF",1250
"14497","NEW REPUBLICAN MAJORITY FUND","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",2000
"8256258","MCPA","Uncoded","Uncoded","Uncoded",18.5185185185185,81.4814814814815,"#A30000AF","#A30000AF",2700
