"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"7499","LAWYERS INVOLVED FOR MISSISSIPPI BETTERMENT","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",100002.96
"14237","HOUSE DEMOCRATIC LEADERSHIP OF MISSISSIPPI","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",370042.27
"14243","MISSISSIPPI REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",251791.43
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",99.4200497100249,0.579950289975145,"#0000FAAF","#0000FAAF",36210
"7160","IMPROVE MISSISSIPPI","Business Associations","General Business","Pro-business organizations",8.71152604337358,91.2884739566264,"#D60000AF","#D60000AF",85467.23
"37089272","MS MEDICAL","Uncoded","Uncoded","Uncoded",13.7254901960784,86.2745098039216,"#BD0000AF","#BD0000AF",51000
"2009","PENN NATIONAL GAMING","Gambling & Casinos","General Business","Casinos, racetracks & gambling",88.5496183206107,11.4503816793893,"#0000C2AF","#0000C2AF",26200
"7855","MISSISSIPPI HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",69.6883852691218,30.3116147308782,"#000061AF","#000061AF",88250
"29319503","VPAC","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",9799.08
"8184716","INTEGRITY PAC","Health Professionals","Health","Other physician specialists",13.7931034482759,86.2068965517241,"#BD0000AF","#BD0000AF",7250
"7847","MISSISSIPPI AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",22.5,77.5,"#8F0000AF","#8F0000AF",20000
"14238","MISSISSIPPI HOUSE REPUBLICAN CONFERENCE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",32800
"8247091","LAFAYETTE-OXFORD-UNIVERSITY","Education","Government Agencies/Education/Other","Schools & colleges",0,100,"#FF0000AF","#FF0000AF",9500
"7859","MISSISSIPPI STATE MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",37.3814488883449,62.6185511116551,"#420000AF","#420000AF",72228.34
"7056","HEALTH MANAGEMENT ASSOCIATES","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",97.2972972972973,2.7027027027027,"#0000F0AF","#0000F0AF",9250
"1917","NUCOR CORP","Steel","Energy & Natural Resources","Steel manufacturing",2.25225225225225,97.7477477477478,"#F50000AF","#F50000AF",11100
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",79.1255503264005,20.8744496735995,"#000094AF","#000094AF",26348
"19052","MISSISSIPPI CONSUMER FINANCE ASSOCIATION","Finance & Credit Companies","Finance, Insurance & Real Estate","Credit agencies & finance companies",32.9327630027951,67.0672369972049,"#5C0000AF","#5C0000AF",41823.7
"8186099","VIKING RANGE CORPORATION","Miscellaneous Manufacturing & Distributing","General Business","Household appliances",100,0,"#0000FFAF","#0000FFAF",5500
"6647","ELECTIC POWER ASSOCIATIONS OF MISSISSIPPI","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",68.062317429406,31.937682570594,"#00005CAF","#00005CAF",51350
"8128715","BOBBY MOAK CAMPAIGN FUND","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",5650
"7844","MISSISSIPPI ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",35.2591333899745,64.7408666100255,"#4D0000AF","#4D0000AF",117700
"7852","MISSISSIPPI DENTAL ASSOCIATION","Health Professionals","Health","Dentists",76.4521193092622,23.5478806907378,"#000085AF","#000085AF",63700
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",78.4688995215311,21.5311004784689,"#00008FAF","#00008FAF",52250
"1096","GEO GROUP","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",86.6666666666667,13.3333333333333,"#0000B8AF","#0000B8AF",9000
"1905","NORTHROP GRUMMAN","Defense Aerospace","Defense","Defense aerospace contractors",64.2857142857143,35.7142857142857,"#000047AF","#000047AF",7000
"2533","SWISHER INTERNATIONAL","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",95.4545454545455,4.54545454545455,"#0000E5AF","#0000E5AF",11000
"20242","MISSISSIPPI ASSOCIATION OF EDUCATORS","Public Sector Unions","Labor","Teachers unions",89.4514767932489,10.5485232067511,"#0000C7AF","#0000C7AF",23700
"7848","MISSISSIPPI BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",42.7906976744186,57.2093023255814,"#290000AF","#290000AF",107500
"860","E I DU PONT DE NEMOURS & CO","Chemical & Related Manufacturing","General Business","Chemicals",60.126582278481,39.873417721519,"#000033AF","#000033AF",7900
"34745210","HOME BUILDERS ASSOCIATION OF MS","Uncoded","Uncoded","Uncoded",22.9508196721311,77.0491803278689,"#8F0000AF","#8F0000AF",30500
"7864","MISSISSIPPI POWER CO","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",76.0147601476015,23.9852398523985,"#000085AF","#000085AF",27100
"8196762","MISSISSIPPI FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",4000
"18575","ASSOCIATED BUILDERS & CONTRACTORS OF MISSISSIPPI","General Contractors","Construction","Builders associations",23.0769230769231,76.9230769230769,"#8A0000AF","#8A0000AF",27300
"19699602","HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",37.037037037037,62.962962962963,"#420000AF","#420000AF",6750
"8162063","DENBURY RESOURCES","Oil & Gas","Energy & Natural Resources","Oil & gas",0,100,"#FF0000AF","#FF0000AF",4000
"39430677","HOME BUILDERS ASSOCIATION OF MISSISSIPPI","Uncoded","Uncoded","Uncoded",21.3114754098361,78.6885245901639,"#940000AF","#940000AF",15250
"7007","HANCOCK BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",50.4950495049505,49.5049504950495,"#000000AF","#000000AF",25250
"14355","MISSISSIPPI TITLE PLEDGE ASSOCIATION","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",34.6666666666667,65.3333333333333,"#520000AF","#520000AF",7500
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",94.1176470588235,5.88235294117647,"#0000E0AF","#0000E0AF",12750
