"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"7871","MISSOULA COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2100
"6871","GALLATIN COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2100
"7667249","YELLOWSTONE COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",6000
"7517","LEWIS & CLARK COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3256.07
"4870","MONTANA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5016
"6264","CHOUTEAU COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",910
"9574","YELLOWSTONE COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",3500
"6790","FLATHEAD COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,91.2087912087912,"#FF0000AF","#D60000AF",1820
"6791","FLATHEAD COUNTY REPUBLICAN WOMENS CLUB","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1500
"6174","CARBON COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",650
"9046","STILLWATER COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",600
"7515","LEWIS & CLARK COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",770
"1687","MONTANA DAKOTA UTILITIES","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",23.0326295585413,76.9673704414587,"#8A0000AF","#8A0000AF",2605
