"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"170434","ACTBLUE","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",2313.45
"6871","GALLATIN COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",7100
"7082","HILL COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2150
"7667249","YELLOWSTONE COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",10100
"6174","CARBON COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",900
"7871","MISSOULA COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",6100
"8386","PARK COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1600
"7777546","GALLATIN COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2800
"7538","LINCOLN COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1600
"8640","RAVALLI COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2400
"7517","LEWIS & CLARK COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",3274.42
"9574","YELLOWSTONE COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",5100
"7515","LEWIS & CLARK COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1580
"6788","FLATHEAD COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",4000
"7780234","JEFFERSON COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",600
"4870","MONTANA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1317
"6791","FLATHEAD COUNTY REPUBLICAN WOMENS CLUB","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2170
"8638","RAVALLI COUNTY DEMOCRATIC CENTRAL CMTE OF MONTANA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1200
"7682431","RAVALLI COUNTY DEMOCRATIC WOMENS CLUB","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1200
"6264","CHOUTEAU COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",700
"20244","MEA - MFT","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",4480
"7689261","LEWIS & CLARK COUNTY DEMOCRATIC ACTION CLUB","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1300
"7084","HILL COUNTY REPUBLICAN CENTRAL CMTE OF MONTANA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",650
"4869","MONTANA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",960
"7676731","MONTANA CITIZENS FOR RIGHT TO WORK","Anti-Labor Groups","Ideology/Single Issue","Labor, anti-union",0,100,"#FF0000AF","#FF0000AF",1760
"7919","MONTANA CONSERVATION VOTERS","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",100,0,"#0000FFAF","#0000FFAF",5751.15
"20152","MONTANA STATE AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",8980
"435","BNSF RAILWAY","Railroads","Energy & Natural Resources","Railroads",23.5294117647059,76.4705882352941,"#8A0000AF","#8A0000AF",2720
"7914","MONTANA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",23.7918215613383,76.2081784386617,"#8A0000AF","#8A0000AF",8070
"7917","MONTANA CHIROPRACTIC ASSOCIATION","Health Professionals","Health","Chiropractors",34.1421143847487,65.8578856152513,"#520000AF","#520000AF",2885
"7939","MONTANA TAVERN ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",32.703213610586,67.296786389414,"#5C0000AF","#5C0000AF",2645
"8248","NORTHWESTERN ENERGY","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",33.8530066815145,66.1469933184855,"#570000AF","#570000AF",4490
"7676729","ALLIANCE OF MONTANA TAXPAYERS","Tax Issues","Ideology/Single Issue","Fiscal & tax policy",0,100,"#FF0000AF","#FF0000AF",1080
"12474","GLACIER PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic members of Congress or prominent national Democrats",100,0,"#0000FFAF","#0000FFAF",11360
