"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4875","NORTH CAROLINA SENATE DEMOCRATIC CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",638427.6
"4874","NORTH CAROLINA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1851975.25
"4872","NORTH CAROLINA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",264603.13
"18370","NORTH CAROLINA REPUBLICAN SENATE CAUCUS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",82090.2
"61441","BELLSOUTH","Telecom Services & Equipment","Communications & Electronics","Telecommunications",72.7668845315904,27.2331154684096,"#000070AF","#000070AF",68850
"3188","NORTH CAROLINA AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",55.1219512195122,44.8780487804878,"#00001AAF","#00001AAF",51250
"298","BANK OF AMERICA","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",70.4081632653061,29.5918367346939,"#000066AF","#000066AF",98000
"4080","NORTH CAROLINA MEDICAL SOCIETY","Health Professionals","Health","Physicians",47.9231246125232,52.0768753874768,"#0F0000AF","#0F0000AF",80650
"17158","WILMINGTON ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",70.3703703703704,29.6296296296296,"#000066AF","#000066AF",27000
"856","DUKE ENERGY","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",60.8294930875576,39.1705069124424,"#000033AF","#000033AF",108500
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",78.2178217821782,21.7821782178218,"#00008FAF","#00008FAF",25250
"2116","PROGRESS ENERGY","Electric Utilities","Energy & Natural Resources","Electric power utilities",66.8674698795181,33.1325301204819,"#000052AF","#000052AF",83000
"3479","DOMINION","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",84.4875346260388,15.5124653739612,"#0000ADAF","#0000ADAF",18050
"3829","NORTH CAROLINA HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",67.8520383573482,32.1479616426518,"#000057AF","#000057AF",96273.6
"4450","NORTH CAROLINA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",70,30,"#000066AF","#000066AF",95000
"4714","NORTH CAROLINA ADVOCATES FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",96.1904761904762,3.80952380952381,"#0000EBAF","#0000EBAF",105000
"4752","WACHOVIA BANK","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",65.9927663699163,34.0072336300837,"#00004DAF","#00004DAF",51459.64
"6283","CITIZENS FOR HIGHER EDUCATION","Education","Government Agencies/Education/Other","Schools & colleges",74.6478873239437,25.3521126760563,"#00007AAF","#00007AAF",142000
