"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4874","NORTH CAROLINA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1646565.61
"4873","NORTH CAROLINA HOUSE DEMOCRATIC CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",924366.64
"4872","NORTH CAROLINA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,99.2383587184057,"#FF0000AF","#FF0000AF",802365.91
"4871","NORTH CAROLINA REPUBLICAN HOUSE CAUCUS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",117126.05
"10668028","(BLANK)","Uncoded","Uncoded","Uncoded",0.741132874536792,99.2588671254632,"#FF0000AF","#FF0000AF",15112
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",64.328899637243,35.671100362757,"#000047AF","#000047AF",82700
"8211","INDEPENDENT INSURANCE AGENTS OF NORTH CAROLINA","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",62.5,37.5,"#00003DAF","#00003DAF",72000
"8205","NORTH CAROLINA FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",51.8453427065026,48.1546572934974,"#000005AF","#000005AF",113800
"4450","NORTH CAROLINA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",27.2857142857143,72.2857142857143,"#750000AF","#750000AF",175000
"4080","NORTH CAROLINA MEDICAL SOCIETY","Health Professionals","Health","Physicians",57.1428571428571,42.8571428571429,"#000024AF","#000024AF",178500
"5845329","TUCKER FOR NORTH CAROLINA HOUSE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",12632
"298","BANK OF AMERICA","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",57.2320841551611,42.7679158448389,"#000024AF","#000024AF",152100
"1864","NATIONWIDE MUTUAL INSURANCE CO","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",49.3346980552712,50.6653019447288,"#050000AF","#050000AF",146550
"4714","NORTH CAROLINA ADVOCATES FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",87.8338278931751,12.1661721068249,"#0000BDAF","#0000BDAF",168500
"6283","CITIZENS FOR HIGHER EDUCATION","Education","Government Agencies/Education/Other","Schools & colleges",67.7777777777778,32.2222222222222,"#000057AF","#000057AF",90000
"856","DUKE ENERGY","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",43.5294117647059,56.4705882352941,"#240000AF","#240000AF",127500
"5844915","EQUALITY NORTH CAROLINA","Gay/Lesbian Rights & Issues","Ideology/Single Issue","Gay & lesbian rights and issues",100,0,"#0000FFAF","#0000FFAF",25750
"5866948","SOUTHEASTERN RADIOLOGY ORGANIZATION","Health Professionals","Health","Other physician specialists",100,0,"#0000FFAF","#0000FFAF",18000
"874","EASTERN BAND OF CHEROKEE INDIANS","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",60,40,"#000033AF","#000033AF",57500
"2116","PROGRESS ENERGY","Electric Utilities","Energy & Natural Resources","Electric power utilities",45.2095808383234,54.7904191616767,"#1A0000AF","#1A0000AF",167000
"8204","NORTH CAROLINA DENTAL SOCIETY","Health Professionals","Health","Dentists",58.0446131941149,41.0061699098244,"#000029AF","#000029AF",105350
