"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"10011967","STEELWORKERS LOCAL 566","General Trade Unions","Labor","Manufacturing unions",100,0,"#0000FFAF","#0000FFAF",7500
"14620","NORTH DAKOTA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",24916.9
"6579","DISTRICT 35 DEMOCRATIC-NPL","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",7149
"40615677","REPUBLICAN HOUSE CAUCUS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",7933
"11514","DAK PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic members of Congress or prominent national Democrats",99.3197278911565,0,"#0000FAAF","#0000FFAF",36750
"4876","HOUSE REPUBLICAN CAUCUS OF NORTH DAKOTA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",16192.83
"40613709","HOUSE REPUBLICAN CAUCUS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",26783
"8215","NORTH DAKOTA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",36.7370892018779,63.2629107981221,"#470000AF","#470000AF",21300
"6951","GRAND FORKS REPUBLICAN WOMEN","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",14504.75
"10015841","DISTRICT 3 DEMOCRATIC-NPL","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",2825
"6950","GRAND FORKS REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2916.34
"2566","INTERNATIONAL BROTHERHOOD OF TEAMSTERS / IBT","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",2000
"20809","LAKES & PLAINS REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2000
"8220","NORTH DAKOTA LIGNITE COUNCIL","Mining","Energy & Natural Resources","Coal mining",22.7272727272727,77.2727272727273,"#8F0000AF","#8F0000AF",33000
"40617618","NDPEA","Uncoded","Uncoded","Uncoded",86.3636363636364,13.6363636363636,"#0000B8AF","#0000B8AF",5500
"10010123","DISTRICT 36 NORTH DAKOTA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1306.5
"29412503","ND RURAL ELECTRIC","Uncoded","Uncoded","Uncoded",37.5,62.5,"#420000AF","#420000AF",9600
"14618","NORTH DAKOTA DEMOCRATIC-NPL PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",9300
"8225","NORTH DAKOTA ASSOCIATION OF RURAL ELECTRIC COOPERATIVES","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",56.9852941176471,43.0147058823529,"#00001FAF","#00001FAF",13600
"8216","NORTH DAKOTA ASSOCIATION OF TELECOMMUNICATIONS COOPERATIVES","Telecom Services & Equipment","Communications & Electronics","Telecommunications",23.7400530503979,76.2599469496021,"#8A0000AF","#8A0000AF",18850
"18250","HOUSE DEMOCRATIC-NPL CAUCUS OF NORTH DAKOTA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",13550
"10009122","NORTH DAKOTA ASSOCIATION OF NURSE ANESTHETISTS","Health Professionals","Health","Nurses",0,100,"#FF0000AF","#FF0000AF",1600
"7564","NORTH DAKOTA LONG TERM CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",22.0588235294118,77.9411764705882,"#8F0000AF","#8F0000AF",6800
"3412","COCA-COLA","Food & Beverage","General Business","Beverages (non-alcoholic)",0,100,"#FF0000AF","#FF0000AF",1000
"19999","LABORERS DISTRICT COUNCIL OF MINNESOTA & NORTH DAKOTA","General Trade Unions","Labor","Construction unions",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",750
"8214","NORTH DAKOTA ASSOCIATION OF INSURANCE & FINANCIAL ADVISORS","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",0,100,"#FF0000AF","#FF0000AF",3250
