"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4877","NORTH DAKOTA SENATE REPUBLICAN CAUCUS","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",85642.72
"28298335","NORTH DAKOTA UNITED","Uncoded","Uncoded","Uncoded",98.0891719745223,1.91082802547771,"#0000F5AF","#0000F5AF",15700
"14621","NORTH DAKOTA SENATE DEMOCRATIC-NPL CAUCUS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",7500
"8216","NORTH DAKOTA ASSOCIATION OF TELECOMMUNICATIONS COOPERATIVES","Telecom Services & Equipment","Communications & Electronics","Telecommunications",36.745406824147,63.254593175853,"#470000AF","#470000AF",19050
"29412526","GFRW","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",5166.66
"19588","BOILERMAKERS LOCAL 647","General Trade Unions","Labor","Construction unions",95.3051643192488,4.69483568075117,"#0000E5AF","#0000E5AF",10650
"10008349","MINOT AREA REPUBLICAN COUNCIL","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",7500
"18997","NORTH DAKOTA FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",4.25531914893617,95.7446808510638,"#EB0000AF","#EB0000AF",11750
"8215","NORTH DAKOTA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",23.0769230769231,76.9230769230769,"#8A0000AF","#8A0000AF",6500
"11743115","NORTH AMERICAN COAL","Mining","Energy & Natural Resources","Coal mining",22.0338983050847,77.9661016949153,"#8F0000AF","#8F0000AF",14750
"1396","JOHN DEERE & CO","Agricultural Services & Products","Agriculture","Farm machinery & equipment",12.5,87.5,"#C20000AF","#C20000AF",8000
"8222","NORTH DAKOTA PETROLEUM COUNCIL","Oil & Gas","Energy & Natural Resources","Oil & gas",9.43952802359882,90.5604719764012,"#D10000AF","#D10000AF",16950
"29415918","NORTH DAKOTA SENATE DEMOCRATIC-NPL CAUCUS","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",7800
"7564","NORTH DAKOTA LONG TERM CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",27.6595744680851,72.3404255319149,"#750000AF","#750000AF",23500
"29415777","NDLTCA","Uncoded","Uncoded","Uncoded",40.5405405405405,59.4594594594595,"#330000AF","#330000AF",9250
