"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"19523","PROFESSIONAL FIRE FIGHTERS OF NEW HAMPSHIRE","Public Sector Unions","Labor","Police & fire fighters unions and associations",80.0275482093664,19.9724517906336,"#000099AF","#000099AF",36300
"391796","ELECTRICAL WORKERS LOCAL 2320","General Trade Unions","Labor","Electrical workers/IBEW",90.6976744186046,9.30232558139535,"#0000CCAF","#0000CCAF",21500
"9692184","PUBLIC SERVICE OF NEW HAMPSHIRE","Electric Utilities","Energy & Natural Resources","Electric power utilities",57.372654155496,42.627345844504,"#000024AF","#000024AF",18650
"8082","NEW HAMPSHIRE AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",63.436928702011,36.563071297989,"#000042AF","#000042AF",27350
"8090","NEW HAMPSHIRE INDEPENDENT PHARMACY ASSOCIATION","Retail Sales","General Business","Drug stores",90,10,"#0000CCAF","#0000CCAF",15000
"9697428","GRANITE RIDGE ENERGY LLC","Electric Utilities","Energy & Natural Resources","Electric power utilities",55.5555555555556,44.4444444444444,"#00001AAF","#00001AAF",4500
"8081","NEW HAMPSHIRE ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",23.4159779614325,76.5840220385675,"#8A0000AF","#8A0000AF",36300
"5977","BEDFORD AMBULATORY SURGICAL CENTER","Hospitals & Nursing Homes","Health","Health care institutions",50,50,"#000000AF","#000000AF",5000
"9691966","NASHUA FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",9500
"10995179","NATIONAL EDUCATION ASSOCIATION NEW HAMPSHIRE","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",12500
"9691916","MANCHESTER PROFESSIONAL FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",4800
"7170","INDEPENDENT INSURANCE AGENTS & BROKERS OF NEW HAMPSHIRE","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",31.5315315315315,68.4684684684685,"#610000AF","#610000AF",5550
"9709367","FRIENDS OF BOB LETOURNEAU","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",4100
"6896","GALLAGHER CALLAHAN & GARTRELL","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",58.0578512396694,41.9421487603306,"#000029AF","#000029AF",24200
"6549","DEMERS GROUP","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",68.6868686868687,31.3131313131313,"#00005CAF","#00005CAF",14850
"9693642","FRIENDS OF JEB BRADLEY","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",3250
"9690952","STATE EMPLOYEES ASSOCIATION OF NEW HAMPSHIRE LOCAL 1984","Public Sector Unions","Labor","State & local government employee unions",91.5178571428571,8.48214285714286,"#0000D1AF","#0000D1AF",11200
"18841","PLANNED PARENTHOOD NEW HAMSPHIRE","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",6100
"5775","ANAGNOST INVESTMENT GROUP","Real Estate","Finance, Insurance & Real Estate","Real estate agents & managers",72.7272727272727,27.2727272727273,"#000070AF","#000070AF",2750
"8873","SHAHEEN & GORDON","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",95.9183673469388,4.08163265306122,"#0000E5AF","#0000E5AF",2450
"9718091","SURGE RESOURCES INC","Business Services","General Business","Employment agencies",72.7272727272727,27.2727272727273,"#000070AF","#000070AF",2750
"257","ASTRAZENECA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",21.2264150943396,78.7735849056604,"#940000AF","#940000AF",10600
"19740","TEAMSTERS LOCAL 633","Transportation Unions","Labor","Teamsters unions",95.7627118644068,4.23728813559322,"#0000E5AF","#0000E5AF",11800
"2218","R J REYNOLDS TOBACCO CO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",43.859649122807,56.140350877193,"#240000AF","#240000AF",8550
"4265","PHRMA","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",50,50,"#000000AF","#000000AF",8500
"2046","PHILIP MORRIS","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",20.6896551724138,79.3103448275862,"#990000AF","#990000AF",7250
"9711756","FRIENDS OF JEB BRADLEY FOR STATE SENATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",4000
"9697219","NEW HAMPSHIRE POLICE ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",73.8636363636364,26.1363636363636,"#000075AF","#000075AF",4400
"28735618","NH BUSINESS","Uncoded","Uncoded","Uncoded",26.4957264957265,73.5042735042735,"#7A0000AF","#7A0000AF",11700
"8086","NEW HAMPSHIRE FIRST","Tax Issues","Ideology/Single Issue","Fiscal & tax policy",0,100,"#FF0000AF","#FF0000AF",7250
"9693210","NEW HAMPSHIRE ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",2000
"9694410","NEW HAMPSHIRE TROOPERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",2000
"644","COMCAST","Telecom Services & Equipment","Communications & Electronics","Telecommunications",51.2820512820513,48.7179487179487,"#000005AF","#000005AF",9750
"2772","WAL-MART","Retail Sales","General Business","Department, variety & convenience stores",44,56,"#1F0000AF","#240000AF",12500
"8849","SELECT MANAGEMENT RESOURCES","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",16.3934426229508,83.6065573770492,"#AD0000AF","#AD0000AF",9150
"19674","ELECTRICAL WORKERS LOCAL 490","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",1500
"20559","PLUMBERS & STEAMFITTERS LOCAL 131","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",2000
"1091","GENESIS HEALTHCARE","Hospitals & Nursing Homes","Health","Nursing homes",100,0,"#0000FFAF","#0000FFAF",3000
"9717043","GREEN MEADOW GOLF CLUB","Recreation & Live Entertainment","General Business","Recreation & entertainment",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1500
"28765465","NHHCA","Uncoded","Uncoded","Uncoded",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",3000
"18926","NEW HAMPSHIRE OPTOMETRIC ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",46.3235294117647,53.6764705882353,"#140000AF","#140000AF",6800
"298044","TOM LANTOS FOR CONGRESS CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",2700
"9709414","BUSINESS & INDUSTRY ASSOCIATION OF NEW HAMPSHIRE","Business Associations","General Business","Chambers of commerce",21.5686274509804,78.4313725490196,"#940000AF","#940000AF",5100
"28731118","NH ASSOCIATION FOR JUSTICE","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",3000
"17056","WELLPOINT INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",54.5454545454545,45.4545454545455,"#000014AF","#000014AF",2750
"40619741","HOME BUILDERS & REMODELERS","Uncoded","Uncoded","Uncoded",86.9565217391304,13.0434782608696,"#0000B8AF","#0000B8AF",1150
"900","ELI LILLY & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",100,0,"#0000FFAF","#0000FFAF",2000
"9693113","DUPONT GROUP","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",52.7272727272727,47.2727272727273,"#00000AAF","#00000AAF",5500
"9695277","DENNEHY & BOULEY","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",80.7692307692308,19.2307692307692,"#000099AF","#000099AF",6500
"28732508","NH TROOPERS ASSOCIATION","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",1500
"4756","WASTE MANAGEMENT","Waste Management","Energy & Natural Resources","Waste management",86.9565217391304,13.0434782608696,"#0000B8AF","#0000B8AF",2300
"12296","FREE & STRONG AMERICA PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",21000
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",75,25,"#00007FAF","#00007FAF",2000
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",50,50,"#000000AF","#000000AF",8000
"8083","NEW HAMPSHIRE BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",63.8888888888889,36.1111111111111,"#000042AF","#000042AF",9000
"9709802","NEW HAMPSHIRE MOTOR TRANSPORT ASSOCIATION","Trucking","Transportation","Trucking",53.2710280373832,46.7289719626168,"#00000FAF","#00000FAF",5350
"9712219","BELMONT GAMING","Gambling & Casinos","General Business","Casinos, racetracks & gambling",85.7142857142857,14.2857142857143,"#0000B3AF","#0000B3AF",1750
"15935088","MILLERCOORS","Beer, Wine & Liquor","General Business","Beer",57.1428571428571,42.8571428571429,"#000024AF","#000024AF",5600
