"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"6702513","WEST NEW YORK MUNICIPAL DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",368200
"6422546","NEW JERSEY ASSEMBLY REPUBLICAN VICTORY CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",721222.98
"6474974","ATLANTIC COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",142191.78
"6428641","MONMOUTH COUNTY REPUBLICAN CENTRAL CMTE OF NEW JERSEY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",45550
"5969","BAYONNE CITY REGULAR DEMOCRATIC ORGANIZATION","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",75537.76
"7756","MERCER COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",57685.74
"7132","HUDSON COUNTY DEMOCRATIC ORGANIZATION","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",31584.47
"7744","MEDICAL SOCIETY OF NEW JERSEY","Health Professionals","Health","Physicians",32.0030406689472,67.9969593310528,"#5C0000AF","#5C0000AF",131550
"11632","DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",39712
"19669","ELECTRICAL WORKERS LOCAL 456","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",57490
"20100","NEW JERSEY STATE LABORERS","General Trade Unions","Labor","Construction unions",79.7584936553418,20.2415063446582,"#000094AF","#000094AF",244300
"19657","ELECTRICAL WORKERS LOCAL 351","General Trade Unions","Labor","Electrical workers/IBEW",59.4998133631952,40.5001866368048,"#00002EAF","#00002EAF",80370
"8109","NEW JERSEY BUILDERS ASSOCIATION","General Contractors","Construction","Builders associations",36.0370799536501,63.96292004635,"#470000AF","#470000AF",86300
"19924","OPEERATING ENGINEERS LOCAL 825","General Trade Unions","Labor","Construction unions",49.312242090784,50.687757909216,"#050000AF","#050000AF",72700
"4448","NEW JERSEY ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",66.2099494097808,33.7900505902192,"#000052AF","#000052AF",237200
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",67.2316384180791,32.7683615819209,"#000057AF","#000057AF",106200
"685","COOPER UNIVERSITY HOSPITAL","Hospitals & Nursing Homes","Health","Hospitals",100,0,"#0000FFAF","#0000FFAF",31500
"6102","ASSOCIATED GENERAL CONTRACTORS OF NEW JERSEY","General Contractors","Construction","Builders associations",91.2461380020597,8.75386199794027,"#0000D1AF","#0000D1AF",97100
"8138","NEW JERSEY SOCIETY OF OPTOMETRIC PHYSICIANS","Health Professionals","Health","Optometrists & ophthalmologists",74.4186046511628,25.5813953488372,"#00007AAF","#00007AAF",58050
"19304","COMMUNICATIONS WORKERS LOCAL 1034","General Trade Unions","Labor","Communications & hi-tech unions",67.9536679536679,32.046332046332,"#000057AF","#000057AF",90650
"6446587","KEAN CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",53300
"16168","NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",8.87902330743618,91.1209766925638,"#D60000AF","#D60000AF",45050
"19321","COMMUNICATIONS WORKERS NEW JERSEY","General Trade Unions","Labor","Communications & hi-tech unions",78.7655719139298,21.2344280860702,"#00008FAF","#00008FAF",35320
"19642","ELECTRICAL WORKERS LOCAL 269","General Trade Unions","Labor","Electrical workers/IBEW",93.9024390243902,6.09756097560976,"#0000DBAF","#0000DBAF",16400
"19665","ELECTRICAL WORKERS LOCAL 400","General Trade Unions","Labor","Electrical workers/IBEW",93.0049261083744,6.99507389162562,"#0000DBAF","#0000DBAF",25375
"20822","NORTHEAST REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",93.4048595771537,6.59514042284632,"#0000DBAF","#0000DBAF",158450
"2566","INTERNATIONAL BROTHERHOOD OF TEAMSTERS / IBT","Transportation Unions","Labor","Teamsters unions",77.3869346733668,22.6130653266332,"#00008AAF","#00008AAF",19900
"6420056","UTILITY & TRANSPORTATION CONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",74.8798901853123,25.1201098146877,"#00007AAF","#00007AAF",72850
"6702399","SIRES FOR ASSEMBLY","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",29200
"8115","NEW JERSEY CONCRETE & AGGREGATE ASSOCIATION","Building Materials & Equipment","Construction","Stone, clay, glass & concrete products",91.6515426497278,8.34845735027223,"#0000D1AF","#0000D1AF",27550
"8118","NEW JERSEY DENTAL ASSOCIATION","Health Professionals","Health","Dentists",66.9314701378254,33.0685298621746,"#000052AF","#000052AF",104480
"8104","NEW JERSEY ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",91.5059997303492,8.4940002696508,"#0000D1AF","#0000D1AF",74170
"8128","NEW JERSEY MOTOR TRUCK ASSOCIATION","Trucking","Transportation","Trucking",76.697247706422,23.302752293578,"#000085AF","#000085AF",27250
"6420286","STEAMFITTERS PIPEFITTERS & APPRENTICES LOCAL 475","General Trade Unions","Labor","Construction unions",88.7230514096186,11.2769485903814,"#0000C2AF","#0000C2AF",45225
"3789","NEW JERSEY STATE FUNERAL DIRECTORS ASSOCIATION","Miscellaneous Services","General Business","Funeral services",72.5672371638142,27.4327628361858,"#000070AF","#000070AF",102250
"4129","NEW JERSEY BUSINESS & INDUSTRY ASSOCIATION","Business Associations","General Business","Pro-business organizations",49.8623112714842,50.1376887285158,"#050000AF","#050000AF",210620
"6428060","ELECTION FUND OF ALEX DECROCE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",92832.83
"20580","PLUMBERS & PIPEFITTERS LOCAL 322","General Trade Unions","Labor","Construction unions",86.8641031764987,13.1358968235013,"#0000B8AF","#0000B8AF",41870
"20620","PLUMBERS & PIPEFITTERS LOCAL 9","General Trade Unions","Labor","Construction unions",73.8105630728939,26.1894369271061,"#000075AF","#000075AF",148915
"8122","NEW JERSEY FOOD COUNCIL","Food Processing & Sales","Agriculture","Food & kindred products manufacturing",53.3802816901408,46.6197183098592,"#00000FAF","#00000FAF",35500
"8134","NEW JERSEY RESTAURANTEURS","Food & Beverage","General Business","Restaurants & drinking establishments",45.4545454545455,54.5454545454545,"#1A0000AF","#1A0000AF",30250
"6426102","JOHN S WISNIEWSKI CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",29020
"40617801","SEIU NEW JERSEY STATE COUNCIL","Uncoded","Uncoded","Uncoded",83.0985915492958,16.9014084507042,"#0000A8AF","#0000A8AF",14200
"8144","NEW JERSEY STATE FIREMENS MUTUAL BENEVOLENT ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",88.4012539184953,11.5987460815047,"#0000C2AF","#0000C2AF",15950
"6484396","PATRICK J DIEGNAN JR CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",18087.5
"40617671","SOUTH JERSEY BUILDERS","Uncoded","Uncoded","Uncoded",80.7135969141755,19.2864030858245,"#000099AF","#000099AF",20740
"6577020","GORMLEY FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",24600
"6659097","ELECTION FUND OF WILFREDO CARABALLO","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",11700
"19627","ELECTRICAL WORKERS LOCAL 164","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",28300
"6420042","LOUIS D GREENWALD CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",29600
"17202","WOMENS POLITICAL CAUCUS OF NEW JERSEY","Women's Issues","Ideology/Single Issue","Women's issues",71.8217562254259,28.1782437745741,"#00006BAF","#00006BAF",19075
"6876","GARDEN STATE PHARMACY OWNERS","Retail Sales","General Business","Drug stores",87.8369493754109,12.1630506245891,"#0000BDAF","#0000BDAF",30420
