"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"1776599","SENATE REPUBLICAN MAJORITY CMTE OF NEW JERSEY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1079797.89
"6454405","UNION CITY FIRST","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",295992.19
"4886","NEW JERSEY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",503196.69
"4890","SENATE DEMOCRATIC MAJORITY OF NEW JERSEY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",204805
"20822","NORTHEAST REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",99.5476136620674,0.452386337932594,"#0000FAAF","#0000FAAF",221050
"19657","ELECTRICAL WORKERS LOCAL 351","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",86000
"20580","PLUMBERS & PIPEFITTERS LOCAL 322","General Trade Unions","Labor","Construction unions",96.5724078834619,3.42759211653813,"#0000EBAF","#0000EBAF",58350
"19712","ELECTRICAL WORKERS LOCAL 98","General Trade Unions","Labor","Electrical workers/IBEW",50,50,"#000000AF","#000000AF",32800
"6446587","KEAN CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",53600
"2741","VERIZON COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",66.6787922881048,33.3212077118952,"#000052AF","#000052AF",137450
"4448","NEW JERSEY ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",63.146820639542,36.853179360458,"#000042AF","#000042AF",204365
"19642","ELECTRICAL WORKERS LOCAL 269","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",46300
"19669","ELECTRICAL WORKERS LOCAL 456","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",37550
"20100","NEW JERSEY STATE LABORERS","General Trade Unions","Labor","Construction unions",88.9304063521719,11.0695936478281,"#0000C2AF","#0000C2AF",214100
"6421111","MECHANICAL & ALLIED CRAFTS COUNCIL OF NEW JERSEY","General Trade Unions","Labor","Labor unions",98.8317757009346,1.16822429906542,"#0000F5AF","#0000F5AF",42800
"4120","NATIONAL ASSOCIATION OF INDUSTRIAL & OFFICE PROPERTIES","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",76.4029278494249,23.5970721505751,"#000085AF","#000085AF",143450
"20252","NEW JERSEY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",91.945886424414,8.05411357558597,"#0000D1AF","#0000D1AF",190710
"20620","PLUMBERS & PIPEFITTERS LOCAL 9","General Trade Unions","Labor","Construction unions",81.5753887762001,18.4246112237999,"#00009EAF","#00009EAF",147900
"6430670","COMMUNICATIONS WORKERS LOCAL 1036","General Trade Unions","Labor","Communications & hi-tech unions",100,0,"#0000FFAF","#0000FFAF",21650
"20366","1199SEIU UNITED HEALTHCARE WORKERS NEW JERSEY DIVISION","General Trade Unions","Labor","Health worker unions",93.2675044883303,6.73249551166966,"#0000DBAF","#0000DBAF",111400
"1569","INTERNATIONAL LONGSHOREMENS ASSOCIATION / ILA","Transportation Unions","Labor","Merchant marine & longshoremen unions",100,0,"#0000FFAF","#0000FFAF",31700
"4694","NEW JERSEY THOROUGHBRED HORSEMENS BENEVOLENT ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",58.4245076586433,41.5754923413567,"#000029AF","#000029AF",45700
"19627","ELECTRICAL WORKERS LOCAL 164","General Trade Unions","Labor","Electrical workers/IBEW",78.335535006605,21.664464993395,"#00008FAF","#00008FAF",75700
"19321","COMMUNICATIONS WORKERS NEW JERSEY","General Trade Unions","Labor","Communications & hi-tech unions",97.4332648870637,2.56673511293634,"#0000F0AF","#0000F0AF",97400
"6102","ASSOCIATED GENERAL CONTRACTORS OF NEW JERSEY","General Contractors","Construction","Builders associations",84.0837032339886,15.9162967660114,"#0000ADAF","#0000ADAF",78850
"11632","DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",19037.18
"4889","NEW JERSEY DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",50613.14
"8109","NEW JERSEY BUILDERS ASSOCIATION","General Contractors","Construction","Builders associations",78.7396121883657,21.2603878116343,"#00008FAF","#00008FAF",72200
"20894","FOOD & COMMERCIAL WORKERS LOCAL 464A","General Trade Unions","Labor","Retail trade unions",100,0,"#0000FFAF","#0000FFAF",16600
"6435541","ESSEX COUNTY DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",14600
