"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4886","NEW JERSEY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",590920.8
"6484797","BURLINGTON COUNTY DEMOCRATIC CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",139338.77
"6422546","NEW JERSEY ASSEMBLY REPUBLICAN VICTORY CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",401353.01
"4889","NEW JERSEY DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",125599.45
"6442086","CAPE MAY COUNTY REGULAR REPUBLICAN ORGANIZATION","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",25500
"20252","NEW JERSEY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",86.0489988485572,13.5197491838556,"#0000B8AF","#0000B8AF",463766
"19657","ELECTRICAL WORKERS LOCAL 351","General Trade Unions","Labor","Electrical workers/IBEW",93.5862338678138,6.41376613218616,"#0000DBAF","#0000DBAF",255700
"7744","MEDICAL SOCIETY OF NEW JERSEY","Health Professionals","Health","Physicians",73.7427864798021,26.2572135201979,"#000075AF","#000075AF",121300
"19669","ELECTRICAL WORKERS LOCAL 456","General Trade Unions","Labor","Electrical workers/IBEW",93.6728395061728,6.32716049382716,"#0000DBAF","#0000DBAF",129600
"20822","NORTHEAST REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",97.1670605143512,2.83293948564874,"#0000F0AF","#0000F0AF",289452
"6431431","NICK SACCO FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",40724.34
"6421618","FRIENDS OF ASSEMBLY SPEAKER JOE ROBERTS","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",43400
"19665","ELECTRICAL WORKERS LOCAL 400","General Trade Unions","Labor","Electrical workers/IBEW",86.9668246445498,13.0331753554502,"#0000B8AF","#0000B8AF",42200
"20366","1199SEIU UNITED HEALTHCARE WORKERS NEW JERSEY DIVISION","General Trade Unions","Labor","Health worker unions",98.8660524450744,1.13394755492558,"#0000F5AF","#0000F5AF",352750
"20620","PLUMBERS & PIPEFITTERS LOCAL 9","General Trade Unions","Labor","Construction unions",76.7427122940431,23.2572877059569,"#000085AF","#000085AF",157800
