"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"1776599","SENATE REPUBLICAN MAJORITY CMTE OF NEW JERSEY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1044918.03
"4886","NEW JERSEY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",347271.25
"4889","NEW JERSEY DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",91556.62
"4890","SENATE DEMOCRATIC MAJORITY OF NEW JERSEY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",82114.53
"20580","PLUMBERS & PIPEFITTERS LOCAL 322","General Trade Unions","Labor","Construction unions",98.9409984871407,1.0590015128593,"#0000F5AF","#0000F5AF",66100
"445","CABLEVISION SYSTEMS","Cable TV","Communications & Electronics","Satellite TV operators",74.3881118881119,25.6118881118881,"#00007AAF","#00007AAF",57200
"19924","OPEERATING ENGINEERS LOCAL 825","General Trade Unions","Labor","Construction unions",59.984540066993,40.015459933007,"#00002EAF","#00002EAF",194050
"20366","1199SEIU UNITED HEALTHCARE WORKERS NEW JERSEY DIVISION","General Trade Unions","Labor","Health worker unions",98.0544747081712,1.94552529182879,"#0000F5AF","#0000F5AF",205600
"19657","ELECTRICAL WORKERS LOCAL 351","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",123000
"20822","NORTHEAST REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",96.4457252641691,3.55427473583093,"#0000EBAF","#0000EBAF",208200
"1569","INTERNATIONAL LONGSHOREMENS ASSOCIATION / ILA","Transportation Unions","Labor","Merchant marine & longshoremen unions",100,0,"#0000FFAF","#0000FFAF",38700
"19627","ELECTRICAL WORKERS LOCAL 164","General Trade Unions","Labor","Electrical workers/IBEW",100,0,"#0000FFAF","#0000FFAF",92200
"3789","NEW JERSEY STATE FUNERAL DIRECTORS ASSOCIATION","Miscellaneous Services","General Business","Funeral services",75.8074344911639,24.1925655088361,"#00007FAF","#00007FAF",82050
"4448","NEW JERSEY ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",63.5097897026831,36.4902102973169,"#000042AF","#000042AF",172375
"6421796","ELECTION FUND OF PAUL SARLO","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",43500
"19321","COMMUNICATIONS WORKERS NEW JERSEY","General Trade Unions","Labor","Communications & hi-tech unions",100,0,"#0000FFAF","#0000FFAF",107200
"20252","NEW JERSEY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",86.0640126689739,13.9359873310261,"#0000B8AF","#0000B8AF",275861.33
