"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"11330","CONSERVATIVES FOR A REPUBLICAN MAJORITY","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",64366.79
"15756","SANTO DOMINGO TRIBE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",100,0,"#0000FFAF","#0000FFAF",32500
"8982978","NEW MEXICO LEAGUE OF CONSERVATION VOTERS","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",100,0,"#0000FFAF","#0000FFAF",73029.8
"8981144","JOHN ARTHUR SMITH CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",16086.07
"668","CONOCOPHILLIPS","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",40.499457111835,59.500542888165,"#330000AF","#330000AF",46050
"14865","PAC 22","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",21000
"8930147","STUART INGLE CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",23000
"6310","NEW MEXICO TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",89.7706137631742,10.2293862368258,"#0000C7AF","#0000C7AF",80650
"8156","NEW MEXICO MEDICAL SOCIETY","Health Professionals","Health","Physicians",55.9055118110236,44.0944881889764,"#00001AAF","#00001AAF",63500
"9062548","SUNRAY GAMING OF NEW MEXICO","Gambling & Casinos","General Business","Casinos, racetracks & gambling",4.54545454545455,95.4545454545455,"#EB0000AF","#EB0000AF",11000
"170434","ACTBLUE","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",100,0,"#0000FFAF","#0000FFAF",18485.87
"2133","PUEBLO OF POJOAQUE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",94.1861749565998,5.8138250434002,"#0000E0AF","#0000E0AF",8600.19
"14489","NEW MEXICO OPHTHALMOLOGIST SOCIETY","Health Professionals","Health","Optometrists & ophthalmologists",52.7565733672604,47.2434266327396,"#00000AAF","#00000AAF",29475
"1321159","MICHAEL S SANCHEZ SENATE MAJORITY FLOOR LEADERS FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",27250
"18954","PUEBLO OF ISLETA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",79.3398533007335,20.6601466992665,"#000094AF","#000094AF",40900
"9033570","ASSOCIATED BUILDERS & CONTRACTORS OF NEW MEXICO","General Contractors","Construction","Builders associations",14.7058823529412,85.2941176470588,"#B80000AF","#B80000AF",17000
"8960580","WILLIAM H PAYNE CAMAPIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",8000
"4773","YATES PETROLEUM","Oil & Gas","Energy & Natural Resources","Oil & gas",0,100,"#FF0000AF","#FF0000AF",10500
"8936090","PUEBLO OF TESUQUE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",95.8677685950413,4.13223140495868,"#0000E5AF","#0000E5AF",6050
"8568","PRESBYTERIAN HEALTH PLAN","Health Services","Health","HMOs",70.3166226912929,29.6833773087071,"#000066AF","#000066AF",37900
"18892","NEW MEXICO HEALTH CARE ASSOCIATION / NEW MEXICO CENTER FOR ASSISTED LIVING","Hospitals & Nursing Homes","Health","Nursing homes",68.8612099644128,31.1387900355872,"#00005CAF","#00005CAF",28100
"20626","PLUMBERS & STEAMFITTERS LOCAL 412","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",25750
"9039403","EQUALITY NEW MEXICO","Gay/Lesbian Rights & Issues","Ideology/Single Issue","Gay & lesbian rights and issues",94.7916666666667,5.20833333333333,"#0000E0AF","#0000E0AF",9600
"8933488","DEDE FELDMAN CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",11250
"18622","NEW MEXICO HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",52.9505582137161,47.0494417862839,"#00000AAF","#00000AAF",31350
"9064218","NEW MEXICO PAC WEST","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",11000
"207","ANHEUSER BUSCH","Beer, Wine & Liquor","General Business","Beer",58.5798816568047,41.4201183431953,"#000029AF","#000029AF",25350
"2695","ALTRIA","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",60.0294985250737,39.9705014749263,"#000033AF","#000033AF",33900
"8012","NAVAJO REFINING","Oil & Gas","Energy & Natural Resources","Oil & gas",43.956043956044,56.043956043956,"#240000AF","#240000AF",27300
"2511","SUNLAND PARK RACETRACK & CASINO","Gambling & Casinos","General Business","Casinos, racetracks & gambling",51.4388489208633,48.5611510791367,"#000005AF","#000005AF",13900
"20253","NEW MEXICO EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",92.9775280898876,7.02247191011236,"#0000D6AF","#0000D6AF",17800
"8566","PREMIER DISTRIBUTING CO","Beer, Wine & Liquor","General Business","Liquor wholesalers",65.843621399177,34.156378600823,"#00004DAF","#00004DAF",12150
"14490","NEW MEXICO REALTORS ASSOCIATION","Real Estate","Finance, Insurance & Real Estate","Real estate",43.4537246049661,56.5462753950339,"#240000AF","#240000AF",44300
"8770","RUIDOSO DOWNS RACING","Gambling & Casinos","General Business","Casinos, racetracks & gambling",0,100,"#FF0000AF","#FF0000AF",3200
"14485","NEW MEXICO DENTAL ASSOCIATION","Health Professionals","Health","Dentists",38.4393063583815,61.5606936416185,"#3D0000AF","#3D0000AF",17300
"566","CHEVRON CORP","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",46.0992907801418,53.9007092198582,"#140000AF","#140000AF",35250
"7762","MESCALERO APACHE TRIBE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",7000
"2218","R J REYNOLDS TOBACCO CO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",70.2702702702703,29.7297297297297,"#000066AF","#000066AF",9250
"12769","HEALTH CARE SERVICE CORPORATION","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",69.6280991735537,30.3719008264463,"#000061AF","#000061AF",24200
"2818","WELLS FARGO","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",73.2860455124664,26.7139544875336,"#000075AF","#000075AF",10916.13
"15244","PROGRESS VISION & COMMITMENT","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",7750
"2341","SELECT MILK PRODUCERS","Dairy","Agriculture","Dairy farmers & wholesale and retail milk, cheese and ice cream dealers",42.3728813559322,57.6271186440678,"#290000AF","#290000AF",14750
"8153","NEW MEXICO AUTOMOTIVE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",47.4178403755869,52.5821596244132,"#0F0000AF","#0F0000AF",21300
"1116","GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",73.3050847457627,26.6949152542373,"#000075AF","#000075AF",11800
"19233","NEW MEXICO FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",100,0,"#0000FFAF","#0000FFAF",14717
"1306","INDEPENDENT COMMUNITY BANKERS ASSOCIATION OF NEW MEXICO","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",42.3076923076923,57.6923076923077,"#290000AF","#290000AF",19500
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",98.5495861679254,1.45041383207457,"#0000F5AF","#0000F5AF",17236.46
"13790","LOVELACE HEALTH SYSTEMS","Hospitals & Nursing Homes","Health","Hospitals",60.4868913857678,39.5131086142322,"#000033AF","#000033AF",26700
"1598","MACK ENERGY","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",62.1052631578947,37.8947368421053,"#00003DAF","#00003DAF",9500
"4423","PUEBLO OF SANTA ANA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",56.2962962962963,43.7037037037037,"#00001FAF","#00001FAF",13500
"2081","PNM RESOURCES","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",60.8076009501188,39.1923990498812,"#000033AF","#000033AF",21050
"8158","NEW MEXICO RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",25.7861635220126,74.2138364779874,"#800000AF","#800000AF",15900
"4420","PUEBLO OF ACOMA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",100,0,"#0000FFAF","#0000FFAF",4600
"14123","MESA DEL SOL LLC","Real Estate","Finance, Insurance & Real Estate","Real estate developers & subdividers",84.0255591054313,15.9744408945687,"#0000ADAF","#0000ADAF",15650
"8933781","NEW MEXICO BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",58.0882352941177,41.9117647058824,"#000029AF","#000029AF",6800
"4421","PUEBLO OF LAGUNA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",100,0,"#0000FFAF","#0000FFAF",2450
"6428","CONSUMER LENDING ALLIANCE","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",62.5615763546798,37.4384236453202,"#00003DAF","#00003DAF",10150
"8154","NEW MEXICO HORSEMENS ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",67.1597633136095,32.8402366863905,"#000057AF","#000057AF",16900
"8933993","BOWLIN TRAVEL CENTERS","Oil & Gas","Energy & Natural Resources","Gasoline service stations",56.3265306122449,43.6734693877551,"#00001FAF","#00001FAF",12250
