"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4898","NEVADA SENATE DEMOCRATS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",73093.18
"20250","NEVADA STATE EDUCATION ASSOCATION","Public Sector Unions","Labor","Teachers unions",78.7702832893102,21.2297167106898,"#00008FAF","#00008FAF",71371.56
"4296065","RAGGIO SENATE CAMPAIGN","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",80000
"9739960","KENNY GUINN FOR GOVERNOR","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",22000
"18609","ASSOCIATED GENERAL CONTRACTORS OF SOUTHERN NEVADA","General Contractors","Construction","Builders associations",35.6597682740672,64.3402317259328,"#4D0000AF","#4D0000AF",79922
"19175","STATE OF NEVADA EMPLOYEES ASSOCIATION","Public Sector Unions","Labor","State & local government employee unions",95.4545454545455,4.54545454545455,"#0000E5AF","#0000E5AF",44000
"19874","OPERATING ENGINEERS LOCAL 12","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",33000
"20208","CLARK COUNTY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",87.2727272727273,12.7272727272727,"#0000BDAF","#0000BDAF",82500
"9718835","TITUS FOR STATE SENATE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",20988.5
"1336","INTERNATIONAL GAME TECHNOLOGY","Gambling & Casinos","General Business","Casinos, racetracks & gambling",30.1801801801802,69.8198198198198,"#660000AF","#660000AF",111000
"18467","SENATE REPUBLICAN LEADERSHIP CONFERENCE OF NEVADA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",115000
"2379341","BATTLE BORN PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",25000
"3410","COAST HOTELS & CASINOS","Gambling & Casinos","General Business","Casinos, racetracks & gambling",47.5,52.5,"#0F0000AF","#0F0000AF",60000
"17294","LAS VEGAS METRO CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",14.2954877314082,85.7045122685918,"#B80000AF","#B80000AF",78346.4
"9718692","BRISTLECONE PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",45217.99
"21445","ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",22592.36
"1269570","INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES / IUPAT","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",12000
"20844","SOUTHERN CALIFORNIA-NEVADA REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",96.8553459119497,3.14465408805031,"#0000EBAF","#0000EBAF",15900
"2446","SPRINT","Telecom Services & Equipment","Communications & Electronics","Telecommunications",35.6687898089172,64.3312101910828,"#4D0000AF","#4D0000AF",78500
"8068","NEVADA SUBCONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",23.3898305084746,76.6101694915254,"#8A0000AF","#8A0000AF",73750
"20698","AUTO WORKERS REGION 5","Transportation Unions","Labor","Automotive unions",100,0,"#0000FFAF","#0000FFAF",15500
"13432","KEYSTONE CORP","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",29502
"8044","NEVADA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",29.6943231441048,70.3056768558952,"#6B0000AF","#6B0000AF",114500
"40617986","CARE FOR SENATE SEVEN","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",16353.32
"1490","LAMAR CORPORATION","Business Services","General Business","Outdoor advertising services",32.258064516129,67.741935483871,"#5C0000AF","#5C0000AF",7750
"9768900","TERRY CARE FOR SENATE SEVEN","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",19700
"8663","REPUBLIC SERVICES","Waste Management","Energy & Natural Resources","Waste management",35.2201257861635,64.7798742138365,"#4D0000AF","#4D0000AF",79500
"2566","INTERNATIONAL BROTHERHOOD OF TEAMSTERS / IBT","Transportation Unions","Labor","Teamsters unions",100,0,"#0000FFAF","#0000FFAF",10000
"1715","MGM MIRAGE","Gambling & Casinos","General Business","Casinos, racetracks & gambling",43.3385271679524,56.6614728320476,"#240000AF","#240000AF",105939.71
"5880","ASSOCIATION OF GAMING EQUIPMENT MANUFACTURERS","Gambling & Casinos","General Business","Casinos, racetracks & gambling",32.3809523809524,67.6190476190476,"#5C0000AF","#5C0000AF",52500
