"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"1715","MGM MIRAGE","Gambling & Casinos","General Business","Casinos, racetracks & gambling",79.7142455898915,20.2857544101085,"#000094AF","#000094AF",172534.87
"9719207","CLARK COUNTY REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",50000
"4895","REPUBLICAN ASSEMBLY CAUCUS OF NEVADA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",134616.31
"3216","BARRICK GOLD CORP","Mining","Energy & Natural Resources","Metal mining & processing",78.3783783783784,21.6216216216216,"#00008FAF","#00008FAF",74000
"2468","STATION CASINOS","Gambling & Casinos","General Business","Casinos, racetracks & gambling",65.2721088742317,34.5819710668588,"#00004DAF","#00004DAF",55407.05
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",79.8657718120805,20.1342281879195,"#000094AF","#000094AF",74500
"13432","KEYSTONE CORP","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",3.7037037037037,96.2962962962963,"#F00000AF","#F00000AF",67500
"9686114","NORTH LAS VEGAS PAC","Other/Single Issue Groups","Ideology/Single Issue","Other single-issue or ideological groups",0,100,"#FF0000AF","#FF0000AF",50825.36
"14185","MILLENNIUM ASSEMBLY LEADERSHIP FUND","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",100,0,"#0000FFAF","#0000FFAF",40000
"9685803","JOHN OCEGUERA CAMPAIGN ACCOUNT","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",46500
"9688247","BARBARA BUCKLEY CAMPAIGN","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",59700
"40618009","REPUBLICAN ASSEMBLY LEADERSHIP CAUCUS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",24983.04
"4898","NEVADA SENATE DEMOCRATS","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",13000
"9756894","UNITED NEVADA REPUBLICAN LEADERSHIP FUND","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",33500
"8068","NEVADA SUBCONTRACTORS ASSOCIATION","General Contractors","Construction","Builders associations",70.5234159779614,29.4765840220386,"#000066AF","#000066AF",90750
"1194","HARRAHS","Gambling & Casinos","General Business","Casinos, racetracks & gambling",78.9561739365327,21.0438260634673,"#00008FAF","#00008FAF",156815.59
"1336","INTERNATIONAL GAME TECHNOLOGY","Gambling & Casinos","General Business","Casinos, racetracks & gambling",72,28,"#000070AF","#000070AF",87500
"2906","WYNN RESORTS","Gambling & Casinos","General Business","Casinos, racetracks & gambling",100,0,"#0000FFAF","#0000FFAF",14809.33
"3831","SOUTHERN NEVADA HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",67.7725118483412,32.2274881516588,"#000057AF","#000057AF",105500
"8044","NEVADA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",61.8998094558149,38.1001905441851,"#000038AF","#000038AF",102585.13
"20208","CLARK COUNTY EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",94.2348008385744,5.76519916142558,"#0000E0AF","#0000E0AF",190800
"20250","NEVADA STATE EDUCATION ASSOCATION","Public Sector Unions","Labor","Teachers unions",92.1463972550515,7.85360274494853,"#0000D6AF","#0000D6AF",131150
