"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4902","NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1794754.75
"4900","REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",580263.1
"5094687","KEY, WINCHESTER","Candidate Contributions","Candidate Contributions","Candidate Self Finance",100,0,"#0000FFAF","#0000FFAF",93808.97
"4469522","MONROE COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",52554.79
"7987","NASSAU COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",10455
"4456298","BUILDING & CONSTRUCTION TRADES COUNCIL OF BUFFALO & VICINITY","General Trade Unions","Labor","Construction unions",90.5073649754501,9.49263502454992,"#0000CCAF","#0000CCAF",15275
"10668028","(BLANK)","Uncoded","Uncoded","Uncoded",48.2915998519798,51.7084001480202,"#0A0000AF","#0A0000AF",16214
"20366","1199SEIU UNITED HEALTHCARE WORKERS NEW JERSEY DIVISION","General Trade Unions","Labor","Health worker unions",94.974652854309,5.02534714569099,"#0000E0AF","#0000E0AF",226850
"19234","NEW YORK STATE UNITED TEACHERS","Public Sector Unions","Labor","Teachers unions",80.835322821838,17.6280549735963,"#000099AF","#0000A3AF",266819
"4713","NEW YORK STATE TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",89.72240274812,8.86640051991458,"#0000C7AF","#0000D1AF",269275
"19295","COMMUNICATIONS WORKERS DISTRICT 1","General Trade Unions","Labor","Communications & hi-tech unions",98.8900974494439,1.10990255055606,"#0000F5AF","#0000F5AF",45049
"4680238","JACK PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican members of Congress or prominent national Republicans",0,100,"#FF0000AF","#FF0000AF",7850
"14517","NEW YORK STATE ASSOCIATION FOR AFFORDABLE HOUSING","Home Builders","Construction","Residential construction",98.0565029024186,1.94349709758143,"#0000F5AF","#0000F5AF",12863.41
"11188","COALITION FOR PUBLIC CHARTER SCHOOLS NEW YORK","Education","Government Agencies/Education/Other","Education",94.3181818181818,5.68181818181818,"#0000E0AF","#0000E0AF",13200
"20430","SERVICE EMPLOYEES LOCAL 32BJ","Public Sector Unions","Labor","State & local government employee unions",99.0736541306133,0.926345869386715,"#0000FAAF","#0000FAAF",53975.52
"19124","AFSCME DISTRICT COUNCIL 37","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",72976
"2710","UPS","Air Transport","Transportation","Express delivery services",31.7919075144509,68.2080924855491,"#610000AF","#610000AF",17300
"19539","UNIFORMED FIRE OFFICERS ASSOCIATION LOCAL 854","Public Sector Unions","Labor","Police & fire fighters unions and associations",94.0771876194115,5.92281238058846,"#0000E0AF","#0000E0AF",26170
"20511","UNIFORMED FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",98.4225636495567,1.57743635044326,"#0000F5AF","#0000F5AF",31697
"1244","HISCOCK & BARCLAY","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",19.6078431372549,80.3921568627451,"#9E0000AF","#9E0000AF",10710
"15960","SILVERCUP STUDIOS ASSOCIATES","TV & Movie Production/Distribution","Communications & Electronics","Motion picture production & distribution",100,0,"#0000FFAF","#0000FFAF",10000
"4020","LIFE INSURANCE COUNCIL OF NEW YORK","Insurance","Finance, Insurance & Real Estate","Life insurance",83.5427887492519,16.4572112507481,"#0000A8AF","#0000A8AF",41775
"19174","AFSCME LOCAL 371","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",16160
"914","ENTERPRISE HOLDINGS","Automotive","Transportation","Car & truck rental agencies",90.0749949327748,9.92500506722519,"#0000CCAF","#0000CCAF",14801
"592","CITIGROUP","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",88.6090079964764,7.59399466901574,"#0000C2AF","#0000D6AF",26336.6
"5325","NEW YORK STATE CREDIT UNION LEAGUE","Credit Unions","Finance, Insurance & Real Estate","Credit unions",79.1709593357978,20.8290406642022,"#000094AF","#000094AF",33002
"20158","NEW YORK STATE AFL-CIO","General Trade Unions","Labor","Labor unions",87.5776397515528,11.4205570026047,"#0000BDAF","#0000C2AF",99820
"6104","ASSOCIATED GENERAL CONTRACTORS NEW YORK STATE CHAPTER","General Contractors","Construction","Builders associations",77.4266365688488,22.5733634311512,"#00008AAF","#00008AAF",22150
"5590514","BTF","Uncoded","Uncoded","Uncoded",98.2378854625551,1.76211453744493,"#0000F5AF","#0000F5AF",5675
