"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4902","NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1529766
"4469522","MONROE COUNTY REPUBLICAN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",345404.44
"4900","REPUBLICAN ASSEMBLY CAMPAIGN CMTE OF NEW YORK","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",176500
"18995","NEW YORK FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",57.5551102204409,28.2393358144861,"#000024AF","#00006BAF",87325
"4904","NEW YORK STATE DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",20500
"3816","HEALTHCARE ASSOCIATION OF NEW YORK STATE","Hospitals & Nursing Homes","Health","Hospitals",91.2699597075063,7.93413918320649,"#0000D1AF","#0000D6AF",100515
"4133","NEW YORK HEALTH PLAN ASSOCIATION","Health Services","Health","HMOs",94.606542882405,5.39345711759505,"#0000E0AF","#0000E0AF",56550
"10668028","(BLANK)","Uncoded","Uncoded","Uncoded",30.0016723069699,62.0324726178398,"#660000AF","#420000AF",26789.34
"20101","NEW YORK STATE LABORERS","General Trade Unions","Labor","Construction unions",90.562996720947,8.32545990107264,"#0000CCAF","#0000D1AF",89965
"20091","MASON TENDERS DISTRICT COUNCIL OF GREATER NEW YORK","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",21800
"4020","LIFE INSURANCE COUNCIL OF NEW YORK","Insurance","Finance, Insurance & Real Estate","Life insurance",80.8423913043478,16.9836956521739,"#000099AF","#0000A8AF",36800
"4713","NEW YORK STATE TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",83.3828805740646,10.3844182470528,"#0000A8AF","#0000C7AF",243875
"19234","NEW YORK STATE UNITED TEACHERS","Public Sector Unions","Labor","Teachers unions",80.2009127779383,13.7647167180647,"#000099AF","#0000B8AF",314863
"11920","EMPIRE LEADERSHIP COUNCIL","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",26.4900662251656,50.3311258278146,"#7A0000AF","#050000AF",15100
"3790","NEW YORK STATE FUNERAL DIRECTORS ASSOCIATION","Miscellaneous Services","General Business","Funeral services",83.2310838445808,16.7689161554192,"#0000A8AF","#0000A8AF",36675
"19812","UNIFORMED SANITATIONMENS LOCAL 831","General Trade Unions","Labor","Other unions",95.3145917001339,4.68540829986613,"#0000E5AF","#0000E5AF",37350
"20366","1199SEIU UNITED HEALTHCARE WORKERS NEW JERSEY DIVISION","General Trade Unions","Labor","Health worker unions",92.0177383592018,2.10643015521064,"#0000D6AF","#0000F0AF",180400
"20700","AUTO WORKERS REGION 9","Transportation Unions","Labor","Automotive unions",95.9871589085072,0,"#0000E5AF","#0000FFAF",31150
"16102","SPEAKERS PAC","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",95.0967741935484,4.90322580645161,"#0000E5AF","#0000E5AF",77500
"40783424","NEW YORK STATE COURT OFFICERS ASSOCIATION","Public Sector Unions","Labor","State & local government employee unions",93.4102141680395,0,"#0000DBAF","#0000FFAF",30350
"4134","NEW YORK HOTEL & MOTEL TRADES COUNCIL","General Trade Unions","Labor","Other unions",88.0952380952381,0,"#0000C2AF","#0000FFAF",12600
"20323","NEW YORK STATE CORRECTIONAL OFFICERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",61.4118014189605,37.6703716281332,"#000038AF","#00003DAF",108953
"2875","WILSON ELSER MOSKOWITZ EDELMAN & DICKER","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",92.8330928330928,6.63780663780664,"#0000D6AF","#0000DBAF",103950
"4449","NEW YORK STATE ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",72.4015298933101,26.0072276914523,"#000070AF","#000075AF",104321
"4478283","FRIENDS OF SUSAN JOHN","Candidate Committees","Candidate Contributions","Candidate committees",91.2279829682517,0,"#0000D1AF","#0000FFAF",17099.83
"9062","SUFFOLK COUNTY DEMOCRATIC CMTE OF NEW YORK","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",15000
"3902","JP MORGAN CHASE","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",89.5055927106645,10.4937591453883,"#0000C7AF","#0000C7AF",32400.21
"4131","FINANCIAL SERVICE CENTERS OF NEW YORK","Miscellaneous Finance","Finance, Insurance & Real Estate","Other financial services",95.4385964912281,4.56140350877193,"#0000E5AF","#0000E5AF",14250
"40615591","HPA","Uncoded","Uncoded","Uncoded",97.5,2.5,"#0000F0AF","#0000F0AF",10000
"14523","NEW YORK STATE COURT CLERKS ASSOCIATION","Public Sector Unions","Labor","State & local government employee unions",98.0706154736639,1.9293845263361,"#0000F5AF","#0000F5AF",25915
"4456425","ROCHESTER REGIONAL JOINT BOARD UNITE HERE!","General Trade Unions","Labor","Other unions",100,0,"#0000FFAF","#0000FFAF",13900
"6104","ASSOCIATED GENERAL CONTRACTORS NEW YORK STATE CHAPTER","General Contractors","Construction","Builders associations",95.4261954261954,3.53430353430353,"#0000E5AF","#0000EBAF",24050
"11924","EMPIRE STATE PRIDE AGENDA","Gay/Lesbian Rights & Issues","Ideology/Single Issue","Gay & lesbian rights and issues",100,0,"#0000FFAF","#0000FFAF",43300
"4454","REAL ESTATE BOARD OF NEW YORK","Real Estate","Finance, Insurance & Real Estate","Real estate agents & managers",82.3340360092615,17.6659639907385,"#0000A3AF","#0000A3AF",57874
"14526","NEW YORK STATE INDEPENDENT BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",100,0,"#0000FFAF","#0000FFAF",9800
"20511","UNIFORMED FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",94.5978391356543,1.80072028811525,"#0000E0AF","#0000F5AF",41650
"18957674","EMERGENCY MEDICAL SERVICES","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",9250
"914","ENTERPRISE HOLDINGS","Automotive","Transportation","Car & truck rental agencies",94.4444444444444,5.55555555555556,"#0000E0AF","#0000E0AF",9000
