"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4905","OHIO HOUSE REPUBLICAN CAMPAIGN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",4168810.67
"4908","HOUSE DEMOCRATIC CAUCUS FUND OF OHIO","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1043213.81
"4906","OHIO REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2004718.41
"4909","OHIO DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",725615
"9538400","SEIU DISTRICT 1199 WKO","Health Services","Health","Health care services",99.3927487051259,0.607251294874085,"#0000FAAF","#0000FAAF",139975
"1830","NATIONAL CITY CORP","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",4.35558460123957,95.6444153987604,"#EB0000AF","#EB0000AF",52576.18
"3241907","OXLEY FOR CONGRESS","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",24000
"19111","AFSCME OHIO COUNCIL 8","Public Sector Unions","Labor","State & local government employee unions",99.8069498069498,0.193050193050193,"#0000FAAF","#0000FAAF",129500
"3728","FIRSTENERGY CORP","Electric Utilities","Energy & Natural Resources","Electric power utilities",29.3918918918919,70.6081081081081,"#6B0000AF","#6B0000AF",148000
"3189","OHIO AUTOMOBILE DEALERS ASSOCIATION","Automotive","Transportation","Auto dealers, new & used",19.7519083969466,80.2480916030534,"#9E0000AF","#9E0000AF",104800
"4451","OHIO ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",27.3752012882448,72.6247987117552,"#750000AF","#750000AF",403650
"1433","KEYCORP","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",16.7539267015707,83.2460732984293,"#AD0000AF","#AD0000AF",47750
"20256","OHIO EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",80.3335886307548,19.6664113692452,"#000099AF","#000099AF",293775
"2269","RPM INTERNATIONAL","Chemical & Related Manufacturing","General Business","Paints, solvents & coatings",0,100,"#FF0000AF","#FF0000AF",21500
"18895","OHIO HEALTH CARE ASSOCIATION / OHIO CENTERS FOR ASSISTED LIVING","Hospitals & Nursing Homes","Health","Nursing homes",9.09090909090909,90.9090909090909,"#D10000AF","#D10000AF",75900
"489","CARDINAL HEALTH","Health Services","Health","Health care services",5,95,"#E60000AF","#E60000AF",40000
"4209","OHIO OPTOMETRY ASSOCIATION","Health Professionals","Health","Optometrists & ophthalmologists",24.9289772727273,75.0710227272727,"#850000AF","#850000AF",70400
"6855","OHIO HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",11.6926503340757,88.3073496659243,"#C70000AF","#C70000AF",44900
"20725","OHIO STATE AUTO WORKERS","Transportation Unions","Labor","Automotive unions",98.1038160701588,1.89618392984119,"#0000F5AF","#0000F5AF",105475
