"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"6893","GAY & LESBIAN VICTORY FUND","Gay/Lesbian Rights & Issues","Ideology/Single Issue","Gay & lesbian rights and issues",100,0,"#0000FFAF","#0000FFAF",13000
"6249","CHEROKEE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",72.7272727272727,27.2727272727273,"#000070AF","#000070AF",143000
"574","CHICKASAW NATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",53.9196940726577,46.0803059273423,"#00000FAF","#00000FAF",261500
"576","CHOCTAW NATION OF OKLAHOMA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",50.4608294930876,49.5391705069124,"#000000AF","#000000AF",260400
"4606","OKLAHOMA PUBLIC EMPLOYEES ASSOCIATION","Public Sector Unions","Labor","State & local government employee unions",41.5249871200412,58.4750128799588,"#2E0000AF","#2E0000AF",97050
"3394","CHESAPEAKE ENERGY","Oil & Gas","Energy & Natural Resources","Oil & gas",26.2254901960784,73.7745098039216,"#7A0000AF","#7A0000AF",102000
"18615","ASSOCIATED GENERAL CONTRACTORS OKLAHOMA CHAPTER","General Contractors","Construction","Builders associations",17.5438596491228,82.4561403508772,"#A80000AF","#A80000AF",34200
"4772","WORKING OKLAHOMANS ALLIANCE","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",62.7450980392157,37.2549019607843,"#00003DAF","#00003DAF",51000
"4911","OKLAHOMA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",22900
"19117","AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",5200
"19502","OKLAHOMA CITY FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",91.8181818181818,8.18181818181818,"#0000D1AF","#0000D1AF",55000
"20162","OKLAHOMA AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",41750
"20257","OKLAHOMA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",64.0167364016736,35.9832635983264,"#000047AF","#000047AF",71700
"8620056","TULSA FIRE FIGHTERS LOCAL 176","Public Sector Unions","Labor","Police & fire fighters unions and associations",96.875,3.125,"#0000EBAF","#0000EBAF",8000
"650","COMMUNICATIONS WORKERS OF AMERICA / CWA","General Trade Unions","Labor","Communications & hi-tech unions",100,0,"#0000FFAF","#0000FFAF",11900
"8286","OKLAHOMA CITY BUSINESS COUNCIL","Business Associations","General Business","Pro-business organizations",0,100,"#FF0000AF","#FF0000AF",25000
"12632","GROW OKLAHOMA PAC","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",0,100,"#FF0000AF","#FF0000AF",31000
"8680748","OKLAHOMANS FOR A HEALTHY FUTURE","Leadership PACs","Candidate Contributions","PACs operated by Democratic state politicians",0,100,"#FF0000AF","#FF0000AF",46500
"18423","REPUBLICAN STATE HOUSE CMTE OF OKLAHOMA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",7500
"585385","INTERNATIONAL ASSOCIATION OF BRIDGE STRUCTURAL ORNAMENTAL & REINFORCING IRON WORKERS","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",10000
"4160","OKLAHOMA INDEPENDENT PETROLEUM ASSOCIATION","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",22.1498371335505,77.8501628664495,"#8F0000AF","#8F0000AF",76750
