"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"576","CHOCTAW NATION OF OKLAHOMA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",42.5219941348974,57.4780058651026,"#290000AF","#290000AF",170500
"574","CHICKASAW NATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",44.3358668114368,55.6641331885632,"#1F0000AF","#1F0000AF",276300
"4606","OKLAHOMA PUBLIC EMPLOYEES ASSOCIATION","Public Sector Unions","Labor","State & local government employee unions",26.4957264957265,73.5042735042735,"#7A0000AF","#7A0000AF",117000
"8282","OKLAHOMA FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",23.5710076605775,76.4289923394225,"#8A0000AF","#8A0000AF",84850
"18615","ASSOCIATED GENERAL CONTRACTORS OKLAHOMA CHAPTER","General Contractors","Construction","Builders associations",22.6514486391572,77.3485513608428,"#8F0000AF","#8F0000AF",56950
"19502","OKLAHOMA CITY FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",54.7068464043939,45.2931535956061,"#000014AF","#000014AF",82793.97
"15674851","JAMES MADISON PAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",5.55555555555556,94.4444444444444,"#E60000AF","#E60000AF",18000
"15674853","7TH AMENDMENT CHRISTIAN COALITION","Christian Conservative","Ideology/Single Issue","Christian Coalition, religious right",4.70588235294118,95.2941176470588,"#EB0000AF","#EB0000AF",21250
"8608153","FRATERNAL ORDER OF POLICE LODGE 123","Public Sector Unions","Labor","Police & fire fighters unions and associations",20,80,"#990000AF","#9E0000AF",12500
"8614742","OKLAHOMA CITY RETIRED FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",48.6215538847118,51.3784461152882,"#0A0000AF","#0A0000AF",19950
"8620056","TULSA FIRE FIGHTERS LOCAL 176","Public Sector Unions","Labor","Police & fire fighters unions and associations",62.3529411764706,37.6470588235294,"#00003DAF","#00003DAF",42500
"8620885","PROFESSIONAL FIRE FIGHTERS OF OKLAHOMA","Public Sector Unions","Labor","Police & fire fighters unions and associations",44.7058823529412,55.2941176470588,"#1F0000AF","#1F0000AF",21250
"788","DEVON ENERGY","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",6.66666666666667,93.3333333333333,"#E00000AF","#E00000AF",75000
"20257","OKLAHOMA EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",63.8284228659734,36.1715771340266,"#000042AF","#000042AF",50526.08
"20162","OKLAHOMA AFL-CIO","General Trade Unions","Labor","Labor unions",94.4095038434661,5.59049615653389,"#0000E0AF","#0000E0AF",71550
"18423","REPUBLICAN STATE HOUSE CMTE OF OKLAHOMA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",63919.4
"8298","OKLAHOMA SPINE HOSPITAL","Hospitals & Nursing Homes","Health","Hospitals",21.0526315789474,78.9473684210526,"#940000AF","#940000AF",19000
"15264","PROSPERITY PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",0,100,"#FF0000AF","#FF0000AF",44000
"12509969","ROI PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",0,100,"#FF0000AF","#FF0000AF",98000
"6249","CHEROKEE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",59.2592592592593,40.7407407407407,"#00002EAF","#00002EAF",67500
"3404","CITIZEN OF POTAWATOMI NATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",7.04225352112676,92.9577464788732,"#DB0000AF","#DB0000AF",35500
"20585","PLUMBERS & PIPEFITTERS LOCAL 344","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",34500
"8284","OKLAHOMA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",21.8009478672986,78.1990521327014,"#940000AF","#940000AF",73850
"8286","OKLAHOMA CITY BUSINESS COUNCIL","Business Associations","General Business","Pro-business organizations",0,100,"#FF0000AF","#FF0000AF",22000
"10971","CENTER FOR LEGISLATIVE EXCELLENCE","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",34.6303501945525,65.3696498054475,"#520000AF","#520000AF",64250
"1096","GEO GROUP","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",0,100,"#FF0000AF","#FF0000AF",12500
"3394","CHESAPEAKE ENERGY","Oil & Gas","Energy & Natural Resources","Oil & gas",11.4695340501792,88.5304659498208,"#C70000AF","#C70000AF",69750
"4160","OKLAHOMA INDEPENDENT PETROLEUM ASSOCIATION","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",12.7272727272727,87.2727272727273,"#C20000AF","#C20000AF",123750
"8288","OKLAHOMA DENTAL ASSOCIATION","Health Professionals","Health","Dentists",15.3301886792453,84.6698113207547,"#B30000AF","#B30000AF",21200
"8293","OKLAHOMA OSTEOPATHIC ASSOCIATION","Health Professionals","Health","Physicians",37.8151260504202,62.1848739495798,"#420000AF","#420000AF",35700
"24776373","ARDENT HEALTH SERVICES LLC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",8000
"8606387","OKLAHOMA ASSOCIATION OF NURSE ANESTHETISTS","Health Professionals","Health","Nurses",21.9114219114219,78.0885780885781,"#940000AF","#940000AF",21450
"898","INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS / IBEW","General Trade Unions","Labor","Electrical workers/IBEW",92,8,"#0000D6AF","#0000D6AF",25000
"8285","OKLAHOMA BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",24.0940254652302,75.9059745347698,"#850000AF","#850000AF",51050
"8295","OKLAHOMA QUARTER HORSE RACING ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",37.5,62.5,"#420000AF","#420000AF",48000
"15674852","DEFENDERS OF THE CONSTITUTION PAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",5.97014925373134,94.0298507462687,"#E60000AF","#E60000AF",16750
"4911","OKLAHOMA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",41413.49
"8608943","BLUE CROSS BLUE SHIELD OF OKLAHOMA","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",6.44329896907216,93.5567010309278,"#E00000AF","#E00000AF",19400
"14730","OKLAHOMA HORSEMENS BENEVOLENT & PROTECTIVE ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",34.2465753424658,65.7534246575342,"#520000AF","#520000AF",43800
"8296","OKLAHOMA SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",15.639374425023,84.360625574977,"#B30000AF","#B30000AF",54350
"8612003","LAWTON FIRE FIGHTERS LOCAL 1882","Public Sector Unions","Labor","Police & fire fighters unions and associations",62.5,37.5,"#00003DAF","#00003DAF",18000
"130","AMERICAN ELECTRIC POWER","Electric Utilities","Energy & Natural Resources","Electric power utilities",32.4675324675325,67.5324675324675,"#5C0000AF","#5C0000AF",38500
"8606224","GREATER OKLAHOMA CITY CHAMBER OF COMMERCE","Business Associations","General Business","Pro-business organizations",13.2867132867133,86.7132867132867,"#BD0000AF","#BD0000AF",35750
"8291","OKLAHOMA MALT BEVERAGE ASSOCIATION","Beer, Wine & Liquor","General Business","Liquor wholesalers",5.21739130434783,94.7826086956522,"#E60000AF","#E60000AF",28750
"2218","R J REYNOLDS TOBACCO CO","Tobacco companies & tobacco product sales","General Business","Tobacco companies & tobacco product sales",10.3942652329749,89.6057347670251,"#CC0000AF","#CC0000AF",13950
"2034","PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",2.87769784172662,97.1223021582734,"#F50000AF","#F50000AF",6950
"8989","OKLAHOMA ASSOCIATION OF ELECTRIC COOPERATIVES","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",32.7908868999186,67.2091131000814,"#5C0000AF","#5C0000AF",61450
"164","AMERICAN PHYSICAL THERAPY ASSOCIATION","Health Professionals","Health","Other non-physician health practitioners",0,100,"#FF0000AF","#FF0000AF",5000
"21022","OKLAHOMA PHYSICAL THERAPY ASSOCIATION","Health Professionals","Health","Other non-physician health practitioners",0,100,"#FF0000AF","#FF0000AF",12000
"35953","AMERICAN FIDELITY CORPORATION","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",23000
"8289","OKLAHOMA HOSPITAL ASSOCIATION","Hospitals & Nursing Homes","Health","Hospitals",33.9799827010997,66.0200172989003,"#570000AF","#570000AF",50176.6
"14726","OKLAHOMA CONSERVATIVE PAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",17750
"8299","OKLAHOMA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",48.3870967741936,51.6129032258064,"#0A0000AF","#0A0000AF",15500
"8283","OKLAHOMA ASSOCIATION OF OPTOMETRIC PHYSICIANS","Health Professionals","Health","Optometrists & ophthalmologists",24.9652294853964,75.0347705146036,"#850000AF","#850000AF",71900
"8732161","TULSA REGIONAL CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",30.6451612903226,69.3548387096774,"#660000AF","#660000AF",15500
"946","EXXON MOBIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",17.2413793103448,82.7586206896552,"#A80000AF","#A80000AF",7250
"1457","KOCH INDUSTRIES","Chemical & Related Manufacturing","General Business","Chemicals",8.69565217391304,91.304347826087,"#D60000AF","#D60000AF",11500
"1625","MARATHON OIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",9.09090909090909,90.9090909090909,"#D10000AF","#D10000AF",11000
"1932","OKLAHOMA GAS & ELECTRIC CO","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",36.0910031023785,63.9089968976215,"#470000AF","#470000AF",48350
"4772","WORKING OKLAHOMANS ALLIANCE","Liberal Policy Organization","Ideology/Single Issue","Democratic-based groups (but not official party committees) and generic liberal/progressive ones",23.4347048300537,76.5652951699463,"#8A0000AF","#8A0000AF",27950
"21158","OKLAHOMA ASSOCIATION OF HEALTH CARE PROVIDERS","Hospitals & Nursing Homes","Health","Nursing homes",2.5,97.5,"#F50000AF","#F50000AF",40000
"14739","OKLAHOMA STATE HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",16.9373549883991,83.0626450116009,"#AD0000AF","#AD0000AF",21550
"958","FARMERS INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",33.8095238095238,66.1904761904762,"#570000AF","#570000AF",52500
"8292","OKLAHOMA MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",11.2634671890304,88.7365328109696,"#C70000AF","#C70000AF",51050
"6458","COX COMMUNICATIONS","Miscellaneous Communications & Electronics","Communications & Electronics","Communications & electronics",18.0062711496073,81.9937288503927,"#A30000AF","#A30000AF",32211
"8620644","ALTUS FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",25,75,"#800000AF","#800000AF",4000
"31966351","DRIVE POLITICAL FUND CHAPTER 886","Uncoded","Uncoded","Uncoded",100,0,"#0000FFAF","#0000FFAF",9600
"8733242","CHICKASHA FIRE FIGHTERS ASSOCIATION","Public Sector Unions","Labor","Police & fire fighters unions and associations",76.9230769230769,23.0769230769231,"#000085AF","#000085AF",6500
"668","CONOCOPHILLIPS","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",21.6666666666667,78.3333333333333,"#940000AF","#940000AF",30000
"12558671","SOONER STATE PAC","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",7.23404255319149,92.7659574468085,"#DB0000AF","#DB0000AF",23500
"14376","MUSCOGEE CREEK NATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",100,0,"#0000FFAF","#0000FFAF",4500
"4761","WEYERHAEUSER CO","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",0,100,"#FF0000AF","#FF0000AF",4000
"14550","NEWFIELD EXPLORATION CO","Oil & Gas","Energy & Natural Resources","Oil & gas",18.4275184275184,81.5724815724816,"#A30000AF","#A30000AF",20350
"1039","NEXTERA ENERGY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",0,100,"#FF0000AF","#FF0000AF",15000
"9260","UNITED COMMUNITY BANKERS","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",27.2407732864675,72.7592267135325,"#750000AF","#750000AF",28450
"14727","OKLAHOMA CONSUMER FINANCE ASSOCIATION","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",25,75,"#800000AF","#800000AF",6000
"14735","OKLAHOMA PORK COUNCIL","Livestock","Agriculture","Livestock",35.3535353535354,64.6464646464647,"#4D0000AF","#4D0000AF",4950
"8606220","STATE CHAMBER OF OKLAHOMA","Business Associations","General Business","Chambers of commerce",11.6279069767442,88.3720930232558,"#C70000AF","#C70000AF",21500
"8608494","UNIT CORPORATION","Oil & Gas","Energy & Natural Resources","Oil & gas",2.39234449760766,97.6076555023923,"#F50000AF","#F50000AF",10450
"21050","ASSOCIATED BUILDERS & CONTRACTORS OF EASTERN OKLAHOMA","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",2500
"2725","VALERO ENERGY","Oil & Gas","Energy & Natural Resources","Petroleum refining & marketing",0,100,"#FF0000AF","#FF0000AF",3000
"8609307","OKLAHOMA NURSE PRACTITIONERS","Health Professionals","Health","Nurses",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",3750
"13118","INDEPENDENT MEDICAL PROVIDERS","Hospitals & Nursing Homes","Health","Hospitals",8.86850152905199,91.131498470948,"#D60000AF","#D60000AF",16350
"8680838","SECOND CENTURY PAC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",2826.68
"8713777","OKLAHOMA LIBERTY PAC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",2800
"8680490","SOUTHWEST LABORERS DISTRICT COUNCIL","General Trade Unions","Labor","Construction unions",100,0,"#0000FFAF","#0000FFAF",7600
"6444","COOPERATIVE COUNCIL FOR OKLAHOMA SCHOOL ADMINISTRATION","Education","Government Agencies/Education/Other","Public school teachers, administrators & officials",42.8571428571429,57.1428571428571,"#290000AF","#290000AF",8750
"21091","INDEPENDENT INSURANCE AGENTS OF OKLAHOMA","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",4.34782608695652,95.6521739130435,"#EB0000AF","#EB0000AF",23000
"2811268","TRANSPORT WORKERS UNION OF AMERICA / TWU","Transportation Unions","Labor","Transportation unions",100,0,"#0000FFAF","#0000FFAF",5000
"40618669","PROMOTERS OF PRIVATE ENTERPRISE","Uncoded","Uncoded","Uncoded",71.4285714285714,28.5714285714286,"#00006BAF","#00006BAF",3500
"8624374","OKLAHOMA AGRICULTURAL EDUCATION TEACHERS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",30,70,"#660000AF","#660000AF",2500
"8604248","A POSITIVE SOLUTION","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",15000
"10140","ASSOCIATED ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",26.0869565217391,73.9130434782609,"#7A0000AF","#7A0000AF",11500
"8808375","GLOBALHEALTH PAC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",6000
"259","AT&T","Telecom Services & Equipment","Communications & Electronics","Telecommunications",25.9047619047619,74.0952380952381,"#800000AF","#800000AF",26250
"2772","WAL-MART","Retail Sales","General Business","Department, variety & convenience stores",11.864406779661,88.135593220339,"#C70000AF","#C70000AF",14750
"2880","WINDSTREAM COMMUNICATIONS","Telecom Services & Equipment","Communications & Electronics","Telecommunications",0,100,"#FF0000AF","#FF0000AF",2000
"16107","SPECTRA ENERGY","Oil & Gas","Energy & Natural Resources","Natural gas transmission & distribution",41.8316831683168,58.1683168316832,"#2E0000AF","#2E0000AF",20200
"22184912","BOK FINANCIAL CORPORATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",8,92,"#D60000AF","#DB0000AF",6250
"8604286","AMERICAN INSTITUTE OF ARCHITECTS OKLAHOMA","Construction Services","Construction","Architectural services",14.7540983606557,85.2459016393443,"#B80000AF","#B80000AF",15250
"8621083","OKLAHOMA RETIRED EDUCATORS ASSOCIATION","Public Sector Unions","Labor","Teachers unions",45.7627118644068,54.2372881355932,"#1A0000AF","#1A0000AF",11800
"2675","UNION PACIFIC RAILROAD","Railroads","Energy & Natural Resources","Railroads",13.6363636363636,86.3636363636364,"#BD0000AF","#BD0000AF",16500
"8294","OKLAHOMA PHARMACISTS ASSOCIATION","Health Professionals","Health","Pharmacists",23.8461538461538,76.1538461538461,"#8A0000AF","#8A0000AF",32500
"12132","FKG CONSULTING","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",9.52380952380952,90.4761904761905,"#D10000AF","#D10000AF",10500
"8687178","OSAGE NATION EXECUTIVE BRANCH","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",2700
"8663150","HELEN COLE REPUBLICAN WOMENS CLUB","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2300
