"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"18615","ASSOCIATED GENERAL CONTRACTORS OKLAHOMA CHAPTER","General Contractors","Construction","Builders associations",12.3020706455542,87.6979293544458,"#C20000AF","#C20000AF",82100
"8298","OKLAHOMA SPINE HOSPITAL","Hospitals & Nursing Homes","Health","Hospitals",0,100,"#FF0000AF","#FF0000AF",18000
"574","CHICKASAW NATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",34.5652751927679,65.4347248072321,"#520000AF","#520000AF",188050
"576","CHOCTAW NATION OF OKLAHOMA","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",39.6355353075171,60.3644646924829,"#380000AF","#380000AF",109750
"4606","OKLAHOMA PUBLIC EMPLOYEES ASSOCIATION","Public Sector Unions","Labor","State & local government employee unions",12.9692832764505,87.0307167235495,"#C20000AF","#C20000AF",73250
"4160","OKLAHOMA INDEPENDENT PETROLEUM ASSOCIATION","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",20.7823960880196,79.2176039119804,"#990000AF","#990000AF",102250
"8282","OKLAHOMA FARM BUREAU","Farm Bureau","Agriculture","Farm Bureau/affiliated organizations & PACs",14.874651810585,85.125348189415,"#B80000AF","#B80000AF",89750
"10140","ASSOCIATED ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",19.2307692307692,80.7692307692308,"#9E0000AF","#9E0000AF",39000
"3394","CHESAPEAKE ENERGY","Oil & Gas","Energy & Natural Resources","Oil & gas",13.8334940708492,86.1665059291508,"#BD0000AF","#BD0000AF",86745.98
"21158","OKLAHOMA ASSOCIATION OF HEALTH CARE PROVIDERS","Hospitals & Nursing Homes","Health","Nursing homes",14.0127388535032,85.9872611464968,"#B80000AF","#B80000AF",39250
"1992407","STATE FARM AGENTS & ASSOCIATES","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",9000
"958","FARMERS INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",12.9898854847123,87.0101145152877,"#C20000AF","#C20000AF",84681.27
"8620885","PROFESSIONAL FIRE FIGHTERS OF OKLAHOMA","Public Sector Unions","Labor","Police & fire fighters unions and associations",45,55,"#1A0000AF","#1F0000AF",15000
"14739","OKLAHOMA STATE HOME BUILDERS ASSOCIATION","Home Builders","Construction","Residential construction",7.18685831622177,92.8131416837782,"#DB0000AF","#DB0000AF",24350
"8293","OKLAHOMA OSTEOPATHIC ASSOCIATION","Health Professionals","Health","Physicians",15.3409090909091,84.6590909090909,"#B30000AF","#B30000AF",35200
"15674851","JAMES MADISON PAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",26.6666666666667,73.3333333333333,"#7A0000AF","#7A0000AF",15000
"15674852","DEFENDERS OF THE CONSTITUTION PAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",24.1379310344828,75.8620689655172,"#850000AF","#850000AF",14500
"15674853","7TH AMENDMENT CHRISTIAN COALITION","Christian Conservative","Ideology/Single Issue","Christian Coalition, religious right",6.89655172413793,93.1034482758621,"#E00000AF","#E00000AF",14500
"8296","OKLAHOMA SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",16.5644171779141,83.4355828220859,"#AD0000AF","#AD0000AF",81500
"10936117","AFFILIATED ANESTHESIOLOGISTS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",15000
"788","DEVON ENERGY","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",11.1111111111111,88.8888888888889,"#C70000AF","#C70000AF",90000
"15634","ROUTE 66 PAC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",0,100,"#FF0000AF","#FF0000AF",38000
