"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4160","OKLAHOMA INDEPENDENT PETROLEUM ASSOCIATION","Oil & Gas","Energy & Natural Resources","Independent oil & gas producers",23.144996596324,76.855003403676,"#8A0000AF","#8A0000AF",73450
"958","FARMERS INSURANCE GROUP","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",9.09090909090909,90.9090909090909,"#D10000AF","#D10000AF",93500
"8292","OKLAHOMA MEDICAL ASSOCIATION","Health Professionals","Health","Physicians",9.23076923076923,90.7692307692308,"#D10000AF","#D10000AF",65000
"18615","ASSOCIATED GENERAL CONTRACTORS OKLAHOMA CHAPTER","General Contractors","Construction","Builders associations",8.56140350877193,91.4385964912281,"#D60000AF","#D60000AF",71250
"130","AMERICAN ELECTRIC POWER","Electric Utilities","Energy & Natural Resources","Electric power utilities",5.78512396694215,94.2148760330578,"#E60000AF","#E60000AF",30250
"6249","CHEROKEE","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",61.7706237424547,38.2293762575453,"#000038AF","#000038AF",49700
"574","CHICKASAW NATION","Tribal Governments","Government Agencies/Education/Other","Native American tribes & governing units",28.7775246772969,71.2224753227031,"#700000AF","#700000AF",131700
"21022","OKLAHOMA PHYSICAL THERAPY ASSOCIATION","Health Professionals","Health","Other non-physician health practitioners",0,100,"#FF0000AF","#FF0000AF",8000
"8284","OKLAHOMA ASSOCIATION OF REALTORS","Real Estate","Finance, Insurance & Real Estate","Real estate",4.53563714902808,95.4643628509719,"#EB0000AF","#EB0000AF",115750
"1096","GEO GROUP","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",0,100,"#FF0000AF","#FF0000AF",22000
"8606387","OKLAHOMA ASSOCIATION OF NURSE ANESTHETISTS","Health Professionals","Health","Nurses",8.08823529411765,91.9117647058823,"#D60000AF","#D60000AF",34000
