"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"18460","OREGON SENATE DEMOCRATIC CAMPAIGN CMTE","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",1566321.32
"18469","OREGON SENATE REPUBLICAN LEADERSHIP FUND","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1259128.65
"20258","OREGON EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",99.110733255743,0.889266744256969,"#0000FAAF","#0000FAAF",562260.99
"20394","OREGON PUBLIC EMPLOYEES LOCAL 503","Public Sector Unions","Labor","State & local government employee unions",99.6679336988454,0.332066301154648,"#0000FAAF","#0000FAAF",301144.68
"8348","OREGON VICTORY CMTE","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",210000
"5112129","ROGER BEYER FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",135000
"14809","OREGON NURSES ASSOCIATION","General Trade Unions","Labor","Health worker unions",93.7545039634879,6.24549603651213,"#0000DBAF","#0000DBAF",104075
"6593","DOCTORS FOR HEALTHY COMMUNITIES","Hospitals & Nursing Homes","Health","Health care institutions",57.9925650557621,42.0074349442379,"#000024AF","#000024AF",134500
"18897","OREGON HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",64.1185608414466,35.8814391585534,"#000047AF","#000047AF",213945.85
"4018","LIBERTY NORTHWEST INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",93.0672476973358,6.93275230266416,"#0000DBAF","#0000DBAF",50485
"4012","OREGON LEAGUE OF CONSERVATION VOTERS","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",100,0,"#0000FFAF","#0000FFAF",88946.53
"2009503","KATE BROWN CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",58630.2
"3138","ASSOCIATED OREGON INDUSTRIES","Business Associations","General Business","Chambers of commerce",5.35304613815957,94.6469538618404,"#E60000AF","#E60000AF",137305
"4466","OREGON RESTAURANT & LODGING ASSOCIATION","Lodging & Tourism","General Business","Hotels & motels",16.3854730626778,83.6145269373222,"#AD0000AF","#AD0000AF",148610.54
"21115","OREGON RIGHT TO LIFE","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-life",0,100,"#FF0000AF","#FF0000AF",40592.89
