"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4918","OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE","Party Committees","Party","Democratic Party committees",99.9773256397611,0.022674360238865,"#0000FAAF","#0000FAAF",1800094.89
"4956918","PROMOTE OREGON LEADERSHIP","Party Committees","Party","Republican Party committees",0,91.3755670397031,"#FF0000AF","#D60000AF",788474.33
"20258","OREGON EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",96.353453986389,2.54679404125209,"#0000EBAF","#0000F0AF",431915.57
"4917","OREGON DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",599796.87
"4971600","LOW INCOME DENTAL","Health Professionals","Health","Dentists",0,100,"#FF0000AF","#FF0000AF",200500
"14809","OREGON NURSES ASSOCIATION","General Trade Unions","Labor","Health worker unions",89.3719194065563,10.6280805934437,"#0000C7AF","#0000C7AF",282271.1
"21115","OREGON RIGHT TO LIFE","Abortion Policy","Ideology/Single Issue","Abortion policy, pro-life",0,100,"#FF0000AF","#FF0000AF",166124.47
"4214","OREGON FAMILY COUNCIL","Christian Conservative","Ideology/Single Issue","Christian Coalition, religious right",0,100,"#FF0000AF","#FF0000AF",79767.57
"20394","OREGON PUBLIC EMPLOYEES LOCAL 503","Public Sector Unions","Labor","State & local government employee unions",96.6880573231328,2.32840233831643,"#0000EBAF","#0000F0AF",482949.18
"16144","STAND FOR CHILDREN","Public Education Policy","Ideology/Single Issue","School Choice Advocates",87.7380720777569,12.2619279222431,"#0000BDAF","#0000BDAF",89284.41
"3138","ASSOCIATED OREGON INDUSTRIES","Business Associations","General Business","Chambers of commerce",9.32476529644772,90.6752347035523,"#D10000AF","#D10000AF",316361.85
"20896","FOOD & COMMERCIAL WORKERS LOCAL 555","General Trade Unions","Labor","Retail trade unions",58.9387754931462,3.10444165011417,"#000029AF","#0000EBAF",143568.49
"12179029","FRIENDS OF JULIE PARRISH","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",73296.58
"9048","STIMSON LUMBER","Building Materials & Equipment","Construction","Lumber and wood products & lumber yards",0,100,"#FF0000AF","#FF0000AF",173500
"26194751","JOBS POLITICAL ACTION CMTE","Business Associations","General Business","Pro-business organizations",1.19457614646459,13.9905174545494,"#FA0000AF","#0000B8AF",41855.85
"20837","PACFIC NORTHWEST REGIONAL COUNCIL OF CARPENTERS","General Trade Unions","Labor","Construction unions",94.5576885018801,5.14545814367702,"#0000E0AF","#0000E0AF",75795
"4715","OREGON TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",97.7688230862842,2.2311769137158,"#0000F0AF","#0000F0AF",246058.48
"4012","OREGON LEAGUE OF CONSERVATION VOTERS","Pro-Environmental Policy","Ideology/Single Issue","Environmental policy",99.6284539940362,0.371546005963844,"#0000FAAF","#0000FAAF",65940.69
"23393552","LEONA CONSULTING CO","Business Services","General Business","Political consultants & advisers",0,100,"#FF0000AF","#FF0000AF",52950
"4967873","MICHAEL R (MIKE) MCLANE CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",132000
"1020","UNITED FOOD & COMMERCIAL WORKERS INTERNATIONAL UNION / UFCW","General Trade Unions","Labor","Retail trade unions",16.6666666666667,0,"#AD0000AF","#0000FFAF",30000
"8343","OREGON LODGING ASSOCIATION","Lodging & Tourism","General Business","Hotels & motels",18.0090379758942,81.9909620241058,"#A30000AF","#A30000AF",175658.8
"18897","OREGON HEALTH CARE ASSOCIATION","Hospitals & Nursing Homes","Health","Nursing homes",56.6611019633642,43.3388980366358,"#00001FAF","#00001FAF",262967
"6311","COALITION FOR A HEALTHY OREGON","Health & Welfare Policy","Ideology/Single Issue","Health & welfare policy",63.4042145485902,36.5957854514098,"#000042AF","#000042AF",177433
"4982253","CRAZY FINGERS DESIGN GROUP","Business Services","General Business","Advertising & public relations services",0,100,"#FF0000AF","#FF0000AF",42600
"4956486","SERVICE EMPLOYEES LOCAL 49","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",72362.86
"19169","AFSCME OREGON COUNCIL 75","Public Sector Unions","Labor","State & local government employee unions",86.2562007586811,8.89991245987744,"#0000B8AF","#0000D1AF",171350
"4992633","FRIENDS OF VICKI BERGER","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",20250
"3212","OREGON BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",17.4083342400174,82.5916657599826,"#A80000AF","#A80000AF",91910
"8333","OREGON ASSOCIATION OF HOSPITALS & HEALTH SYSTEMS","Hospitals & Nursing Homes","Health","Hospitals",43.4051180295694,56.5948819704306,"#240000AF","#240000AF",185462
"4985058","TAXPAYERS ASSOCIATION OF OREGON","Conservative Policy Organization","Ideology/Single Issue","Limited Government",0,100,"#FF0000AF","#FF0000AF",29132
"50","NATIONAL AFL-CIO","General Trade Unions","Labor","Labor unions",100,0,"#0000FFAF","#0000FFAF",71290.21
"6593","DOCTORS FOR HEALTHY COMMUNITIES","Hospitals & Nursing Homes","Health","Health care institutions",59.3736084310524,40.6263915689476,"#00002EAF","#00002EAF",161688
"5915","ASSOCIATED OREGON LOGGERS","Forestry & Forest Products","Agriculture","Timber companies, sawmills, & others engaged in cutting down trees",13.7931034482759,86.2068965517241,"#BD0000AF","#BD0000AF",130500
"8345","OREGON MEDICAL ASSOCIATION","Health Professionals","Health","Health professionals",48.4944175031014,51.5055824968986,"#0A0000AF","#0A0000AF",88670
"4983961","FRIENDS OF JACKIE WINTERS","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",21500
"4956558","FRIENDS OF BILL KENNEMER","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",62500
"8348","OREGON VICTORY CMTE","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,89.1891891891892,"#FF0000AF","#CC0000AF",92500
"19241","OREGON FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",98.6601643549589,1.33983564504109,"#0000F5AF","#0000F5AF",74636.02
"1972","PACIFIC SEAFOOD","Food & Beverage","General Business","Fish processing",38.2352941176471,61.7647058823529,"#3D0000AF","#3D0000AF",51000
"1891","NIKE","Miscellaneous Manufacturing & Distributing","General Business","Personal products manufacturing",39.7463045914322,60.2536954085678,"#380000AF","#380000AF",140943.82
"11772","DOUGLAS COUNTY PHYSICIANS","Health Professionals","Health","Physicians",62.8253455394005,37.1746544605995,"#00003DAF","#00003DAF",72423
