"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
"4921","SENATE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",2151392.02
"4924","PENNSYLVANIA DEMOCRATIC PARTY","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",878070.53
"4920","PENNSYLVANIA REPUBLICAN PARTY","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",1726449.35
"4922","DEMOCRATIC STATE SENATE CAMPAIGN CMTE OF PENNSYLVANIA","Party Committees","Party","Democratic Party committees",100,0,"#0000FFAF","#0000FFAF",266122.14
"4241","PA FUTURE FUND","Business Associations","General Business","Pro-business organizations",0.256377387514421,99.7436226124856,"#FF0000AF","#FF0000AF",390050
"4716","PENNSYLVANIA ASSOCIATION FOR JUSTICE","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",58.94901144641,41.05098855359,"#000029AF","#000029AF",480500
"11005036","PHILADELPHIA TRIAL LAWYERS ASSOCIATION","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",100,0,"#0000FFAF","#0000FFAF",70000
"19982","LABORERS DISTRICT COUNCIL OF THE METROPOLITAN AREA OF PHILADELPHIA & VICINITY","General Trade Unions","Labor","Construction unions",89.0170236133992,10.9829763866008,"#0000C7AF","#0000C7AF",91050
"9285","UPPER DARBY REPUBLICAN CAMPAIGN CMTE","Party Committees","Party","Republican Party committees",0,100,"#FF0000AF","#FF0000AF",39863.84
"5061355","THOMPSON LEADERSHIP CMTE","Leadership PACs","Candidate Contributions","PACs operated by Republican state politicians",0,100,"#FF0000AF","#FF0000AF",75000
"4938834","FUMO FOR SENATE","Candidate Committees","Candidate Contributions","Candidate committees",100,0,"#0000FFAF","#0000FFAF",89000
"5061092","DAVID BRIGHTBILL CAMPAIGN CMTE","Candidate Committees","Candidate Contributions","Candidate committees",0,100,"#FF0000AF","#FF0000AF",158992.83
